"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FILUSDT","FILUSDT#1687215660000",1687215660000,"3.676","3.678","3.675","3.677","8352.6",1687215719999,"30703.7618",55,"4045.7","14875.8985"
"FILUSDT","FILUSDT#1687215720000",1687215720000,"3.677","3.678","3.673","3.676","35755.8",1687215779999,"131404.6856",320,"6809.8","25029.7584"
"FILUSDT","FILUSDT#1687215780000",1687215780000,"3.677","3.677","3.676","3.676","2634.2",1687215839999,"9685.3961",36,"1335.3","4909.8981"
"FILUSDT","FILUSDT#1687215840000",1687215840000,"3.676","3.677","3.676","3.676","1407.2",1687215899999,"5174.0372",35,"1170.0","4302.0900"
"FILUSDT","FILUSDT#1687215900000",1687215900000,"3.676","3.677","3.674","3.674","4594.7",1687215959999,"16887.8483",106,"461.0","1694.2439"
"FILUSDT","FILUSDT#1687215960000",1687215960000,"3.674","3.674","3.674","3.674","299.1",1687216019999,"1098.8934",3,"0.0","0.0000"
"FILUSDT","FILUSDT#1687216020000",1687216020000,"3.675","3.677","3.675","3.676","8184.9",1687216079999,"30082.6762",79,"7749.1","28481.0894"
"FILUSDT","FILUSDT#1687216080000",1687216080000,"3.676","3.676","3.675","3.675","5876.7",1687216139999,"21599.0347",103,"0.0","0.0000"
"FILUSDT","FILUSDT#1687216140000",1687216140000,"3.674","3.675","3.674","3.674","1562.6",1687216199999,"5741.6894",18,"695.6","2556.3300"
"FILUSDT","FILUSDT#1687216200000",1687216200000,"3.674","3.675","3.674","3.675","1552.3",1687216259999,"5704.6582",42,"443.2","1628.7600"
"FILUSDT","FILUSDT#1687216260000",1687216260000,"3.674","3.674","3.674","3.674","15.1",1687216319999,"55.4774",3,"0.0","0.0000"
"FILUSDT","FILUSDT#1687216320000",1687216320000,"3.675","3.675","3.674","3.674","885.0",1687216379999,"3252.3594",7,"869.4","3195.0450"
"FILUSDT","FILUSDT#1687216380000",1687216380000,"3.675","3.675","3.672","3.672","13388.5",1687216439999,"49195.7466",116,"8167.9","30016.0005"
"FILUSDT","FILUSDT#1687216440000",1687216440000,"3.672","3.674","3.672","3.673","16167.4",1687216499999,"59387.2625",88,"14728.7","54103.5148"
"FILUSDT","FILUSDT#1687216500000",1687216500000,"3.673","3.673","3.671","3.671","11450.6",1687216559999,"42043.1210",117,"1451.3","5329.1215"
"FILUSDT","FILUSDT#1687216560000",1687216560000,"3.671","3.672","3.670","3.670","4571.6",1687216619999,"16781.7232",75,"1902.8","6985.5751"
"FILUSDT","FILUSDT#1687216620000",1687216620000,"3.670","3.671","3.668","3.668","11139.4",1687216679999,"40869.7136",100,"53.0","194.5612"
"FILUSDT","FILUSDT#1687216680000",1687216680000,"3.668","3.668","3.663","3.666","16859.3",1687216739999,"61783.6379",161,"2715.6","9952.9465"
"FILUSDT","FILUSDT#1687216740000",1687216740000,"3.665","3.669","3.665","3.669","6506.2",1687216799999,"23862.2972",72,"6078.3","22293.2726"
"FILUSDT","FILUSDT#1687216800000",1687216800000,"3.669","3.671","3.669","3.671","2679.3",1687216859999,"9832.4779",67,"2679.3","9832.4779"
"FILUSDT","FILUSDT#1687216860000",1687216860000,"3.671","3.674","3.671","3.674","7072.0",1687216919999,"25971.5300",99,"6896.8","25328.3680"
"FILUSDT","FILUSDT#1687216920000",1687216920000,"3.674","3.674","3.670","3.670","8078.8",1687216979999,"29672.5437",98,"384.7","1413.0293"
"FILUSDT","FILUSDT#1687216980000",1687216980000,"3.671","3.671","3.671","3.671","2008.0",1687217039999,"7371.3680",9,"2008.0","7371.3680"
"FILUSDT","FILUSDT#1687217040000",1687217040000,"3.671","3.672","3.671","3.671","1681.0",1687217099999,"6171.0888",41,"1340.6","4921.4804"
"FILUSDT","FILUSDT#1687217100000",1687217100000,"3.672","3.676","3.672","3.676","5568.3",1687217159999,"20457.7966",126,"5350.5","19657.4032"
"FILUSDT","FILUSDT#1687217160000",1687217160000,"3.675","3.675","3.674","3.674","7224.7",1687217219999,"26544.7562",54,"1871.5","6875.8910"
"FILUSDT","FILUSDT#1687217220000",1687217220000,"3.674","3.674","3.674","3.674","1014.5",1687217279999,"3727.2730",25,"1014.5","3727.2730"
"FILUSDT","FILUSDT#1687217280000",1687217280000,"3.674","3.675","3.674","3.674","12787.1",1687217339999,"46984.3731",109,"6729.6","24727.4372"
