"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IOSTUSDT","IOSTUSDT#1687266060000",1687266060000,"0.007323","0.007328","0.007320","0.007322","444011",1687266119999,"3252.544635",57,"251489","1842.162879"
"IOSTUSDT","IOSTUSDT#1687266120000",1687266120000,"0.007322","0.007331","0.007321","0.007328","3902473",1687266179999,"28592.071559",85,"3676205","26934.224731"
"IOSTUSDT","IOSTUSDT#1687266180000",1687266180000,"0.007328","0.007330","0.007325","0.007329","417187",1687266239999,"3057.259245",32,"198836","1457.127817"
"IOSTUSDT","IOSTUSDT#1687266240000",1687266240000,"0.007328","0.007329","0.007328","0.007328","32575",1687266299999,"238.710409",8,"809","5.929161"
"IOSTUSDT","IOSTUSDT#1687266300000",1687266300000,"0.007328","0.007334","0.007327","0.007334","2105608",1687266359999,"15433.596222",48,"1885398","13819.250869"
"IOSTUSDT","IOSTUSDT#1687266360000",1687266360000,"0.007334","0.007334","0.007332","0.007333","277342",1687266419999,"2033.758311",12,"16546","121.348364"
"IOSTUSDT","IOSTUSDT#1687266420000",1687266420000,"0.007333","0.007333","0.007332","0.007332","73801",1687266479999,"541.136480",15,"8481","62.191173"
"IOSTUSDT","IOSTUSDT#1687266480000",1687266480000,"0.007333","0.007333","0.007330","0.007330","181433",1687266539999,"1330.265280",10,"18618","136.525794"
"IOSTUSDT","IOSTUSDT#1687266540000",1687266540000,"0.007331","0.007331","0.007329","0.007329","66973",1687266599999,"490.940763",8,"43200","316.699200"
"IOSTUSDT","IOSTUSDT#1687266600000",1687266600000,"0.007329","0.007329","0.007325","0.007326","226535",1687266659999,"1659.758846",15,"31086","227.745872"
"IOSTUSDT","IOSTUSDT#1687266660000",1687266660000,"0.007327","0.007327","0.007326","0.007326","279918",1687266719999,"2050.680154",14,"118969","871.567780"
"IOSTUSDT","IOSTUSDT#1687266720000",1687266720000,"0.007325","0.007325","0.007325","0.007325","22062",1687266779999,"161.604150",6,"0","0.000000"
"IOSTUSDT","IOSTUSDT#1687266780000",1687266780000,"0.007326","0.007326","0.007322","0.007322","798752",1687266839999,"5850.027433",32,"69028","505.674402"
"IOSTUSDT","IOSTUSDT#1687266840000",1687266840000,"0.007321","0.007321","0.007311","0.007314","1327387",1687266899999,"9708.976102",54,"787314","5757.646148"
"IOSTUSDT","IOSTUSDT#1687266900000",1687266900000,"0.007315","0.007316","0.007314","0.007316","673188",1687266959999,"4924.573761",31,"161055","1178.117325"
"IOSTUSDT","IOSTUSDT#1687266960000",1687266960000,"0.007316","0.007316","0.007314","0.007314","212028",1687267019999,"1551.019920",23,"44461","325.251379"
"IOSTUSDT","IOSTUSDT#1687267020000",1687267020000,"0.007315","0.007319","0.007315","0.007319","389533",1687267079999,"2849.925997",25,"300121","2195.865902"
"IOSTUSDT","IOSTUSDT#1687267080000",1687267080000,"0.007320","0.007320","0.007315","0.007315","183147",1687267139999,"1340.390854",10,"8269","60.514590"
"IOSTUSDT","IOSTUSDT#1687267140000",1687267140000,"0.007316","0.007316","0.007314","0.007316","242454",1687267199999,"1773.484279",13,"13672","100.015653"
"IOSTUSDT","IOSTUSDT#1687267200000",1687267200000,"0.007315","0.007320","0.007315","0.007320","410442",1687267259999,"3003.169737",22,"379064","2773.639667"
"IOSTUSDT","IOSTUSDT#1687267260000",1687267260000,"0.007321","0.007324","0.007318","0.007319","523759",1687267319999,"3834.106696",30,"128943","944.086550"
"IOSTUSDT","IOSTUSDT#1687267320000",1687267320000,"0.007319","0.007319","0.007318","0.007318","146137",1687267379999,"1069.439936",16,"9370","68.579030"
"IOSTUSDT","IOSTUSDT#1687267380000",1687267380000,"0.007318","0.007318","0.007311","0.007311","1150299",1687267439999,"8415.363101",35,"137563","1006.028145"
"IOSTUSDT","IOSTUSDT#1687267440000",1687267440000,"0.007311","0.007312","0.007304","0.007305","540520",1687267499999,"3949.900620",52,"176920","1292.637662"
"IOSTUSDT","IOSTUSDT#1687267500000",1687267500000,"0.007304","0.007311","0.007303","0.007311","546087",1687267559999,"3990.232599",25,"470058","3434.615844"
"IOSTUSDT","IOSTUSDT#1687267560000",1687267560000,"0.007312","0.007312","0.007311","0.007311","88125",1687267619999,"644.284817",11,"2942","21.511904"
"IOSTUSDT","IOSTUSDT#1687267620000",1687267620000,"0.007312","0.007315","0.007311","0.007315","729447",1687267679999,"5334.485264",34,"619166","4528.220873"
"IOSTUSDT","IOSTUSDT#1687267680000",1687267680000,"0.007315","0.007318","0.007315","0.007315","1033195",1687267739999,"7559.477552",48,"587373","4297.645720"
"IOSTUSDT","IOSTUSDT#1687267740000",1687267740000,"0.007316","0.007316","0.007312","0.007315","494771",1687267799999,"3618.895341",26,"387186","2832.160977"
"IOSTUSDT","IOSTUSDT#1687267800000",1687267800000,"0.007313","0.007315","0.007307","0.007307","540609",1687267859999,"3952.954718",36,"122668","897.301753"
"IOSTUSDT","IOSTUSDT#1687267860000",1687267860000,"0.007309","0.007322","0.007308","0.007318","1279567",1687267919999,"9362.778659",156,"852821","6239.941267"
"IOSTUSDT","IOSTUSDT#1687267920000",1687267920000,"0.007318","0.007318","0.007309","0.007310","866714",1687267979999,"6338.493746",34,"157007","1147.882724"
"IOSTUSDT","IOSTUSDT#1687267980000",1687267980000,"0.007309","0.007309","0.007304","0.007304","252376",1687268039999,"1844.401871",21,"1000","7.308000"
"IOSTUSDT","IOSTUSDT#1687268040000",1687268040000,"0.007304","0.007306","0.007304","0.007304","334854",1687268099999,"2446.123817",48,"107139","782.669780"
"IOSTUSDT","IOSTUSDT#1687268100000",1687268100000,"0.007305","0.007305","0.007287","0.007289","6545064",1687268159999,"47753.093437",197,"701729","5123.642729"
"IOSTUSDT","IOSTUSDT#1687268160000",1687268160000,"0.007290","0.007291","0.007284","0.007285","624329",1687268219999,"4549.417277",63,"135632","988.252596"
"IOSTUSDT","IOSTUSDT#1687268220000",1687268220000,"0.007284","0.007284","0.007267","0.007268","6421536",1687268279999,"46708.122247",270,"877031","6380.769794"
"IOSTUSDT","IOSTUSDT#1687268280000",1687268280000,"0.007268","0.007269","0.007260","0.007269","2003225",1687268339999,"14550.917984",131,"1770063","12857.256338"
"IOSTUSDT","IOSTUSDT#1687268340000",1687268340000,"0.007270","0.007272","0.007262","0.007272","1902462",1687268399999,"13823.893520",81,"1216961","8842.956500"
"IOSTUSDT","IOSTUSDT#1687268400000",1687268400000,"0.007271","0.007278","0.007271","0.007276","669707",1687268459999,"4872.508221",64,"477429","3473.494147"
"IOSTUSDT","IOSTUSDT#1687268460000",1687268460000,"0.007276","0.007276","0.007270","0.007272","1344529",1687268519999,"9780.437523",55,"177365","1289.939294"
"IOSTUSDT","IOSTUSDT#1687268520000",1687268520000,"0.007273","0.007276","0.007269","0.007269","1152518",1687268579999,"8382.543298",55,"214862","1562.671781"
"IOSTUSDT","IOSTUSDT#1687268580000",1687268580000,"0.007270","0.007273","0.007262","0.007267","2649039",1687268639999,"19250.274896",112,"842796","6126.157895"
"IOSTUSDT","IOSTUSDT#1687268640000",1687268640000,"0.007267","0.007273","0.007267","0.007273","718790",1687268699999,"5226.081111",27,"283927","2064.022386"
"IOSTUSDT","IOSTUSDT#1687268700000",1687268700000,"0.007273","0.007276","0.007272","0.007276","588691",1687268759999,"4282.272147",64,"484432","3523.791637"
"IOSTUSDT","IOSTUSDT#1687268760000",1687268760000,"0.007276","0.007276","0.007272","0.007274","516142",1687268819999,"3754.542381",48,"302884","2203.461332"
"IOSTUSDT","IOSTUSDT#1687268820000",1687268820000,"0.007274","0.007277","0.007273","0.007275","610699",1687268879999,"4442.706376",23,"513894","3738.534017"
"IOSTUSDT","IOSTUSDT#1687268880000",1687268880000,"0.007275","0.007290","0.007274","0.007290","1331566",1687268939999,"9693.164353",76,"1142804","8319.388715"
"IOSTUSDT","IOSTUSDT#1687268940000",1687268940000,"0.007290","0.007291","0.007284","0.007284","1737479",1687268999999,"12661.112571",67,"332265","2421.363049"
"IOSTUSDT","IOSTUSDT#1687269000000",1687269000000,"0.007284","0.007287","0.007284","0.007286","563757",1687269059999,"4107.485533",27,"163814","1193.603666"
"IOSTUSDT","IOSTUSDT#1687269060000",1687269060000,"0.007285","0.007286","0.007282","0.007282","310171",1687269119999,"2259.378451",15,"21151","154.064467"
"IOSTUSDT","IOSTUSDT#1687269120000",1687269120000,"0.007284","0.007284","0.007270","0.007273","1096521",1687269179999,"7979.034681",47,"488754","3555.306396"
"IOSTUSDT","IOSTUSDT#1687269180000",1687269180000,"0.007272","0.007272","0.007260","0.007262","810091",1687269239999,"5885.825826",51,"219168","1592.048123"
"IOSTUSDT","IOSTUSDT#1687269240000",1687269240000,"0.007262","0.007266","0.007262","0.007266","428062",1687269299999,"3109.647182",76,"273197","1984.737616"
"IOSTUSDT","IOSTUSDT#1687269300000",1687269300000,"0.007265","0.007271","0.007264","0.007270","1568601",1687269359999,"11401.900435",52,"785276","5707.506430"
"IOSTUSDT","IOSTUSDT#1687269360000",1687269360000,"0.007267","0.007268","0.007247","0.007249","1968123",1687269419999,"14278.683934",93,"515511","3739.369703"
"IOSTUSDT","IOSTUSDT#1687269420000",1687269420000,"0.007250","0.007252","0.007243","0.007250","2185118",1687269479999,"15840.831704",98,"1616561","11719.174212"
"IOSTUSDT","IOSTUSDT#1687269480000",1687269480000,"0.007250","0.007256","0.007238","0.007256","4444910",1687269539999,"32211.135958",204,"3198555","23180.295896"
"IOSTUSDT","IOSTUSDT#1687269540000",1687269540000,"0.007254","0.007257","0.007216","0.007233","11211229",1687269599999,"81092.190341",393,"4373563","31637.480785"
"IOSTUSDT","IOSTUSDT#1687269600000",1687269600000,"0.007232","0.007232","0.007217","0.007227","4213659",1687269659999,"30441.154287",233,"1429827","10331.814061"
