"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MAGICUSDT","MAGICUSDT#1687284060000",1687284060000,"0.731000","0.732900","0.731000","0.732800","31656.7",1687284119999,"23175.5891800",241,"23551.4","17242.4112200"
"MAGICUSDT","MAGICUSDT#1687284120000",1687284120000,"0.732900","0.733100","0.731400","0.732400","35544.5",1687284179999,"26034.2365000",212,"22479.6","16466.9396700"
"MAGICUSDT","MAGICUSDT#1687284180000",1687284180000,"0.732200","0.733200","0.731700","0.731800","41205.0",1687284239999,"30175.1878200",199,"20431.9","14963.2860200"
"MAGICUSDT","MAGICUSDT#1687284240000",1687284240000,"0.731900","0.733600","0.731900","0.733300","67229.6",1687284299999,"49262.1602100",323,"36045.7","26411.0255900"
"MAGICUSDT","MAGICUSDT#1687284300000",1687284300000,"0.733400","0.736900","0.733400","0.735700","121993.3",1687284359999,"89716.0116000",585,"71124.1","52304.8050600"
"MAGICUSDT","MAGICUSDT#1687284360000",1687284360000,"0.735700","0.736300","0.735100","0.735100","66689.1",1687284419999,"49055.0830300",259,"32082.7","23600.9454000"
"MAGICUSDT","MAGICUSDT#1687284420000",1687284420000,"0.735200","0.735900","0.734700","0.735000","25410.5",1687284479999,"18682.9613500",241,"15797.3","11614.0505400"
"MAGICUSDT","MAGICUSDT#1687284480000",1687284480000,"0.734700","0.736400","0.734700","0.735600","48003.6",1687284539999,"35314.9909000",179,"20436.7","15033.0332800"
"MAGICUSDT","MAGICUSDT#1687284540000",1687284540000,"0.735600","0.736100","0.733700","0.734600","59908.0",1687284599999,"44011.5347300",252,"32355.9","23772.5694300"
"MAGICUSDT","MAGICUSDT#1687284600000",1687284600000,"0.734400","0.736000","0.734100","0.736000","32321.5",1687284659999,"23757.1304000",183,"22858.3","16801.9316400"
"MAGICUSDT","MAGICUSDT#1687284660000",1687284660000,"0.736000","0.738900","0.735900","0.738900","115229.8",1687284719999,"85009.4041200",464,"76249.9","56248.4565400"
"MAGICUSDT","MAGICUSDT#1687284720000",1687284720000,"0.738900","0.742100","0.738900","0.741100","146838.4",1687284779999,"108772.9598000",575,"105037.3","77809.3986300"
"MAGICUSDT","MAGICUSDT#1687284780000",1687284780000,"0.741000","0.744100","0.740700","0.741500","172586.3",1687284839999,"128135.6829400",692,"94539.7","70190.4423100"
"MAGICUSDT","MAGICUSDT#1687284840000",1687284840000,"0.741500","0.744200","0.741500","0.743100","92903.8",1687284899999,"68994.4340900",439,"60474.9","44914.2192800"
"MAGICUSDT","MAGICUSDT#1687284900000",1687284900000,"0.743100","0.745200","0.740700","0.741200","144295.2",1687284959999,"107162.4937200",601,"63062.3","46851.1598000"
"MAGICUSDT","MAGICUSDT#1687284960000",1687284960000,"0.740900","0.741200","0.739300","0.739300","95901.5",1687285019999,"70965.3631500",393,"35447.6","26231.5251900"
"MAGICUSDT","MAGICUSDT#1687285020000",1687285020000,"0.739300","0.739400","0.737900","0.738800","97757.6",1687285079999,"72209.9433700",408,"40850.9","30172.9132900"
"MAGICUSDT","MAGICUSDT#1687285080000",1687285080000,"0.738800","0.741200","0.737900","0.741200","61194.9",1687285139999,"45251.4094000",296,"37871.5","28018.9450400"
"MAGICUSDT","MAGICUSDT#1687285140000",1687285140000,"0.741200","0.745900","0.741100","0.745400","232009.6",1687285199999,"172484.0442500",644,"130708.7","97173.5392000"
"MAGICUSDT","MAGICUSDT#1687285200000",1687285200000,"0.745500","0.747700","0.745500","0.747100","97895.6",1687285259999,"73084.2086500",484,"52061.2","38866.6431800"
"MAGICUSDT","MAGICUSDT#1687285260000",1687285260000,"0.747200","0.754100","0.747200","0.754000","370073.1",1687285319999,"277967.2467800",1214,"236365.6","177541.3029600"
