"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SKLUSDT","SKLUSDT#1687291260000",1687291260000,"0.02525","0.02535","0.02524","0.02533","1368163",1687291319999,"34628.54383",212,"602415","15242.38878"
"SKLUSDT","SKLUSDT#1687291320000",1687291320000,"0.02533","0.02536","0.02532","0.02535","435434",1687291379999,"11036.44089",127,"239570","6072.51134"
"SKLUSDT","SKLUSDT#1687291380000",1687291380000,"0.02536","0.02537","0.02531","0.02532","924386",1687291439999,"23430.14219",139,"150223","3808.56634"
"SKLUSDT","SKLUSDT#1687291440000",1687291440000,"0.02531","0.02531","0.02528","0.02528","451659",1687291499999,"11424.89376",78,"154623","3911.81355"
"SKLUSDT","SKLUSDT#1687291500000",1687291500000,"0.02528","0.02530","0.02521","0.02522","441894",1687291559999,"11163.71967",129,"206700","5224.78288"
"SKLUSDT","SKLUSDT#1687291560000",1687291560000,"0.02522","0.02523","0.02517","0.02518","890092",1687291619999,"22420.90181",159,"605778","15258.51765"
"SKLUSDT","SKLUSDT#1687291620000",1687291620000,"0.02518","0.02518","0.02515","0.02517","862887",1687291679999,"21711.46886",127,"273654","6888.35334"
"SKLUSDT","SKLUSDT#1687291680000",1687291680000,"0.02517","0.02520","0.02515","0.02516","612226",1687291739999,"15411.28358",93,"283768","7145.44218"
"SKLUSDT","SKLUSDT#1687291740000",1687291740000,"0.02517","0.02518","0.02514","0.02516","1294092",1687291799999,"32551.29882",115,"523822","13178.46446"
"SKLUSDT","SKLUSDT#1687291800000",1687291800000,"0.02515","0.02524","0.02515","0.02524","786307",1687291859999,"19824.37731",141,"634795","16004.71054"
"SKLUSDT","SKLUSDT#1687291860000",1687291860000,"0.02523","0.02523","0.02519","0.02521","158553",1687291919999,"3997.08695",55,"124160","3130.26493"
"SKLUSDT","SKLUSDT#1687291920000",1687291920000,"0.02521","0.02521","0.02517","0.02519","269555",1687291979999,"6788.65517",67,"54964","1383.82160"
"SKLUSDT","SKLUSDT#1687291980000",1687291980000,"0.02519","0.02520","0.02518","0.02519","189809",1687292039999,"4780.79977",27,"152087","3830.64868"
"SKLUSDT","SKLUSDT#1687292040000",1687292040000,"0.02519","0.02519","0.02516","0.02517","129724",1687292099999,"3264.85775",45,"37207","936.69020"
"SKLUSDT","SKLUSDT#1687292100000",1687292100000,"0.02517","0.02519","0.02516","0.02518","284559",1687292159999,"7163.46261",44,"260662","6561.84736"
"SKLUSDT","SKLUSDT#1687292160000",1687292160000,"0.02518","0.02519","0.02516","0.02518","454371",1687292219999,"11437.04584",85,"61872","1557.56573"
"SKLUSDT","SKLUSDT#1687292220000",1687292220000,"0.02518","0.02518","0.02516","0.02518","273998",1687292279999,"6895.13321",67,"168399","4238.13429"
"SKLUSDT","SKLUSDT#1687292280000",1687292280000,"0.02518","0.02519","0.02518","0.02518","219666",1687292339999,"5532.43432",29,"212788","5359.24628"
"SKLUSDT","SKLUSDT#1687292340000",1687292340000,"0.02519","0.02522","0.02518","0.02519","786520",1687292399999,"19817.03701",110,"398271","10034.39903"
"SKLUSDT","SKLUSDT#1687292400000",1687292400000,"0.02520","0.02521","0.02519","0.02521","128656",1687292459999,"3241.69357",32,"86469","2178.58117"
"SKLUSDT","SKLUSDT#1687292460000",1687292460000,"0.02520","0.02525","0.02520","0.02525","61276",1687292519999,"1545.45722",20,"58874","1484.84454"
"SKLUSDT","SKLUSDT#1687292520000",1687292520000,"0.02525","0.02526","0.02522","0.02523","168365",1687292579999,"4250.26774",37,"34011","858.71155"
"SKLUSDT","SKLUSDT#1687292580000",1687292580000,"0.02523","0.02523","0.02518","0.02520","292144",1687292639999,"7362.21815",49,"47428","1194.97663"
"SKLUSDT","SKLUSDT#1687292640000",1687292640000,"0.02519","0.02519","0.02518","0.02518","95536",1687292699999,"2406.06467",25,"14656","369.18464"
"SKLUSDT","SKLUSDT#1687292700000",1687292700000,"0.02519","0.02522","0.02519","0.02520","265442",1687292759999,"6690.08788",34,"217839","5490.28917"
"SKLUSDT","SKLUSDT#1687292760000",1687292760000,"0.02520","0.02520","0.02518","0.02520","83442",1687292819999,"2102.24519",26,"43987","1108.37947"
