"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SNXUSDT","SNXUSDT#1687222860000",1687222860000,"1.804","1.805","1.803","1.804","8880.5",1687222919999,"16021.1504",102,"6776.8","12226.3394"
"SNXUSDT","SNXUSDT#1687222920000",1687222920000,"1.804","1.805","1.804","1.804","6562.2",1687222979999,"11842.8378",87,"3275.6","5912.4580"
"SNXUSDT","SNXUSDT#1687222980000",1687222980000,"1.804","1.805","1.804","1.805","190.7",1687223039999,"344.0266",7,"3.8","6.8590"
"SNXUSDT","SNXUSDT#1687223040000",1687223040000,"1.805","1.806","1.804","1.804","5402.7",1687223099999,"9752.0735",68,"3508.8","6334.0309"
"SNXUSDT","SNXUSDT#1687223100000",1687223100000,"1.804","1.805","1.804","1.804","5192.3",1687223159999,"9369.8192",67,"2910.0","5252.5500"
"SNXUSDT","SNXUSDT#1687223160000",1687223160000,"1.804","1.804","1.803","1.804","8527.6",1687223219999,"15379.9102",68,"1921.2","3465.8448"
"SNXUSDT","SNXUSDT#1687223220000",1687223220000,"1.804","1.806","1.803","1.803","18127.9",1687223279999,"32710.0151",166,"9986.9","18023.3722"
"SNXUSDT","SNXUSDT#1687223280000",1687223280000,"1.803","1.804","1.802","1.804","6507.6",1687223339999,"11733.7170",104,"4341.7","7828.8355"
"SNXUSDT","SNXUSDT#1687223340000",1687223340000,"1.804","1.805","1.803","1.805","2982.3",1687223399999,"5380.2171",53,"1459.3","2632.7926"
"SNXUSDT","SNXUSDT#1687223400000",1687223400000,"1.805","1.806","1.803","1.805","12202.5",1687223459999,"22018.6584",155,"4239.8","7651.6113"
"SNXUSDT","SNXUSDT#1687223460000",1687223460000,"1.805","1.806","1.804","1.804","8575.6",1687223519999,"15479.8476",98,"4421.7","7982.0621"
"SNXUSDT","SNXUSDT#1687223520000",1687223520000,"1.804","1.806","1.804","1.806","8103.7",1687223579999,"14627.1642",94,"4108.3","7417.9456"
"SNXUSDT","SNXUSDT#1687223580000",1687223580000,"1.806","1.809","1.806","1.808","13893.7",1687223639999,"25114.5991",184,"6282.5","11356.6543"
"SNXUSDT","SNXUSDT#1687223640000",1687223640000,"1.807","1.810","1.807","1.808","15518.1",1687223699999,"28069.6926",165,"8415.4","15222.3519"
"SNXUSDT","SNXUSDT#1687223700000",1687223700000,"1.809","1.809","1.806","1.808","14984.5",1687223759999,"27086.9578",165,"6616.1","11960.5981"
"SNXUSDT","SNXUSDT#1687223760000",1687223760000,"1.808","1.809","1.807","1.807","6708.6",1687223819999,"12134.4134",74,"3471.7","6280.2883"
"SNXUSDT","SNXUSDT#1687223820000",1687223820000,"1.808","1.809","1.807","1.808","8034.8",1687223879999,"14531.7166",62,"7858.7","14213.4251"
"SNXUSDT","SNXUSDT#1687223880000",1687223880000,"1.809","1.811","1.808","1.810","27507.4",1687223939999,"49764.7256",197,"20357.7","36831.6996"
"SNXUSDT","SNXUSDT#1687223940000",1687223940000,"1.810","1.813","1.809","1.812","16875.4",1687223999999,"30567.0669",209,"8624.1","15621.4504"
"SNXUSDT","SNXUSDT#1687224000000",1687224000000,"1.812","1.814","1.812","1.812","5731.7",1687224059999,"10392.0197",70,"3465.4","6285.0465"
"SNXUSDT","SNXUSDT#1687224060000",1687224060000,"1.812","1.814","1.812","1.814","3302.2",1687224119999,"5988.1547",62,"2621.3","4753.7334"
"SNXUSDT","SNXUSDT#1687224120000",1687224120000,"1.814","1.815","1.813","1.814","7585.0",1687224179999,"13759.7192",61,"1984.1","3599.7143"
"SNXUSDT","SNXUSDT#1687224180000",1687224180000,"1.813","1.815","1.813","1.815","4511.2",1687224239999,"8185.3567",70,"3835.4","6959.7819"
"SNXUSDT","SNXUSDT#1687224240000",1687224240000,"1.814","1.816","1.814","1.815","2258.5",1687224299999,"4099.8567",35,"1894.3","3438.8597"
"SNXUSDT","SNXUSDT#1687224300000",1687224300000,"1.815","1.816","1.814","1.814","7379.0",1687224359999,"13386.6482",85,"1066.1","1933.9681"
"SNXUSDT","SNXUSDT#1687224360000",1687224360000,"1.814","1.815","1.811","1.811","5502.3",1687224419999,"9975.4070",73,"158.4","287.4897"
"SNXUSDT","SNXUSDT#1687224420000",1687224420000,"1.811","1.811","1.810","1.811","6740.2",1687224479999,"12204.5303",85,"3283.3","5945.3228"
"SNXUSDT","SNXUSDT#1687224480000",1687224480000,"1.811","1.812","1.810","1.810","2603.2",1687224539999,"4714.4098",28,"51.0","92.4120"
"SNXUSDT","SNXUSDT#1687224540000",1687224540000,"1.810","1.811","1.810","1.810","1968.9",1687224599999,"3563.7121",37,"1331.9","2410.7421"
"SNXUSDT","SNXUSDT#1687224600000",1687224600000,"1.811","1.812","1.809","1.809","11229.8",1687224659999,"20333.1827",113,"2863.3","5185.5722"
"SNXUSDT","SNXUSDT#1687224660000",1687224660000,"1.810","1.811","1.809","1.810","2807.6",1687224719999,"5081.6580",55,"2555.7","4625.8323"
"SNXUSDT","SNXUSDT#1687224720000",1687224720000,"1.811","1.811","1.810","1.810","3587.0",1687224779999,"6494.7989",99,"1689.2","3059.1412"
"SNXUSDT","SNXUSDT#1687224780000",1687224780000,"1.809","1.811","1.809","1.809","3779.0",1687224839999,"6840.0501",52,"2093.9","3790.1358"
"SNXUSDT","SNXUSDT#1687224840000",1687224840000,"1.810","1.810","1.808","1.808","11217.9",1687224899999,"20284.6837",83,"7111.7","12859.6750"
"SNXUSDT","SNXUSDT#1687224900000",1687224900000,"1.809","1.810","1.808","1.808","4675.3",1687224959999,"8454.6924",75,"2236.7","4045.2817"
"SNXUSDT","SNXUSDT#1687224960000",1687224960000,"1.807","1.808","1.807","1.808","1016.7",1687225019999,"1837.7453",28,"568.4","1027.6672"
"SNXUSDT","SNXUSDT#1687225020000",1687225020000,"1.807","1.808","1.807","1.808","1561.3",1687225079999,"2821.3221",32,"53.0","95.8240"
"SNXUSDT","SNXUSDT#1687225080000",1687225080000,"1.807","1.807","1.806","1.806","3462.2",1687225139999,"6253.3668",55,"422.3","763.0811"
"SNXUSDT","SNXUSDT#1687225140000",1687225140000,"1.805","1.807","1.805","1.807","5675.7",1687225199999,"10251.2645",62,"5431.4","9810.0779"
"SNXUSDT","SNXUSDT#1687225200000",1687225200000,"1.807","1.808","1.807","1.807","204.5",1687225259999,"369.5668",8,"35.3","63.8224"
"SNXUSDT","SNXUSDT#1687225260000",1687225260000,"1.807","1.808","1.806","1.806","6834.3",1687225319999,"12343.9219",70,"3365.9","6078.8382"
"SNXUSDT","SNXUSDT#1687225320000",1687225320000,"1.807","1.807","1.805","1.805","5574.2",1687225379999,"10067.1622",53,"512.6","926.2682"
"SNXUSDT","SNXUSDT#1687225380000",1687225380000,"1.805","1.805","1.803","1.804","6500.5",1687225439999,"11727.5842",43,"621.6","1121.3761"
"SNXUSDT","SNXUSDT#1687225440000",1687225440000,"1.803","1.805","1.803","1.805","5701.8",1687225499999,"10288.3425",67,"5683.8","10255.8885"
"SNXUSDT","SNXUSDT#1687225500000",1687225500000,"1.805","1.806","1.803","1.805","14726.4",1687225559999,"26580.1098",144,"8834.8","15947.3248"
"SNXUSDT","SNXUSDT#1687225560000",1687225560000,"1.805","1.805","1.803","1.803","3738.5",1687225619999,"6743.8701",60,"201.0","362.8050"
"SNXUSDT","SNXUSDT#1687225620000",1687225620000,"1.803","1.804","1.803","1.803","2970.5",1687225679999,"5358.6499",25,"2838.4","5120.4736"
"SNXUSDT","SNXUSDT#1687225680000",1687225680000,"1.803","1.804","1.802","1.802","4902.8",1687225739999,"8839.3181",61,"2165.3","3904.0791"
"SNXUSDT","SNXUSDT#1687225740000",1687225740000,"1.801","1.802","1.800","1.800","7763.0",1687225799999,"13979.4548",63,"2047.7","3688.1159"
"SNXUSDT","SNXUSDT#1687225800000",1687225800000,"1.801","1.802","1.801","1.801","2554.4",1687225859999,"4600.9556",38,"2396.4","4316.3976"
"SNXUSDT","SNXUSDT#1687225860000",1687225860000,"1.801","1.802","1.801","1.801","51.9",1687225919999,"93.4782",4,"6.3","11.3526"
"SNXUSDT","SNXUSDT#1687225920000",1687225920000,"1.802","1.802","1.801","1.801","1814.3",1687225979999,"3267.8397",48,"285.4","514.2908"
"SNXUSDT","SNXUSDT#1687225980000",1687225980000,"1.801","1.803","1.801","1.802","4960.3",1687226039999,"8936.4563",65,"4806.5","8659.3947"
"SNXUSDT","SNXUSDT#1687226040000",1687226040000,"1.803","1.803","1.802","1.802","2192.4",1687226099999,"3951.0359",18,"331.1","596.9733"
"SNXUSDT","SNXUSDT#1687226100000",1687226100000,"1.802","1.803","1.801","1.801","1417.8",1687226159999,"2554.7478",26,"384.8","693.4650"
"SNXUSDT","SNXUSDT#1687226160000",1687226160000,"1.802","1.803","1.802","1.802","1971.8",1687226219999,"3553.2125",34,"1880.0","3387.7889"
"SNXUSDT","SNXUSDT#1687226220000",1687226220000,"1.802","1.804","1.802","1.804","3535.0",1687226279999,"6374.0813",49,"3081.1","5555.7551"
"SNXUSDT","SNXUSDT#1687226280000",1687226280000,"1.803","1.803","1.800","1.800","7217.2",1687226339999,"13005.7648",78,"497.1","895.3727"
