"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SUSHIUSDT","SUSHIUSDT#1687269660000",1687269660000,"0.5819","0.5823","0.5815","0.5822","48858",1687269719999,"28425.9156",273,"18168","10572.4000"
"SUSHIUSDT","SUSHIUSDT#1687269720000",1687269720000,"0.5822","0.5824","0.5818","0.5821","36280",1687269779999,"21115.4543",130,"12886","7499.1205"
"SUSHIUSDT","SUSHIUSDT#1687269780000",1687269780000,"0.5821","0.5825","0.5821","0.5825","17282",1687269839999,"10065.1182",102,"6606","3847.0758"
"SUSHIUSDT","SUSHIUSDT#1687269840000",1687269840000,"0.5824","0.5825","0.5823","0.5825","8743",1687269899999,"5091.8456",75,"3007","1751.3854"
"SUSHIUSDT","SUSHIUSDT#1687269900000",1687269900000,"0.5824","0.5825","0.5819","0.5819","28247",1687269959999,"16441.8242",158,"3776","2198.6583"
"SUSHIUSDT","SUSHIUSDT#1687269960000",1687269960000,"0.5819","0.5825","0.5819","0.5821","31775",1687270019999,"18499.8536",132,"27077","15764.9385"
"SUSHIUSDT","SUSHIUSDT#1687270020000",1687270020000,"0.5821","0.5825","0.5816","0.5816","23944",1687270079999,"13937.9137",134,"7132","4152.3156"
"SUSHIUSDT","SUSHIUSDT#1687270080000",1687270080000,"0.5816","0.5816","0.5784","0.5800","300449",1687270139999,"174108.5255",787,"100582","58283.0502"
"SUSHIUSDT","SUSHIUSDT#1687270140000",1687270140000,"0.5800","0.5810","0.5793","0.5805","152449",1687270199999,"88499.0959",486,"79007","45871.6162"
"SUSHIUSDT","SUSHIUSDT#1687270200000",1687270200000,"0.5805","0.5815","0.5801","0.5806","104183",1687270259999,"60498.2615",394,"38267","22224.0218"
"SUSHIUSDT","SUSHIUSDT#1687270260000",1687270260000,"0.5807","0.5812","0.5806","0.5807","41981",1687270319999,"24385.3311",203,"13778","8003.6125"
"SUSHIUSDT","SUSHIUSDT#1687270320000",1687270320000,"0.5808","0.5809","0.5804","0.5804","9051",1687270379999,"5255.1708",50,"2357","1368.9886"
"SUSHIUSDT","SUSHIUSDT#1687270380000",1687270380000,"0.5803","0.5805","0.5797","0.5802","47083",1687270439999,"27314.6627",157,"23870","13848.2945"
"SUSHIUSDT","SUSHIUSDT#1687270440000",1687270440000,"0.5801","0.5807","0.5799","0.5807","29678",1687270499999,"17222.0013",104,"15808","9175.0671"
"SUSHIUSDT","SUSHIUSDT#1687270500000",1687270500000,"0.5806","0.5806","0.5796","0.5801","51561",1687270559999,"29906.2059",172,"20149","11688.2826"
"SUSHIUSDT","SUSHIUSDT#1687270560000",1687270560000,"0.5801","0.5802","0.5776","0.5790","114505",1687270619999,"66255.0643",461,"45326","26235.9114"
"SUSHIUSDT","SUSHIUSDT#1687270620000",1687270620000,"0.5789","0.5792","0.5782","0.5788","61202",1687270679999,"35425.5524",394,"30262","17516.8030"
"SUSHIUSDT","SUSHIUSDT#1687270680000",1687270680000,"0.5788","0.5790","0.5784","0.5785","29928",1687270739999,"17320.2858",204,"13896","8043.1888"
"SUSHIUSDT","SUSHIUSDT#1687270740000",1687270740000,"0.5785","0.5786","0.5779","0.5784","40584",1687270799999,"23469.3447",162,"11878","6869.4365"
"SUSHIUSDT","SUSHIUSDT#1687270800000",1687270800000,"0.5785","0.5791","0.5784","0.5790","55757",1687270859999,"32269.1261",200,"40109","23214.4263"
"SUSHIUSDT","SUSHIUSDT#1687270860000",1687270860000,"0.5790","0.5796","0.5785","0.5785","22445",1687270919999,"13000.7223",118,"9167","5310.0279"
"SUSHIUSDT","SUSHIUSDT#1687270920000",1687270920000,"0.5785","0.5790","0.5776","0.5790","107504",1687270979999,"62149.5306",270,"41045","23737.3194"
"SUSHIUSDT","SUSHIUSDT#1687270980000",1687270980000,"0.5790","0.5790","0.5787","0.5789","18597",1687271039999,"10765.9023",72,"5321","3080.5674"
"SUSHIUSDT","SUSHIUSDT#1687271040000",1687271040000,"0.5790","0.5791","0.5789","0.5790","11605",1687271099999,"6718.3721",45,"1252","724.9284"
"SUSHIUSDT","SUSHIUSDT#1687271100000",1687271100000,"0.5790","0.5790","0.5785","0.5787","27686",1687271159999,"16024.7685",110,"11375","6583.4420"
"SUSHIUSDT","SUSHIUSDT#1687271160000",1687271160000,"0.5787","0.5794","0.5773","0.5787","201811",1687271219999,"116696.8212",670,"104778","60581.4052"
"SUSHIUSDT","SUSHIUSDT#1687271220000",1687271220000,"0.5788","0.5791","0.5775","0.5781","76781",1687271279999,"44403.3386",271,"37809","21868.6058"
"SUSHIUSDT","SUSHIUSDT#1687271280000",1687271280000,"0.5779","0.5784","0.5776","0.5777","26195",1687271339999,"15144.4530",91,"12591","7280.0249"
"SUSHIUSDT","SUSHIUSDT#1687271340000",1687271340000,"0.5777","0.5788","0.5777","0.5786","40595",1687271399999,"23475.5417",152,"31478","18203.1559"
"SUSHIUSDT","SUSHIUSDT#1687271400000",1687271400000,"0.5786","0.5792","0.5781","0.5790","43230",1687271459999,"25016.1076",229,"18002","10418.4947"
"SUSHIUSDT","SUSHIUSDT#1687271460000",1687271460000,"0.5790","0.5794","0.5788","0.5792","33967",1687271519999,"19669.6956",197,"17760","10284.1320"
"SUSHIUSDT","SUSHIUSDT#1687271520000",1687271520000,"0.5792","0.5792","0.5787","0.5791","28579",1687271579999,"16545.3268",121,"9635","5578.3914"
"SUSHIUSDT","SUSHIUSDT#1687271580000",1687271580000,"0.5791","0.5792","0.5788","0.5791","27892",1687271639999,"16148.9936",128,"9568","5540.1929"
