"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"UNIUSDT","UNIUSDT#1687248060000",1687248060000,"4.4300","4.4310","4.4290","4.4300","3953",1687248119999,"17511.9140",103,"1479","6552.2430"
"UNIUSDT","UNIUSDT#1687248120000",1687248120000,"4.4300","4.4310","4.4270","4.4270","3414",1687248179999,"15119.2110",108,"251","1111.4880"
"UNIUSDT","UNIUSDT#1687248180000",1687248180000,"4.4270","4.4310","4.4270","4.4300","6479",1687248239999,"28693.7550",96,"6068","26873.8260"
"UNIUSDT","UNIUSDT#1687248240000",1687248240000,"4.4310","4.4340","4.4310","4.4330","2076",1687248299999,"9201.6980",106,"1818","8058.2340"
"UNIUSDT","UNIUSDT#1687248300000",1687248300000,"4.4340","4.4340","4.4280","4.4290","6722",1687248359999,"29786.4750",183,"1598","7079.4820"
"UNIUSDT","UNIUSDT#1687248360000",1687248360000,"4.4290","4.4290","4.4230","4.4230","8786",1687248419999,"38890.7720",164,"1674","7411.8510"
"UNIUSDT","UNIUSDT#1687248420000",1687248420000,"4.4240","4.4270","4.4240","4.4260","6151",1687248479999,"27218.0000",127,"3964","17540.6990"
"UNIUSDT","UNIUSDT#1687248480000",1687248480000,"4.4250","4.4260","4.4240","4.4260","1634",1687248539999,"7230.4680",61,"849","3757.0240"
"UNIUSDT","UNIUSDT#1687248540000",1687248540000,"4.4250","4.4250","4.4210","4.4210","3628",1687248599999,"16048.7320",98,"464","2052.6920"
"UNIUSDT","UNIUSDT#1687248600000",1687248600000,"4.4210","4.4220","4.4200","4.4220","8385",1687248659999,"37069.6530",100,"7942","35111.5930"
"UNIUSDT","UNIUSDT#1687248660000",1687248660000,"4.4220","4.4220","4.4200","4.4210","912",1687248719999,"4032.2370",60,"566","2502.5830"
"UNIUSDT","UNIUSDT#1687248720000",1687248720000,"4.4210","4.4210","4.4160","4.4180","11181",1687248779999,"49400.3930",181,"3840","16966.3810"
"UNIUSDT","UNIUSDT#1687248780000",1687248780000,"4.4180","4.4190","4.4180","4.4180","223",1687248839999,"985.2250",10,"11","48.6090"
"UNIUSDT","UNIUSDT#1687248840000",1687248840000,"4.4190","4.4190","4.4180","4.4180","1182",1687248899999,"5222.1460",26,"114","503.7220"
"UNIUSDT","UNIUSDT#1687248900000",1687248900000,"4.4190","4.4220","4.4190","4.4190","10247",1687248959999,"45287.8210",97,"8680","38360.8950"
"UNIUSDT","UNIUSDT#1687248960000",1687248960000,"4.4190","4.4190","4.4130","4.4140","14152",1687249019999,"62495.3540",183,"2537","11200.2750"
"UNIUSDT","UNIUSDT#1687249020000",1687249020000,"4.4150","4.4150","4.4140","4.4140","181",1687249079999,"799.0080",14,"74","326.7100"
