"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BALUSDT","BALUSDT#1687327260000",1687327260000,"4.634","4.634","4.631","4.633","704.3",1687327319999,"3262.9850",58,"260.6","1207.3875"
"BALUSDT","BALUSDT#1687327320000",1687327320000,"4.633","4.634","4.631","4.632","406.1",1687327379999,"1881.2460",51,"201.7","934.4197"
"BALUSDT","BALUSDT#1687327380000",1687327380000,"4.633","4.638","4.633","4.636","1487.0",1687327439999,"6892.6380",61,"1225.3","5679.4540"
"BALUSDT","BALUSDT#1687327440000",1687327440000,"4.637","4.637","4.631","4.633","918.9",1687327499999,"4258.5042",49,"528.5","2449.6607"
"BALUSDT","BALUSDT#1687327500000",1687327500000,"4.634","4.634","4.626","4.627","1618.2",1687327559999,"7489.5297",87,"119.6","553.3495"
"BALUSDT","BALUSDT#1687327560000",1687327560000,"4.628","4.640","4.627","4.630","3678.4",1687327619999,"17047.3702",168,"1583.9","7339.6902"
"BALUSDT","BALUSDT#1687327620000",1687327620000,"4.630","4.636","4.630","4.633","1994.6",1687327679999,"9244.5775",49,"1149.8","5329.1898"
"BALUSDT","BALUSDT#1687327680000",1687327680000,"4.635","4.638","4.633","4.638","479.9",1687327739999,"2224.5471",33,"167.5","776.2823"
"BALUSDT","BALUSDT#1687327740000",1687327740000,"4.636","4.639","4.636","4.638","323.1",1687327799999,"1498.4887",25,"170.8","792.1414"
"BALUSDT","BALUSDT#1687327800000",1687327800000,"4.637","4.637","4.633","4.633","370.4",1687327859999,"1716.8165",37,"44.5","206.3465"
"BALUSDT","BALUSDT#1687327860000",1687327860000,"4.634","4.634","4.633","4.633","287.0",1687327919999,"1329.8659",18,"163.4","757.1123"
"BALUSDT","BALUSDT#1687327920000",1687327920000,"4.634","4.637","4.633","4.633","395.9",1687327979999,"1835.2086",16,"213.1","987.7315"
"BALUSDT","BALUSDT#1687327980000",1687327980000,"4.633","4.633","4.631","4.632","258.8",1687328039999,"1198.7656",17,"182.2","843.9724"
"BALUSDT","BALUSDT#1687328040000",1687328040000,"4.631","4.632","4.630","4.630","289.5",1687328099999,"1340.5116",20,"91.9","425.5906"
"BALUSDT","BALUSDT#1687328100000",1687328100000,"4.629","4.632","4.628","4.632","473.3",1687328159999,"2191.2470",20,"269.9","1249.7207"
"BALUSDT","BALUSDT#1687328160000",1687328160000,"4.634","4.638","4.634","4.636","642.8",1687328219999,"2980.2195",38,"216.4","1003.0144"
"BALUSDT","BALUSDT#1687328220000",1687328220000,"4.636","4.639","4.635","4.638","383.8",1687328279999,"1779.8519",26,"261.1","1210.8230"
"BALUSDT","BALUSDT#1687328280000",1687328280000,"4.637","4.637","4.630","4.632","527.1",1687328339999,"2441.8744",21,"16.0","74.1232"
"BALUSDT","BALUSDT#1687328340000",1687328340000,"4.632","4.632","4.622","4.625","1237.5",1687328399999,"5723.3124",55,"222.1","1027.1303"
"BALUSDT","BALUSDT#1687328400000",1687328400000,"4.627","4.632","4.627","4.628","2319.4",1687328459999,"10739.0982",69,"1874.2","8678.3204"
"BALUSDT","BALUSDT#1687328460000",1687328460000,"4.627","4.627","4.624","4.625","170.1",1687328519999,"786.7924",14,"120.5","557.3125"
"BALUSDT","BALUSDT#1687328520000",1687328520000,"4.625","4.628","4.625","4.628","338.5",1687328579999,"1566.0093",18,"307.0","1420.2404"
"BALUSDT","BALUSDT#1687328580000",1687328580000,"4.628","4.629","4.626","4.626","228.4",1687328639999,"1056.9471",13,"67.8","313.8326"
"BALUSDT","BALUSDT#1687328640000",1687328640000,"4.625","4.627","4.623","4.625","484.7",1687328699999,"2241.5083",25,"190.9","882.8631"
"BALUSDT","BALUSDT#1687328700000",1687328700000,"4.626","4.628","4.624","4.625","158.8",1687328759999,"734.6622",38,"26.3","121.6622"
"BALUSDT","BALUSDT#1687328760000",1687328760000,"4.627","4.628","4.624","4.626","397.2",1687328819999,"1837.2611",27,"249.8","1155.4789"
"BALUSDT","BALUSDT#1687328820000",1687328820000,"4.628","4.629","4.627","4.627","45.1",1687328879999,"208.7425",9,"19.9","92.1169"
"BALUSDT","BALUSDT#1687328880000",1687328880000,"4.626","4.626","4.624","4.624","59.5",1687328939999,"275.2084",9,"0.1","0.4626"
