"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FOOTBALLUSDT","FOOTBALLUSDT#1687366860000",1687366860000,"390.90000","391.40000","390.64000","391.36000","13.43",1687366919999,"5249.4002000",48,"5.99","2341.6359000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687366920000",1687366920000,"391.32000","391.88000","391.16000","391.88000","30.91",1687366979999,"12100.3753000",57,"22.73","8899.6666000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687366980000",1687366980000,"391.89000","392.42000","391.84000","392.31000","25.37",1687367039999,"9950.4299000",55,"19.68","7719.4720000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367040000",1687367040000,"392.32000","392.73000","392.23000","392.73000","10.01",1687367099999,"3929.1990000",42,"6.65","2610.4269000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367100000",1687367100000,"392.73000","393.34000","392.52000","392.53000","28.92",1687367159999,"11365.6837000",66,"18.17","7139.5966000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367160000",1687367160000,"392.62000","392.70000","392.11000","392.54000","14.92",1687367219999,"5854.1002000",44,"6.54","2566.6017000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367220000",1687367220000,"392.57000","392.60000","392.06000","392.09000","12.43",1687367279999,"4877.0716000",37,"7.12","2794.0379000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367280000",1687367280000,"391.97000","391.97000","391.69000","391.91000","9.05",1687367339999,"3546.6477000",35,"2.68","1050.0864000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367340000",1687367340000,"391.93000","392.15000","391.74000","391.76000","18.62",1687367399999,"7296.8755000",30,"3.79","1485.1086000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367400000",1687367400000,"391.78000","391.95000","389.71000","390.65000","56.51",1687367459999,"22047.5793000",108,"21.83","8517.0794000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367460000",1687367460000,"390.57000","390.57000","388.77000","389.07000","98.90",1687367519999,"38501.2500000",148,"26.58","10346.5287000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367520000",1687367520000,"388.90000","388.99000","388.27000","388.54000","52.76",1687367579999,"20498.7645000",73,"19.53","7587.9765000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367580000",1687367580000,"388.43000","389.24000","388.39000","389.12000","20.79",1687367639999,"8086.2449000",62,"13.55","5270.8840000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367640000",1687367640000,"389.24000","389.39000","389.04000","389.16000","8.46",1687367699999,"3292.6231000",28,"3.95","1537.6258000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367700000",1687367700000,"388.97000","390.30000","388.76000","390.29000","61.87",1687367759999,"24107.4959000",83,"49.18","19164.7974000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367760000",1687367760000,"390.34000","390.49000","390.26000","390.49000","1.01",1687367819999,"394.2676000",15,"0.62","242.0277000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367820000",1687367820000,"390.55000","390.92000","390.51000","390.59000","24.83",1687367879999,"9701.0108000",45,"13.40","5234.7219000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367880000",1687367880000,"390.58000","390.83000","390.58000","390.72000","2.04",1687367939999,"797.1385000",25,"1.59","621.2885000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687367940000",1687367940000,"390.67000","390.78000","390.35000","390.55000","21.98",1687367999999,"8582.7652000",32,"0.23","89.8651000"
"FOOTBALLUSDT","FOOTBALLUSDT#1687368000000",1687368000000,"390.55000","391.30000","390.50000","391.29000","9.00",1687368059999,"3518.3188000",37,"7.09","2771.7961000"
