"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FTMUSDT","FTMUSDT#1687352460000",1687352460000,"0.284900","0.286000","0.284900","0.285700","578692",1687352519999,"165251.422800",374,"346331","98861.392000"
"FTMUSDT","FTMUSDT#1687352520000",1687352520000,"0.285700","0.285900","0.285400","0.285500","162484",1687352579999,"46418.872100",194,"59478","16994.479600"
"FTMUSDT","FTMUSDT#1687352580000",1687352580000,"0.285400","0.285900","0.285400","0.285900","179670",1687352639999,"51319.356500",168,"138538","39574.576200"
"FTMUSDT","FTMUSDT#1687352640000",1687352640000,"0.285900","0.286300","0.285900","0.286200","515736",1687352699999,"147580.462200",274,"435206","124533.177000"
"FTMUSDT","FTMUSDT#1687352700000",1687352700000,"0.286200","0.286200","0.285800","0.286000","220992",1687352759999,"63193.295900",207,"110586","31622.563500"
"FTMUSDT","FTMUSDT#1687352760000",1687352760000,"0.286000","0.286400","0.286000","0.286400","133921",1687352819999,"38326.126500",97,"114862","32873.073000"
"FTMUSDT","FTMUSDT#1687352820000",1687352820000,"0.286400","0.286400","0.286200","0.286400","186218",1687352879999,"53310.110600",89,"138290","39591.995700"
"FTMUSDT","FTMUSDT#1687352880000",1687352880000,"0.286400","0.286700","0.286200","0.286300","359671",1687352939999,"103040.472800",200,"140744","40321.340800"
"FTMUSDT","FTMUSDT#1687352940000",1687352940000,"0.286400","0.286500","0.286100","0.286200","272367",1687352999999,"77971.968300",168,"135419","38782.161000"
"FTMUSDT","FTMUSDT#1687353000000",1687353000000,"0.286300","0.286300","0.286000","0.286100","210515",1687353059999,"60259.722000",168,"147172","42129.195200"
"FTMUSDT","FTMUSDT#1687353060000",1687353060000,"0.286000","0.286500","0.286000","0.286400","156741",1687353119999,"44877.154700",163,"115188","32979.664300"
"FTMUSDT","FTMUSDT#1687353120000",1687353120000,"0.286300","0.286600","0.286300","0.286500","95593",1687353179999,"27380.446200",118,"67106","19221.517500"
"FTMUSDT","FTMUSDT#1687353180000",1687353180000,"0.286400","0.286400","0.286200","0.286400","145436",1687353239999,"41641.959700",170,"64779","18549.405900"
"FTMUSDT","FTMUSDT#1687353240000",1687353240000,"0.286300","0.286400","0.286100","0.286100","33734",1687353299999,"9657.258900",55,"9029","2585.579500"
"FTMUSDT","FTMUSDT#1687353300000",1687353300000,"0.286100","0.287000","0.286100","0.286500","373269",1687353359999,"107000.802900",309,"230043","65934.832300"
"FTMUSDT","FTMUSDT#1687353360000",1687353360000,"0.286500","0.286500","0.286000","0.286200","145631",1687353419999,"41695.739000",150,"61228","17523.086900"
"FTMUSDT","FTMUSDT#1687353420000",1687353420000,"0.286200","0.286700","0.286200","0.286600","131229",1687353479999,"37597.779800",171,"76017","21779.824700"
"FTMUSDT","FTMUSDT#1687353480000",1687353480000,"0.286600","0.286800","0.286100","0.286100","268799",1687353539999,"77025.332300",216,"124099","35569.611700"
"FTMUSDT","FTMUSDT#1687353540000",1687353540000,"0.286200","0.286400","0.286200","0.286400","74609",1687353599999,"21361.030300",98,"60602","17351.373800"
"FTMUSDT","FTMUSDT#1687353600000",1687353600000,"0.286400","0.286600","0.286300","0.286600","89325",1687353659999,"25583.476900",125,"54529","15617.525500"
"FTMUSDT","FTMUSDT#1687353660000",1687353660000,"0.286600","0.286800","0.286500","0.286700","188104",1687353719999,"53928.905900",128,"161463","46291.022800"
"FTMUSDT","FTMUSDT#1687353720000",1687353720000,"0.286700","0.286800","0.286600","0.286800","24462",1687353779999,"7014.936200",58,"22391","6421.187700"
"FTMUSDT","FTMUSDT#1687353780000",1687353780000,"0.286800","0.287100","0.286700","0.287000","199725",1687353839999,"57295.125500",203,"103927","29816.008000"
"FTMUSDT","FTMUSDT#1687353840000",1687353840000,"0.287000","0.287200","0.286500","0.286900","1552872",1687353899999,"445442.538100",390,"364666","104559.732700"
"FTMUSDT","FTMUSDT#1687353900000",1687353900000,"0.286800","0.287200","0.286700","0.287200","162550",1687353959999,"46645.155800",185,"112122","32174.659400"
"FTMUSDT","FTMUSDT#1687353960000",1687353960000,"0.287100","0.287200","0.286900","0.287000","159506",1687354019999,"45788.624300",138,"50902","14611.131200"
"FTMUSDT","FTMUSDT#1687354020000",1687354020000,"0.287000","0.287200","0.287000","0.287200","125261",1687354079999,"35964.049100",134,"110686","31780.098600"
"FTMUSDT","FTMUSDT#1687354080000",1687354080000,"0.287300","0.287400","0.287200","0.287300","164385",1687354139999,"47231.085300",183,"67563","19414.153600"
"FTMUSDT","FTMUSDT#1687354140000",1687354140000,"0.287300","0.287500","0.287100","0.287100","807034",1687354199999,"231874.125500",327,"148707","42734.897400"
"FTMUSDT","FTMUSDT#1687354200000",1687354200000,"0.287100","0.287300","0.286700","0.287200","579859",1687354259999,"166403.586600",305,"445518","127839.061100"
"FTMUSDT","FTMUSDT#1687354260000",1687354260000,"0.287100","0.287200","0.286800","0.286900","856330",1687354319999,"245690.715700",144,"37096","10649.121000"
"FTMUSDT","FTMUSDT#1687354320000",1687354320000,"0.286900","0.287200","0.286900","0.287200","322390",1687354379999,"92543.434900",331,"258990","74344.692900"
"FTMUSDT","FTMUSDT#1687354380000",1687354380000,"0.287200","0.287200","0.286900","0.287100","78171",1687354439999,"22436.024200",121,"26484","7601.448600"
"FTMUSDT","FTMUSDT#1687354440000",1687354440000,"0.287100","0.287300","0.287000","0.287300","112376",1687354499999,"32269.232100",133,"85051","24423.523200"
"FTMUSDT","FTMUSDT#1687354500000",1687354500000,"0.287200","0.287500","0.287200","0.287300","169574",1687354559999,"48729.447300",133,"118599","34081.249000"
"FTMUSDT","FTMUSDT#1687354560000",1687354560000,"0.287300","0.287700","0.287300","0.287600","285701",1687354619999,"82153.691500",226,"240965","69289.974800"
"FTMUSDT","FTMUSDT#1687354620000",1687354620000,"0.287600","0.287900","0.287600","0.287800","206040",1687354679999,"59289.695000",214,"120817","34768.141800"
"FTMUSDT","FTMUSDT#1687354680000",1687354680000,"0.287800","0.288400","0.287700","0.288200","1450057",1687354739999,"417829.399600",601,"1139173","328232.334400"
"FTMUSDT","FTMUSDT#1687354740000",1687354740000,"0.288100","0.288200","0.288000","0.288000","165301",1687354799999,"47619.943800",117,"33897","9768.540900"
"FTMUSDT","FTMUSDT#1687354800000",1687354800000,"0.288100","0.288300","0.288000","0.288200","199305",1687354859999,"57432.675900",208,"103110","29712.886200"
"FTMUSDT","FTMUSDT#1687354860000",1687354860000,"0.288200","0.288700","0.288100","0.288600","319472",1687354919999,"92149.200400",290,"165410","47719.049100"
"FTMUSDT","FTMUSDT#1687354920000",1687354920000,"0.288600","0.288700","0.288500","0.288600","270080",1687354979999,"77945.981200",184,"153113","44193.218500"
"FTMUSDT","FTMUSDT#1687354980000",1687354980000,"0.288500","0.288800","0.288400","0.288400","257577",1687355039999,"74349.743300",204,"70181","20260.046200"
"FTMUSDT","FTMUSDT#1687355040000",1687355040000,"0.288400","0.288500","0.288000","0.288300","986189",1687355099999,"284230.245100",399,"204567","58958.907900"
"FTMUSDT","FTMUSDT#1687355100000",1687355100000,"0.288300","0.288400","0.287900","0.288300","368437",1687355159999,"106170.675300",283,"216259","62322.448800"
"FTMUSDT","FTMUSDT#1687355160000",1687355160000,"0.288400","0.288700","0.288400","0.288700","656632",1687355219999,"189487.522400",368,"417435","120458.819500"
"FTMUSDT","FTMUSDT#1687355220000",1687355220000,"0.288700","0.289400","0.288300","0.288500","2337157",1687355279999,"675037.100300",971,"1126702","325553.289400"
"FTMUSDT","FTMUSDT#1687355280000",1687355280000,"0.288400","0.289200","0.288300","0.289100","359130",1687355339999,"103690.325400",286,"189112","54605.795300"
"FTMUSDT","FTMUSDT#1687355340000",1687355340000,"0.289100","0.291400","0.289000","0.289700","5241602",1687355399999,"1521681.076500",2831,"3041854","883207.055400"
"FTMUSDT","FTMUSDT#1687355400000",1687355400000,"0.289600","0.290000","0.289400","0.289400","910467",1687355459999,"263713.865100",632,"518437","150184.246000"
"FTMUSDT","FTMUSDT#1687355460000",1687355460000,"0.289500","0.289800","0.289400","0.289800","383666",1687355519999,"111132.518900",307,"215112","62313.734500"
"FTMUSDT","FTMUSDT#1687355520000",1687355520000,"0.289800","0.290600","0.289700","0.290500","885860",1687355579999,"257054.642900",480,"567819","164767.389300"
"FTMUSDT","FTMUSDT#1687355580000",1687355580000,"0.290500","0.291000","0.290300","0.290800","738055",1687355639999,"214564.874300",432,"372975","108443.688100"
"FTMUSDT","FTMUSDT#1687355640000",1687355640000,"0.290700","0.290900","0.290500","0.290700","662899",1687355699999,"192701.389300",425,"292567","85058.049400"
"FTMUSDT","FTMUSDT#1687355700000",1687355700000,"0.290700","0.291000","0.289700","0.289900","1298761",1687355759999,"377221.193300",663,"687989","199873.498700"
"FTMUSDT","FTMUSDT#1687355760000",1687355760000,"0.289800","0.290000","0.289300","0.289900","1274110",1687355819999,"368979.910200",545,"558267","161721.308600"
"FTMUSDT","FTMUSDT#1687355820000",1687355820000,"0.290000","0.290200","0.289800","0.289900","361395",1687355879999,"104809.434100",232,"195341","56653.375000"
"FTMUSDT","FTMUSDT#1687355880000",1687355880000,"0.290000","0.290200","0.289400","0.289400","386326",1687355939999,"112043.924300",234,"293205","85052.758000"
"FTMUSDT","FTMUSDT#1687355940000",1687355940000,"0.289400","0.290200","0.289400","0.289600","828189",1687355999999,"239938.528300",412,"358155","103777.632000"
"FTMUSDT","FTMUSDT#1687356000000",1687356000000,"0.289500","0.290400","0.289500","0.290400","441502",1687356059999,"127944.043400",411,"318574","92330.766700"
