"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"PHBUSDT","PHBUSDT#1687384860000",1687384860000,"0.6882000","0.6887000","0.6872000","0.6882000","11104",1687384919999,"7639.7203000",74,"3122","2148.1622000"
"PHBUSDT","PHBUSDT#1687384920000",1687384920000,"0.6879000","0.6891000","0.6876000","0.6890000","9053",1687384979999,"6230.1979000",52,"3030","2086.0685000"
"PHBUSDT","PHBUSDT#1687384980000",1687384980000,"0.6886000","0.6890000","0.6883000","0.6888000","3256",1687385039999,"2242.2638000",27,"878","604.6100000"
"PHBUSDT","PHBUSDT#1687385040000",1687385040000,"0.6888000","0.6892000","0.6886000","0.6888000","2032",1687385099999,"1399.8607000",17,"68","46.8429000"
"PHBUSDT","PHBUSDT#1687385100000",1687385100000,"0.6889000","0.6907000","0.6889000","0.6899000","25288",1687385159999,"17450.5252000",148,"17733","12237.4315000"
"PHBUSDT","PHBUSDT#1687385160000",1687385160000,"0.6899000","0.6907000","0.6890000","0.6907000","16596",1687385219999,"11449.7148000",69,"9161","6321.2652000"
"PHBUSDT","PHBUSDT#1687385220000",1687385220000,"0.6906000","0.6906000","0.6885000","0.6898000","16140",1687385279999,"11130.4991000",70,"6535","4503.1601000"
"PHBUSDT","PHBUSDT#1687385280000",1687385280000,"0.6893000","0.6893000","0.6891000","0.6891000","712",1687385339999,"490.7178000",5,"319","219.8229000"
"PHBUSDT","PHBUSDT#1687385340000",1687385340000,"0.6891000","0.6891000","0.6885000","0.6887000","3718",1687385399999,"2561.1772000",33,"1576","1085.7924000"
"PHBUSDT","PHBUSDT#1687385400000",1687385400000,"0.6890000","0.6897000","0.6887000","0.6893000","4470",1687385459999,"3081.6948000",20,"2205","1520.1879000"
"PHBUSDT","PHBUSDT#1687385460000",1687385460000,"0.6895000","0.6910000","0.6892000","0.6910000","11343",1687385519999,"7824.4518000",59,"8429","5815.1926000"
"PHBUSDT","PHBUSDT#1687385520000",1687385520000,"0.6909000","0.6932000","0.6908000","0.6928000","16117",1687385579999,"11156.5777000",85,"10959","7585.2754000"
"PHBUSDT","PHBUSDT#1687385580000",1687385580000,"0.6926000","0.6928000","0.6919000","0.6925000","7412",1687385639999,"5130.9054000",33,"5338","3695.2965000"
"PHBUSDT","PHBUSDT#1687385640000",1687385640000,"0.6922000","0.6922000","0.6918000","0.6918000","2834",1687385699999,"1961.3285000",17,"231","159.8121000"
"PHBUSDT","PHBUSDT#1687385700000",1687385700000,"0.6918000","0.6919000","0.6909000","0.6914000","10664",1687385759999,"7372.6782000",54,"6259","4327.3008000"
"PHBUSDT","PHBUSDT#1687385760000",1687385760000,"0.6913000","0.6922000","0.6913000","0.6917000","9350",1687385819999,"6469.3740000",51,"6193","4285.0013000"
"PHBUSDT","PHBUSDT#1687385820000",1687385820000,"0.6918000","0.6923000","0.6918000","0.6922000","3551",1687385879999,"2457.8134000",23,"1805","1249.4509000"
"PHBUSDT","PHBUSDT#1687385880000",1687385880000,"0.6921000","0.6931000","0.6921000","0.6931000","10924",1687385939999,"7566.9919000",38,"8741","6054.8174000"
"PHBUSDT","PHBUSDT#1687385940000",1687385940000,"0.6929000","0.6933000","0.6923000","0.6933000","9454",1687385999999,"6549.1035000",42,"5408","3746.7406000"
"PHBUSDT","PHBUSDT#1687386000000",1687386000000,"0.6929000","0.6933000","0.6920000","0.6925000","25745",1687386059999,"17834.3471000",87,"13579","9409.7366000"
"PHBUSDT","PHBUSDT#1687386060000",1687386060000,"0.6922000","0.6922000","0.6917000","0.6920000","3784",1687386119999,"2618.3828000",22,"2902","2008.0615000"
"PHBUSDT","PHBUSDT#1687386120000",1687386120000,"0.6919000","0.6921000","0.6913000","0.6918000","10125",1687386179999,"7002.7817000",29,"5503","3806.2994000"
"PHBUSDT","PHBUSDT#1687386180000",1687386180000,"0.6920000","0.6923000","0.6919000","0.6922000","4653",1687386239999,"3220.2882000",24,"2178","1507.5369000"
"PHBUSDT","PHBUSDT#1687386240000",1687386240000,"0.6922000","0.6929000","0.6922000","0.6929000","5475",1687386299999,"3791.3518000",27,"5429","3759.5082000"
"PHBUSDT","PHBUSDT#1687386300000",1687386300000,"0.6929000","0.6929000","0.6925000","0.6928000","4169",1687386359999,"2887.9785000",36,"3436","2380.1993000"
"PHBUSDT","PHBUSDT#1687386360000",1687386360000,"0.6928000","0.6932000","0.6925000","0.6926000","11607",1687386419999,"8041.1017000",43,"7796","5401.2391000"
"PHBUSDT","PHBUSDT#1687386420000",1687386420000,"0.6926000","0.6936000","0.6924000","0.6935000","7218",1687386479999,"5002.6142000",43,"5490","3805.3488000"
"PHBUSDT","PHBUSDT#1687386480000",1687386480000,"0.6933000","0.6934000","0.6926000","0.6928000","6313",1687386539999,"4373.9903000",18,"3173","2198.2822000"
"PHBUSDT","PHBUSDT#1687386540000",1687386540000,"0.6930000","0.6939000","0.6928000","0.6935000","10302",1687386599999,"7145.4037000",40,"8457","5866.1515000"
"PHBUSDT","PHBUSDT#1687386600000",1687386600000,"0.6936000","0.6936000","0.6924000","0.6928000","12265",1687386659999,"8499.3466000",59,"8104","5615.3533000"
"PHBUSDT","PHBUSDT#1687386660000",1687386660000,"0.6928000","0.6940000","0.6928000","0.6938000","4489",1687386719999,"3113.5988000",25,"4073","2824.9364000"
"PHBUSDT","PHBUSDT#1687386720000",1687386720000,"0.6941000","0.6942000","0.6934000","0.6940000","13963",1687386779999,"9685.8747000",36,"5409","3751.5547000"
"PHBUSDT","PHBUSDT#1687386780000",1687386780000,"0.6940000","0.6941000","0.6937000","0.6938000","1892",1687386839999,"1312.8030000",16,"649","450.4662000"
"PHBUSDT","PHBUSDT#1687386840000",1687386840000,"0.6938000","0.6940000","0.6936000","0.6937000","5380",1687386899999,"3732.6127000",19,"4453","3089.5625000"
"PHBUSDT","PHBUSDT#1687386900000",1687386900000,"0.6938000","0.6943000","0.6938000","0.6943000","3421",1687386959999,"2374.3916000",33,"2783","1931.6064000"
"PHBUSDT","PHBUSDT#1687386960000",1687386960000,"0.6944000","0.6947000","0.6933000","0.6936000","12350",1687387019999,"8569.8011000",47,"6459","4482.2596000"
"PHBUSDT","PHBUSDT#1687387020000",1687387020000,"0.6937000","0.6944000","0.6937000","0.6941000","4049",1687387079999,"2810.3136000",29,"2141","1486.2177000"
"PHBUSDT","PHBUSDT#1687387080000",1687387080000,"0.6943000","0.6946000","0.6940000","0.6944000","7401",1687387139999,"5138.4678000",33,"5931","4118.0693000"
"PHBUSDT","PHBUSDT#1687387140000",1687387140000,"0.6946000","0.6953000","0.6946000","0.6953000","9550",1687387199999,"6636.1883000",43,"7343","5102.7150000"
"PHBUSDT","PHBUSDT#1687387200000",1687387200000,"0.6952000","0.6954000","0.6947000","0.6947000","11145",1687387259999,"7744.8675000",34,"2714","1886.7254000"
"PHBUSDT","PHBUSDT#1687387260000",1687387260000,"0.6948000","0.6954000","0.6948000","0.6954000","5575",1687387319999,"3875.9226000",39,"4152","2886.4086000"
"PHBUSDT","PHBUSDT#1687387320000",1687387320000,"0.6953000","0.6954000","0.6946000","0.6953000","13124",1687387379999,"9121.6621000",58,"3851","2677.1754000"
"PHBUSDT","PHBUSDT#1687387380000",1687387380000,"0.6952000","0.6973000","0.6952000","0.6964000","20508",1687387439999,"14282.7622000",109,"15828","11023.6309000"
"PHBUSDT","PHBUSDT#1687387440000",1687387440000,"0.6962000","0.6963000","0.6957000","0.6963000","14042",1687387499999,"9773.8015000",43,"8220","5721.4375000"
"PHBUSDT","PHBUSDT#1687387500000",1687387500000,"0.6964000","0.6977000","0.6964000","0.6977000","29933",1687387559999,"20866.5158000",116,"16257","11334.4369000"
"PHBUSDT","PHBUSDT#1687387560000",1687387560000,"0.6977000","0.6983000","0.6975000","0.6977000","27266",1687387619999,"19027.6885000",96,"19468","13586.8055000"
"PHBUSDT","PHBUSDT#1687387620000",1687387620000,"0.6975000","0.6979000","0.6972000","0.6978000","15236",1687387679999,"10628.9253000",57,"9096","6346.4175000"
"PHBUSDT","PHBUSDT#1687387680000",1687387680000,"0.6978000","0.6981000","0.6975000","0.6981000","8772",1687387739999,"6119.7990000",31,"7295","5089.3609000"
"PHBUSDT","PHBUSDT#1687387740000",1687387740000,"0.6981000","0.6982000","0.6973000","0.6976000","9399",1687387799999,"6556.8073000",52,"5359","3738.8279000"
"PHBUSDT","PHBUSDT#1687387800000",1687387800000,"0.6976000","0.6983000","0.6957000","0.6959000","28875",1687387859999,"20118.2108000",78,"11745","8182.2500000"
"PHBUSDT","PHBUSDT#1687387860000",1687387860000,"0.6959000","0.6966000","0.6940000","0.6964000","69441",1687387919999,"48269.5981000",228,"24710","17182.8293000"
"PHBUSDT","PHBUSDT#1687387920000",1687387920000,"0.6962000","0.6970000","0.6957000","0.6957000","8527",1687387979999,"5937.8472000",37,"3790","2639.4215000"
"PHBUSDT","PHBUSDT#1687387980000",1687387980000,"0.6958000","0.6969000","0.6958000","0.6967000","4335",1687388039999,"3019.6112000",14,"3757","2616.8592000"
"PHBUSDT","PHBUSDT#1687388040000",1687388040000,"0.6964000","0.6974000","0.6964000","0.6974000","5061",1687388099999,"3526.7631000",22,"4817","3356.7175000"
"PHBUSDT","PHBUSDT#1687388100000",1687388100000,"0.6976000","0.6978000","0.6975000","0.6977000","3738",1687388159999,"2607.9414000",39,"2309","1610.9854000"
"PHBUSDT","PHBUSDT#1687388160000",1687388160000,"0.6975000","0.6978000","0.6972000","0.6978000","4240",1687388219999,"2957.3929000",28,"3812","2658.9170000"
"PHBUSDT","PHBUSDT#1687388220000",1687388220000,"0.6982000","0.6989000","0.6979000","0.6986000","13196",1687388279999,"9217.2865000",69,"8129","5678.7987000"
"PHBUSDT","PHBUSDT#1687388280000",1687388280000,"0.6986000","0.6986000","0.6979000","0.6979000","4587",1687388339999,"3202.7994000",19,"1511","1054.5744000"
