"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"REEFUSDT","REEFUSDT#1687338060000",1687338060000,"0.001613","0.001614","0.001612","0.001613","1811365",1687338119999,"2921.741724",36,"1565043","2524.454018"
"REEFUSDT","REEFUSDT#1687338120000",1687338120000,"0.001613","0.001615","0.001613","0.001615","3001497",1687338179999,"4847.114752",30,"2536428","4096.134028"
"REEFUSDT","REEFUSDT#1687338180000",1687338180000,"0.001615","0.001615","0.001615","0.001615","694739",1687338239999,"1122.003485",11,"293882","474.619430"
"REEFUSDT","REEFUSDT#1687338240000",1687338240000,"0.001615","0.001615","0.001615","0.001615","2398391",1687338299999,"3873.401465",29,"1482074","2393.549510"
"REEFUSDT","REEFUSDT#1687338300000",1687338300000,"0.001616","0.001616","0.001616","0.001616","3262660",1687338359999,"5272.458560",28,"1514804","2447.923264"
"REEFUSDT","REEFUSDT#1687338360000",1687338360000,"0.001617","0.001617","0.001617","0.001617","1562936",1687338419999,"2527.267512",19,"1562936","2527.267512"
"REEFUSDT","REEFUSDT#1687338420000",1687338420000,"0.001617","0.001618","0.001616","0.001618","11347842",1687338479999,"18348.788956",73,"7986340","12913.868900"
"REEFUSDT","REEFUSDT#1687338480000",1687338480000,"0.001617","0.001617","0.001614","0.001616","11170993",1687338539999,"18045.380911",68,"1170993","1891.730134"
"REEFUSDT","REEFUSDT#1687338540000",1687338540000,"0.001615","0.001615","0.001615","0.001615","2378",1687338599999,"3.840470",1,"0","0.000000"
"REEFUSDT","REEFUSDT#1687338600000",1687338600000,"0.001616","0.001616","0.001615","0.001616","2473227",1687338659999,"3996.233943",23,"1972338","3187.298208"
"REEFUSDT","REEFUSDT#1687338660000",1687338660000,"0.001617","0.001617","0.001615","0.001615","1650900",1687338719999,"2668.788196",19,"0","0.000000"
"REEFUSDT","REEFUSDT#1687338720000",1687338720000,"0.001616","0.001617","0.001616","0.001617","829964",1687338779999,"1341.505017",14,"797741","1289.432649"
"REEFUSDT","REEFUSDT#1687338780000",1687338780000,"0.001617","0.001617","0.001617","0.001617","1508189",1687338839999,"2438.741613",26,"825533","1334.886861"
"REEFUSDT","REEFUSDT#1687338840000",1687338840000,"0.001617","0.001620","0.001617","0.001620","1425880",1687338899999,"2307.417048",28,"1174611","1901.115075"
"REEFUSDT","REEFUSDT#1687338900000",1687338900000,"0.001620","0.001620","0.001619","0.001619","3735834",1687338959999,"6051.753783",35,"1557446","2523.062520"
"REEFUSDT","REEFUSDT#1687338960000",1687338960000,"0.001620","0.001622","0.001619","0.001619","3666114",1687339019999,"5940.967263",46,"2389480","3872.086037"
"REEFUSDT","REEFUSDT#1687339020000",1687339020000,"0.001619","0.001620","0.001619","0.001619","3008934",1687339079999,"4872.528673",38,"72632","117.663840"
"REEFUSDT","REEFUSDT#1687339080000",1687339080000,"0.001619","0.001619","0.001619","0.001619","10",1687339139999,"0.016190",1,"0","0.000000"
"REEFUSDT","REEFUSDT#1687339140000",1687339140000,"0.001619","0.001619","0.001619","0.001619","0",1687339199999,"0.000000",0,"0","0.000000"
"REEFUSDT","REEFUSDT#1687339200000",1687339200000,"0.001619","0.001619","0.001616","0.001617","5226264",1687339259999,"8454.438552",64,"1688499","2731.239681"
"REEFUSDT","REEFUSDT#1687339260000",1687339260000,"0.001617","0.001618","0.001617","0.001618","910832",1687339319999,"1473.721309",11,"905965","1465.851370"
"REEFUSDT","REEFUSDT#1687339320000",1687339320000,"0.001618","0.001621","0.001618","0.001621","1847858",1687339379999,"2993.367648",19,"1816266","2942.251792"
"REEFUSDT","REEFUSDT#1687339380000",1687339380000,"0.001620","0.001620","0.001620","0.001620","1124081",1687339439999,"1821.011220",23,"151653","245.677860"
"REEFUSDT","REEFUSDT#1687339440000",1687339440000,"0.001621","0.001622","0.001621","0.001621","282687",1687339499999,"458.243020",8,"267618","433.816171"
"REEFUSDT","REEFUSDT#1687339500000",1687339500000,"0.001621","0.001621","0.001620","0.001620","1242434",1687339559999,"2013.307760",20,"27957","45.318297"
"REEFUSDT","REEFUSDT#1687339560000",1687339560000,"0.001621","0.001623","0.001621","0.001621","4188902",1687339619999,"6792.532422",54,"1663930","2698.026244"
"REEFUSDT","REEFUSDT#1687339620000",1687339620000,"0.001621","0.001622","0.001621","0.001621","900186",1687339679999,"1459.213501",11,"609398","987.846153"
"REEFUSDT","REEFUSDT#1687339680000",1687339680000,"0.001621","0.001621","0.001620","0.001621","270560",1687339739999,"438.543958",9,"220379","357.234359"
"REEFUSDT","REEFUSDT#1687339740000",1687339740000,"0.001621","0.001625","0.001621","0.001624","8109038",1687339799999,"13167.108637",84,"6269339","10179.474424"
"REEFUSDT","REEFUSDT#1687339800000",1687339800000,"0.001624","0.001624","0.001623","0.001624","1725690",1687339859999,"2801.574917",34,"780047","1266.796328"
"REEFUSDT","REEFUSDT#1687339860000",1687339860000,"0.001623","0.001623","0.001622","0.001622","3029729",1687339919999,"4914.977826",25,"0","0.000000"
"REEFUSDT","REEFUSDT#1687339920000",1687339920000,"0.001622","0.001622","0.001621","0.001621","1658806",1687339979999,"2688.975875",16,"58228","94.438937"
"REEFUSDT","REEFUSDT#1687339980000",1687339980000,"0.001620","0.001620","0.001620","0.001620","1332074",1687340039999,"2157.959880",12,"1141975","1849.999500"
"REEFUSDT","REEFUSDT#1687340040000",1687340040000,"0.001620","0.001621","0.001620","0.001620","2517296",1687340099999,"4078.037725",23,"2171642","3518.078245"
"REEFUSDT","REEFUSDT#1687340100000",1687340100000,"0.001620","0.001620","0.001619","0.001620","349311",1687340159999,"565.608971",12,"74462","120.628440"
"REEFUSDT","REEFUSDT#1687340160000",1687340160000,"0.001620","0.001624","0.001620","0.001621","9558894",1687340219999,"15500.758767",75,"6099167","9888.454997"
"REEFUSDT","REEFUSDT#1687340220000",1687340220000,"0.001622","0.001622","0.001621","0.001622","1219171",1687340279999,"1977.474565",26,"749043","1214.947746"
"REEFUSDT","REEFUSDT#1687340280000",1687340280000,"0.001622","0.001623","0.001622","0.001623","425600",1687340339999,"690.326645",7,"425600","690.326645"
"REEFUSDT","REEFUSDT#1687340340000",1687340340000,"0.001623","0.001624","0.001622","0.001623","3842572",1687340399999,"6236.858466",51,"1123033","1823.019751"
"REEFUSDT","REEFUSDT#1687340400000",1687340400000,"0.001622","0.001624","0.001621","0.001622","2946014",1687340459999,"4779.931791",49,"1394015","2262.448845"
"REEFUSDT","REEFUSDT#1687340460000",1687340460000,"0.001623","0.001623","0.001622","0.001622","2066978",1687340519999,"3353.343864",27,"258903","420.195813"
"REEFUSDT","REEFUSDT#1687340520000",1687340520000,"0.001622","0.001622","0.001622","0.001622","174767",1687340579999,"283.472074",8,"174767","283.472074"
"REEFUSDT","REEFUSDT#1687340580000",1687340580000,"0.001622","0.001622","0.001622","0.001622","1407074",1687340639999,"2282.274028",62,"777773","1261.547806"
"REEFUSDT","REEFUSDT#1687340640000",1687340640000,"0.001622","0.001623","0.001621","0.001622","1419415",1687340699999,"2302.441751",20,"614060","996.313391"
"REEFUSDT","REEFUSDT#1687340700000",1687340700000,"0.001623","0.001623","0.001621","0.001622","1355632",1687340759999,"2198.457237",27,"63264","102.617457"
"REEFUSDT","REEFUSDT#1687340760000",1687340760000,"0.001622","0.001623","0.001622","0.001623","1524845",1687340819999,"2473.852537",30,"1225838","1988.863183"
"REEFUSDT","REEFUSDT#1687340820000",1687340820000,"0.001624","0.001624","0.001621","0.001623","926158",1687340879999,"1502.632017",22,"402182","652.605728"
"REEFUSDT","REEFUSDT#1687340880000",1687340880000,"0.001622","0.001622","0.001621","0.001622","2389226",1687340939999,"3875.038890",33,"525437","852.258814"
