"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"STXUSDT","STXUSDT#1687341660000",1687341660000,"0.7459000","0.7459000","0.7443000","0.7444000","215549",1687341719999,"160592.4671000",590,"80148","59723.0497000"
"STXUSDT","STXUSDT#1687341720000",1687341720000,"0.7445000","0.7452000","0.7437000","0.7441000","369296",1687341779999,"274883.1443000",801,"208730","155372.4194000"
"STXUSDT","STXUSDT#1687341780000",1687341780000,"0.7440000","0.7441000","0.7432000","0.7436000","281205",1687341839999,"209097.6527000",814,"132965","98870.7828000"
"STXUSDT","STXUSDT#1687341840000",1687341840000,"0.7435000","0.7438000","0.7426000","0.7433000","274768",1687341899999,"204234.9511000",691,"122206","90843.7577000"
"STXUSDT","STXUSDT#1687341900000",1687341900000,"0.7433000","0.7469000","0.7432000","0.7466000","299693",1687341959999,"223470.1700000",825,"205961","153578.0975000"
"STXUSDT","STXUSDT#1687341960000",1687341960000,"0.7466000","0.7473000","0.7455000","0.7470000","383291",1687342019999,"286139.5471000",764,"210114","156830.5805000"
"STXUSDT","STXUSDT#1687342020000",1687342020000,"0.7470000","0.7486000","0.7463000","0.7463000","507941",1687342079999,"379670.0649000",1018,"292432","218625.1672000"
"STXUSDT","STXUSDT#1687342080000",1687342080000,"0.7463000","0.7465000","0.7453000","0.7453000","196171",1687342139999,"146306.1682000",486,"103732","77368.3306000"
"STXUSDT","STXUSDT#1687342140000",1687342140000,"0.7454000","0.7460000","0.7440000","0.7440000","175224",1687342199999,"130532.2397000",490,"53412","39813.0881000"
"STXUSDT","STXUSDT#1687342200000",1687342200000,"0.7440000","0.7442000","0.7432000","0.7434000","175837",1687342259999,"130765.5514000",432,"73506","54668.8452000"
"STXUSDT","STXUSDT#1687342260000",1687342260000,"0.7434000","0.7446000","0.7431000","0.7443000","176867",1687342319999,"131583.5920000",382,"123393","91807.4902000"
"STXUSDT","STXUSDT#1687342320000",1687342320000,"0.7442000","0.7455000","0.7440000","0.7451000","220383",1687342379999,"164185.4171000",512,"116210","86570.7074000"
"STXUSDT","STXUSDT#1687342380000",1687342380000,"0.7450000","0.7457000","0.7450000","0.7455000","100372",1687342439999,"74813.2072000",299,"53775","40083.3966000"
"STXUSDT","STXUSDT#1687342440000",1687342440000,"0.7456000","0.7458000","0.7450000","0.7457000","172282",1687342499999,"128416.6256000",393,"85638","63837.1246000"
"STXUSDT","STXUSDT#1687342500000",1687342500000,"0.7458000","0.7489000","0.7458000","0.7475000","533437",1687342559999,"398916.2841000",1112,"249079","186248.1929000"
"STXUSDT","STXUSDT#1687342560000",1687342560000,"0.7475000","0.7475000","0.7446000","0.7450000","190014",1687342619999,"141729.6761000",519,"78439","58487.1123000"
"STXUSDT","STXUSDT#1687342620000",1687342620000,"0.7449000","0.7449000","0.7435000","0.7436000","181941",1687342679999,"135371.0701000",546,"93029","69219.0352000"
"STXUSDT","STXUSDT#1687342680000",1687342680000,"0.7435000","0.7445000","0.7434000","0.7442000","173689",1687342739999,"129215.9125000",489,"110655","82325.3204000"
"STXUSDT","STXUSDT#1687342740000",1687342740000,"0.7443000","0.7447000","0.7435000","0.7442000","149187",1687342799999,"111011.7148000",456,"82552","61430.7849000"
"STXUSDT","STXUSDT#1687342800000",1687342800000,"0.7442000","0.7468000","0.7438000","0.7468000","284349",1687342859999,"211887.2653000",610,"185104","137961.6763000"
