"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TUSDT","TUSDT#1687370460000",1687370460000,"0.0208000","0.0208100","0.0207700","0.0207700","557300",1687370519999,"11586.7869400",102,"108576","2257.5656300"
"TUSDT","TUSDT#1687370520000",1687370520000,"0.0207800","0.0208100","0.0207800","0.0208000","323835",1687370579999,"6733.5854400",92,"220173","4577.6921300"
"TUSDT","TUSDT#1687370580000",1687370580000,"0.0208000","0.0208100","0.0207800","0.0208000","286654",1687370639999,"5961.2254100",65,"116936","2431.7165300"
"TUSDT","TUSDT#1687370640000",1687370640000,"0.0208000","0.0208200","0.0208000","0.0208200","200100",1687370699999,"4163.9553900",59,"147235","3063.9188900"
"TUSDT","TUSDT#1687370700000",1687370700000,"0.0208200","0.0208600","0.0208200","0.0208500","821135",1687370759999,"17110.9236700",167,"417574","8701.9200400"
"TUSDT","TUSDT#1687370760000",1687370760000,"0.0208500","0.0208500","0.0208100","0.0208400","385810",1687370819999,"8035.6673300",60,"98055","2042.3176100"
"TUSDT","TUSDT#1687370820000",1687370820000,"0.0208400","0.0208700","0.0208400","0.0208500","465036",1687370879999,"9698.6362100",79,"221933","4628.9897300"
"TUSDT","TUSDT#1687370880000",1687370880000,"0.0208500","0.0208500","0.0208200","0.0208400","288434",1687370939999,"6008.5819800",53,"147281","3068.5217500"
"TUSDT","TUSDT#1687370940000",1687370940000,"0.0208300","0.0208800","0.0208300","0.0208700","453291",1687370999999,"9456.9644300",61,"316277","6597.9975400"
"TUSDT","TUSDT#1687371000000",1687371000000,"0.0208700","0.0208900","0.0208500","0.0208500","590676",1687371059999,"12332.7127800",74,"146533","3060.1632200"
"TUSDT","TUSDT#1687371060000",1687371060000,"0.0208500","0.0208800","0.0208400","0.0208800","491789",1687371119999,"10260.8613700",84,"320330","6683.4745200"
"TUSDT","TUSDT#1687371120000",1687371120000,"0.0208900","0.0209000","0.0208600","0.0209000","483555",1687371179999,"10096.5176500",78,"238531","4982.1347000"
"TUSDT","TUSDT#1687371180000",1687371180000,"0.0209100","0.0209200","0.0208900","0.0209100","651335",1687371239999,"13615.9200700",80,"279815","5850.5544200"
"TUSDT","TUSDT#1687371240000",1687371240000,"0.0209200","0.0209300","0.0209000","0.0209200","379783",1687371299999,"7943.0482000",43,"232059","4854.3692200"
"TUSDT","TUSDT#1687371300000",1687371300000,"0.0209100","0.0209100","0.0208900","0.0209100","289305",1687371359999,"6047.9364900",44,"112425","2350.2298400"
