"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ZECUSDT","ZECUSDT#1687330860000",1687330860000,"27.34","27.35","27.33","27.33","95.141",1687330919999,"2600.77475",59,"5.545","151.64923"
"ZECUSDT","ZECUSDT#1687330920000",1687330920000,"27.33","27.35","27.32","27.35","216.835",1687330979999,"5928.16789",72,"178.691","4885.62501"
"ZECUSDT","ZECUSDT#1687330980000",1687330980000,"27.34","27.35","27.33","27.34","397.352",1687331039999,"10863.66432",95,"315.839","8635.11840"
"ZECUSDT","ZECUSDT#1687331040000",1687331040000,"27.34","27.34","27.33","27.34","182.175",1687331099999,"4980.46493",57,"71.566","1956.61444"
"ZECUSDT","ZECUSDT#1687331100000",1687331100000,"27.34","27.37","27.34","27.36","536.831",1687331159999,"14683.66983",105,"528.635","14459.42727"
"ZECUSDT","ZECUSDT#1687331160000",1687331160000,"27.37","27.37","27.35","27.36","286.851",1687331219999,"7847.56439",90,"96.846","2650.19320"
"ZECUSDT","ZECUSDT#1687331220000",1687331220000,"27.37","27.37","27.36","27.37","18.452",1687331279999,"504.90700",7,"6.028","164.98636"
"ZECUSDT","ZECUSDT#1687331280000",1687331280000,"27.36","27.41","27.36","27.40","851.245",1687331339999,"23312.19411",115,"714.103","19553.42957"
"ZECUSDT","ZECUSDT#1687331340000",1687331340000,"27.40","27.41","27.40","27.41","580.784",1687331399999,"15919.03349",76,"254.091","6964.63431"
"ZECUSDT","ZECUSDT#1687331400000",1687331400000,"27.40","27.42","27.39","27.42","360.343",1687331459999,"9874.54095",89,"169.197","4636.82240"
"ZECUSDT","ZECUSDT#1687331460000",1687331460000,"27.42","27.44","27.42","27.42","836.793",1687331519999,"22954.18711",118,"455.495","12495.63923"
"ZECUSDT","ZECUSDT#1687331520000",1687331520000,"27.41","27.42","27.41","27.41","143.061",1687331579999,"3921.59863",21,"29.662","813.33204"
"ZECUSDT","ZECUSDT#1687331580000",1687331580000,"27.41","27.42","27.41","27.42","46.376",1687331639999,"1271.18441",8,"1.825","50.04150"
"ZECUSDT","ZECUSDT#1687331640000",1687331640000,"27.42","27.42","27.40","27.41","131.393",1687331699999,"3601.49807",40,"75.378","2066.16542"
