"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AXSUSDT","AXSUSDT#1687388460000",1687388460000,"5.53500","5.53800","5.53200","5.53300","12338",1687388519999,"68296.45700",239,"7703","42642.40800"
"AXSUSDT","AXSUSDT#1687388520000",1687388520000,"5.53200","5.53300","5.52400","5.52500","12234",1687388579999,"67637.97200",288,"3381","18699.34800"
"AXSUSDT","AXSUSDT#1687388580000",1687388580000,"5.52500","5.53200","5.52500","5.52900","10610",1687388639999,"58656.24900",237,"5180","28633.71800"
"AXSUSDT","AXSUSDT#1687388640000",1687388640000,"5.52800","5.53100","5.52500","5.52800","10837",1687388699999,"59912.36500",195,"4943","27326.61200"
"AXSUSDT","AXSUSDT#1687388700000",1687388700000,"5.52900","5.53200","5.52900","5.53000","10038",1687388759999,"55515.40800",145,"4440","24558.72400"
"AXSUSDT","AXSUSDT#1687388760000",1687388760000,"5.53000","5.53000","5.52400","5.52800","6727",1687388819999,"37173.20400",124,"2957","16339.43100"
"AXSUSDT","AXSUSDT#1687388820000",1687388820000,"5.52800","5.53300","5.52700","5.52800","5898",1687388879999,"32614.78700",112,"2809","15532.69700"
"AXSUSDT","AXSUSDT#1687388880000",1687388880000,"5.52800","5.53000","5.52500","5.52700","4396",1687388939999,"24296.92200",85,"1712","9463.43900"
"AXSUSDT","AXSUSDT#1687388940000",1687388940000,"5.52700","5.52700","5.52400","5.52600","3303",1687388999999,"18251.35900",58,"415","2293.18900"
"AXSUSDT","AXSUSDT#1687389000000",1687389000000,"5.52600","5.52900","5.52500","5.52900","2066",1687389059999,"11418.77000",73,"1027","5676.33000"
"AXSUSDT","AXSUSDT#1687389060000",1687389060000,"5.52800","5.53200","5.52800","5.53200","12003",1687389119999,"66374.51600",123,"10639","58833.22300"
"AXSUSDT","AXSUSDT#1687389120000",1687389120000,"5.53200","5.53700","5.53200","5.53500","4211",1687389179999,"23312.68100",71,"3660","20261.94100"
"AXSUSDT","AXSUSDT#1687389180000",1687389180000,"5.53500","5.53500","5.52800","5.53100","8011",1687389239999,"44312.71500",141,"1600","8849.65700"
"AXSUSDT","AXSUSDT#1687389240000",1687389240000,"5.53100","5.53700","5.53100","5.53600","2522",1687389299999,"13956.82700",65,"1956","10825.50400"
