"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DASHUSDT","DASHUSDT#1687410060000",1687410060000,"34.41","34.42","34.40","34.41","64.118",1687410119999,"2206.30592",42,"18.159","624.88186"
"DASHUSDT","DASHUSDT#1687410120000",1687410120000,"34.42","34.44","34.42","34.44","192.522",1687410179999,"6629.04172",55,"190.247","6550.71347"
"DASHUSDT","DASHUSDT#1687410180000",1687410180000,"34.43","34.43","34.41","34.41","115.476",1687410239999,"3975.24879",37,"0.000","0.00000"
"DASHUSDT","DASHUSDT#1687410240000",1687410240000,"34.42","34.42","34.41","34.42","59.776",1687410299999,"2057.45689",38,"56.473","1943.80066"
"DASHUSDT","DASHUSDT#1687410300000",1687410300000,"34.43","34.43","34.42","34.42","9.857",1687410359999,"339.33606",6,"5.812","200.10716"
"DASHUSDT","DASHUSDT#1687410360000",1687410360000,"34.43","34.43","34.42","34.42","38.191",1687410419999,"1314.91385",45,"37.963","1307.06609"
"DASHUSDT","DASHUSDT#1687410420000",1687410420000,"34.42","34.43","34.33","34.34","667.528",1687410479999,"22952.69515",117,"109.389","3758.88395"
"DASHUSDT","DASHUSDT#1687410480000",1687410480000,"34.35","34.36","34.34","34.36","242.003",1687410539999,"8313.69589",76,"174.811","6005.81855"
"DASHUSDT","DASHUSDT#1687410540000",1687410540000,"34.35","34.36","34.35","34.36","79.262",1687410599999,"2722.73642",33,"77.799","2672.46774"
"DASHUSDT","DASHUSDT#1687410600000",1687410600000,"34.37","34.39","34.36","34.39","218.062",1687410659999,"7496.42886",44,"155.440","5342.96285"
"DASHUSDT","DASHUSDT#1687410660000",1687410660000,"34.39","34.39","34.39","34.39","26.553",1687410719999,"913.15767",13,"9.296","319.68944"
"DASHUSDT","DASHUSDT#1687410720000",1687410720000,"34.38","34.38","34.38","34.38","5.717",1687410779999,"196.55046",3,"0.000","0.00000"
"DASHUSDT","DASHUSDT#1687410780000",1687410780000,"34.38","34.39","34.37","34.37","58.340",1687410839999,"2005.46612",14,"2.000","68.78000"
"DASHUSDT","DASHUSDT#1687410840000",1687410840000,"34.37","34.38","34.31","34.32","1079.853",1687410899999,"37081.65591",92,"74.257","2551.64829"
"DASHUSDT","DASHUSDT#1687410900000",1687410900000,"34.33","34.37","34.33","34.37","422.506",1687410959999,"14513.20066",59,"155.888","5355.54196"
"DASHUSDT","DASHUSDT#1687410960000",1687410960000,"34.37","34.39","34.35","34.39","285.015",1687411019999,"9796.93260",46,"217.564","7478.65022"
"DASHUSDT","DASHUSDT#1687411020000",1687411020000,"34.39","34.39","34.37","34.37","38.124",1687411079999,"1310.45448",15,"12.180","418.64777"
"DASHUSDT","DASHUSDT#1687411080000",1687411080000,"34.37","34.37","34.36","34.37","36.014",1687411139999,"1237.79071",14,"34.967","1201.81579"
"DASHUSDT","DASHUSDT#1687411140000",1687411140000,"34.37","34.37","34.35","34.37","133.544",1687411199999,"4589.57829",32,"8.507","292.30284"
"DASHUSDT","DASHUSDT#1687411200000",1687411200000,"34.36","34.37","34.36","34.36","47.322",1687411259999,"1625.98604",17,"7.414","254.74716"
"DASHUSDT","DASHUSDT#1687411260000",1687411260000,"34.35","34.36","34.30","34.32","147.077",1687411319999,"5048.42539",36,"49.424","1696.26266"
