"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"KSMUSDT","KSMUSDT#1687424460000",1687424460000,"24.330","24.330","24.290","24.300","123.1",1687424519999,"2992.9750",59,"6.8","165.2660"
"KSMUSDT","KSMUSDT#1687424520000",1687424520000,"24.300","24.310","24.260","24.260","689.0",1687424579999,"16728.9450",136,"73.6","1788.0470"
"KSMUSDT","KSMUSDT#1687424580000",1687424580000,"24.270","24.320","24.260","24.320","887.0",1687424639999,"21544.0990",158,"772.4","18760.8590"
"KSMUSDT","KSMUSDT#1687424640000",1687424640000,"24.320","24.350","24.320","24.350","91.7",1687424699999,"2232.1920",53,"82.1","1998.5720"
"KSMUSDT","KSMUSDT#1687424700000",1687424700000,"24.340","24.340","24.300","24.330","251.1",1687424759999,"6106.6880",41,"41.2","1001.7840"
"KSMUSDT","KSMUSDT#1687424760000",1687424760000,"24.320","24.340","24.320","24.340","49.1",1687424819999,"1194.9900",24,"13.6","330.9440"
"KSMUSDT","KSMUSDT#1687424820000",1687424820000,"24.340","24.350","24.340","24.350","321.6",1687424879999,"7830.9170",30,"317.3","7726.2550"
"KSMUSDT","KSMUSDT#1687424880000",1687424880000,"24.360","24.380","24.360","24.370","251.8",1687424939999,"6137.6390",40,"81.2","1979.2110"
"KSMUSDT","KSMUSDT#1687424940000",1687424940000,"24.370","24.380","24.350","24.360","589.1",1687424999999,"14353.1110",72,"33.9","825.9410"
"KSMUSDT","KSMUSDT#1687425000000",1687425000000,"24.360","24.370","24.350","24.360","272.1",1687425059999,"6627.8410",43,"32.9","801.4710"
"KSMUSDT","KSMUSDT#1687425060000",1687425060000,"24.360","24.370","24.350","24.370","336.1",1687425119999,"8188.3290",70,"171.7","4183.7500"
"KSMUSDT","KSMUSDT#1687425120000",1687425120000,"24.380","24.390","24.380","24.380","176.7",1687425179999,"4308.0440",42,"44.5","1085.0000"
"KSMUSDT","KSMUSDT#1687425180000",1687425180000,"24.380","24.380","24.370","24.380","193.1",1687425239999,"4707.2020",33,"39.4","960.5720"
"KSMUSDT","KSMUSDT#1687425240000",1687425240000,"24.380","24.420","24.380","24.410","118.9",1687425299999,"2901.1700",52,"84.7","2066.5010"
"KSMUSDT","KSMUSDT#1687425300000",1687425300000,"24.410","24.410","24.400","24.410","402.8",1687425359999,"9831.2840",64,"106.6","2601.4780"
"KSMUSDT","KSMUSDT#1687425360000",1687425360000,"24.410","24.440","24.410","24.430","150.4",1687425419999,"3673.8130",41,"123.6","3019.1460"
"KSMUSDT","KSMUSDT#1687425420000",1687425420000,"24.430","24.430","24.420","24.420","189.4",1687425479999,"4626.2700",32,"54.2","1323.6980"
"KSMUSDT","KSMUSDT#1687425480000",1687425480000,"24.420","24.440","24.420","24.420","204.0",1687425539999,"4983.6250",36,"134.5","3285.7770"
"KSMUSDT","KSMUSDT#1687425540000",1687425540000,"24.430","24.460","24.420","24.450","136.2",1687425599999,"3330.7720",41,"38.9","950.8470"
"KSMUSDT","KSMUSDT#1687425600000",1687425600000,"24.450","24.460","24.440","24.440","148.7",1687425659999,"3635.5530",37,"52.0","1271.4960"
"KSMUSDT","KSMUSDT#1687425660000",1687425660000,"24.440","24.450","24.430","24.440","124.8",1687425719999,"3049.9690",54,"59.2","1446.8790"
"KSMUSDT","KSMUSDT#1687425720000",1687425720000,"24.440","24.440","24.430","24.440","43.4",1687425779999,"1060.6010",22,"17.4","425.2560"
"KSMUSDT","KSMUSDT#1687425780000",1687425780000,"24.440","24.450","24.440","24.450","59.6",1687425839999,"1457.0860",14,"51.8","1266.4540"
"KSMUSDT","KSMUSDT#1687425840000",1687425840000,"24.440","24.440","24.440","24.440","126.6",1687425899999,"3094.1040",13,"5.1","124.6440"
"KSMUSDT","KSMUSDT#1687425900000",1687425900000,"24.440","24.480","24.440","24.470","242.6",1687425959999,"5934.1230",72,"137.3","3358.5000"
"KSMUSDT","KSMUSDT#1687425960000",1687425960000,"24.480","24.480","24.470","24.470","6.8",1687426019999,"166.4420",4,"4.6","112.6080"
"KSMUSDT","KSMUSDT#1687426020000",1687426020000,"24.470","24.480","24.450","24.470","633.1",1687426079999,"15484.2650",80,"172.9","4230.0550"
"KSMUSDT","KSMUSDT#1687426080000",1687426080000,"24.460","24.470","24.460","24.470","34.6",1687426139999,"846.6390",22,"32.3","790.3810"
"KSMUSDT","KSMUSDT#1687426140000",1687426140000,"24.470","24.470","24.450","24.460","92.7",1687426199999,"2267.4750",30,"10.8","264.1820"
"KSMUSDT","KSMUSDT#1687426200000",1687426200000,"24.470","24.470","24.430","24.430","589.0",1687426259999,"14406.8240",104,"97.0","2373.1950"
"KSMUSDT","KSMUSDT#1687426260000",1687426260000,"24.430","24.450","24.420","24.430","330.8",1687426319999,"8082.5890",81,"215.8","5272.9980"
"KSMUSDT","KSMUSDT#1687426320000",1687426320000,"24.430","24.430","24.430","24.430","1.0",1687426379999,"24.4300",2,"0.0","0.0000"
"KSMUSDT","KSMUSDT#1687426380000",1687426380000,"24.430","24.430","24.410","24.410","150.5",1687426439999,"3675.7380",34,"58.9","1438.9270"
"KSMUSDT","KSMUSDT#1687426440000",1687426440000,"24.410","24.420","24.400","24.410","233.7",1687426499999,"5705.7720",85,"136.3","3328.0730"
"KSMUSDT","KSMUSDT#1687426500000",1687426500000,"24.420","24.440","24.420","24.440","180.8",1687426559999,"4416.4380",62,"160.3","3915.6480"
"KSMUSDT","KSMUSDT#1687426560000",1687426560000,"24.440","24.460","24.430","24.450","665.0",1687426619999,"16256.9990",112,"470.2","11495.5650"
"KSMUSDT","KSMUSDT#1687426620000",1687426620000,"24.460","24.460","24.440","24.450","253.6",1687426679999,"6202.1420",50,"179.3","4385.5280"
"KSMUSDT","KSMUSDT#1687426680000",1687426680000,"24.440","24.460","24.440","24.440","461.5",1687426739999,"11283.1730",42,"402.7","9846.0010"
"KSMUSDT","KSMUSDT#1687426740000",1687426740000,"24.440","24.450","24.440","24.450","177.7",1687426799999,"4344.7320",31,"172.3","4212.7350"
"KSMUSDT","KSMUSDT#1687426800000",1687426800000,"24.450","24.450","24.410","24.420","258.0",1687426859999,"6304.3550",53,"47.0","1148.0330"
"KSMUSDT","KSMUSDT#1687426860000",1687426860000,"24.410","24.420","24.410","24.420","158.0",1687426919999,"3858.0860",35,"152.4","3721.3900"
"KSMUSDT","KSMUSDT#1687426920000",1687426920000,"24.430","24.440","24.420","24.430","310.8",1687426979999,"7591.7400",61,"142.0","3468.6580"
"KSMUSDT","KSMUSDT#1687426980000",1687426980000,"24.430","24.440","24.430","24.430","31.6",1687427039999,"771.9890",14,"8.2","200.3270"
"KSMUSDT","KSMUSDT#1687427040000",1687427040000,"24.430","24.440","24.430","24.440","50.2",1687427099999,"1226.8560",20,"44.5","1087.5800"
"KSMUSDT","KSMUSDT#1687427100000",1687427100000,"24.440","24.450","24.430","24.450","62.1",1687427159999,"1517.6890",16,"30.5","745.4280"
"KSMUSDT","KSMUSDT#1687427160000",1687427160000,"24.450","24.460","24.450","24.450","334.7",1687427219999,"8183.8150",47,"113.6","2777.9200"
"KSMUSDT","KSMUSDT#1687427220000",1687427220000,"24.450","24.460","24.450","24.450","145.3",1687427279999,"3552.9600",39,"61.7","1508.6460"
"KSMUSDT","KSMUSDT#1687427280000",1687427280000,"24.460","24.460","24.440","24.460","164.8",1687427339999,"4029.5260",39,"18.5","452.3790"
"KSMUSDT","KSMUSDT#1687427340000",1687427340000,"24.460","24.470","24.440","24.450","466.1",1687427399999,"11399.6510",65,"114.4","2799.0540"
"KSMUSDT","KSMUSDT#1687427400000",1687427400000,"24.450","24.460","24.440","24.440","284.5",1687427459999,"6958.2160",85,"239.3","5853.1080"
"KSMUSDT","KSMUSDT#1687427460000",1687427460000,"24.440","24.450","24.440","24.450","129.7",1687427519999,"3170.7090",32,"84.1","2056.2450"
"KSMUSDT","KSMUSDT#1687427520000",1687427520000,"24.450","24.450","24.410","24.410","469.6",1687427579999,"11469.6250",50,"30.9","754.4550"
"KSMUSDT","KSMUSDT#1687427580000",1687427580000,"24.410","24.410","24.400","24.410","140.7",1687427639999,"3434.1670",22,"86.9","2121.2290"
"KSMUSDT","KSMUSDT#1687427640000",1687427640000,"24.400","24.420","24.400","24.420","124.1",1687427699999,"3028.8960",29,"64.9","1584.2440"
"KSMUSDT","KSMUSDT#1687427700000",1687427700000,"24.420","24.460","24.420","24.460","505.7",1687427759999,"12358.0310",74,"454.8","11113.5890"
"KSMUSDT","KSMUSDT#1687427760000",1687427760000,"24.460","24.460","24.430","24.430","139.9",1687427819999,"3419.5890",28,"8.1","197.8830"
"KSMUSDT","KSMUSDT#1687427820000",1687427820000,"24.440","24.460","24.440","24.460","105.4",1687427879999,"2576.8520",36,"96.0","2347.1040"
"KSMUSDT","KSMUSDT#1687427880000",1687427880000,"24.450","24.450","24.440","24.440","64.2",1687427939999,"1569.2160",28,"16.4","400.8650"
"KSMUSDT","KSMUSDT#1687427940000",1687427940000,"24.450","24.450","24.440","24.440","130.1",1687427999999,"3180.9230",22,"124.6","3046.4700"
"KSMUSDT","KSMUSDT#1687428000000",1687428000000,"24.440","24.450","24.430","24.430","284.0",1687428059999,"6941.5240",60,"76.4","1867.7850"
