"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LPTUSDT","LPTUSDT#1687456860000",1687456860000,"4.340","4.341","4.338","4.339","567.0",1687456919999,"2460.7857",46,"58.9","255.6319"
"LPTUSDT","LPTUSDT#1687456920000",1687456920000,"4.339","4.341","4.338","4.338","1008.5",1687456979999,"4376.1521",43,"483.8","2099.3823"
"LPTUSDT","LPTUSDT#1687456980000",1687456980000,"4.337","4.337","4.326","4.328","2145.4",1687457039999,"9293.2849",79,"410.6","1778.1124"
"LPTUSDT","LPTUSDT#1687457040000",1687457040000,"4.328","4.334","4.328","4.334","637.3",1687457099999,"2759.3441",24,"637.3","2759.3441"
"LPTUSDT","LPTUSDT#1687457100000",1687457100000,"4.333","4.333","4.328","4.329","315.1",1687457159999,"1364.5271",32,"124.9","540.7620"
"LPTUSDT","LPTUSDT#1687457160000",1687457160000,"4.329","4.329","4.327","4.329","408.5",1687457219999,"1768.2251",24,"98.2","425.0047"
"LPTUSDT","LPTUSDT#1687457220000",1687457220000,"4.328","4.330","4.328","4.330","788.9",1687457279999,"3415.8344",23,"236.1","1022.2330"
"LPTUSDT","LPTUSDT#1687457280000",1687457280000,"4.330","4.331","4.328","4.330","1404.7",1687457339999,"6082.1951",35,"538.9","2333.3893"
"LPTUSDT","LPTUSDT#1687457340000",1687457340000,"4.330","4.334","4.330","4.334","1486.4",1687457399999,"6440.7815",32,"947.5","4105.2589"
"LPTUSDT","LPTUSDT#1687457400000",1687457400000,"4.335","4.335","4.331","4.333","437.4",1687457459999,"1895.3746",29,"126.0","545.8010"
"LPTUSDT","LPTUSDT#1687457460000",1687457460000,"4.335","4.339","4.335","4.339","323.0",1687457519999,"1400.6535",24,"310.4","1346.0199"
"LPTUSDT","LPTUSDT#1687457520000",1687457520000,"4.339","4.346","4.339","4.345","4489.8",1687457579999,"19492.9087",125,"4259.2","18491.3319"
"LPTUSDT","LPTUSDT#1687457580000",1687457580000,"4.346","4.347","4.345","4.345","2089.7",1687457639999,"9083.0101",32,"440.5","1914.7899"
"LPTUSDT","LPTUSDT#1687457640000",1687457640000,"4.346","4.346","4.342","4.342","371.9",1687457699999,"1615.4783",18,"9.9","43.0254"
"LPTUSDT","LPTUSDT#1687457700000",1687457700000,"4.341","4.341","4.337","4.337","691.1",1687457759999,"2998.4023",32,"14.4","62.5104"
"LPTUSDT","LPTUSDT#1687457760000",1687457760000,"4.334","4.335","4.330","4.332","665.7",1687457819999,"2883.5073",53,"512.3","2218.9091"
"LPTUSDT","LPTUSDT#1687457820000",1687457820000,"4.333","4.335","4.333","4.335","208.6",1687457879999,"904.1910",12,"203.3","881.2261"
"LPTUSDT","LPTUSDT#1687457880000",1687457880000,"4.335","4.335","4.333","4.333","302.2",1687457939999,"1309.7443",16,"107.8","467.2052"
"LPTUSDT","LPTUSDT#1687457940000",1687457940000,"4.333","4.333","4.333","4.333","73.6",1687457999999,"318.9088",5,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1687458000000",1687458000000,"4.333","4.334","4.331","4.334","875.2",1687458059999,"3791.5204",38,"747.3","3237.3499"
"LPTUSDT","LPTUSDT#1687458060000",1687458060000,"4.335","4.337","4.335","4.337","399.1",1687458119999,"1730.7441",25,"263.1","1140.9183"
"LPTUSDT","LPTUSDT#1687458120000",1687458120000,"4.335","4.335","4.333","4.334","116.1",1687458179999,"503.1902",14,"53.6","232.3400"
"LPTUSDT","LPTUSDT#1687458180000",1687458180000,"4.333","4.335","4.333","4.335","88.7",1687458239999,"384.4060",19,"48.9","211.9135"
"LPTUSDT","LPTUSDT#1687458240000",1687458240000,"4.334","4.335","4.325","4.335","1792.8",1687458299999,"7761.9217",47,"955.7","4137.2240"
