"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LTCUSDT","LTCUSDT#1687464060000",1687464060000,"85.99","86.01","85.96","85.98","3024.248",1687464119999,"260049.32475",409,"1771.057","152291.49631"
"LTCUSDT","LTCUSDT#1687464120000",1687464120000,"85.98","86.10","85.96","86.07","4604.067",1687464179999,"396192.64341",539,"3058.077","263171.10285"
"LTCUSDT","LTCUSDT#1687464180000",1687464180000,"86.08","86.10","86.04","86.06","3009.255",1687464239999,"259006.69342",473,"1549.884","133396.93793"
"LTCUSDT","LTCUSDT#1687464240000",1687464240000,"86.06","86.08","86.01","86.08","2646.729",1687464299999,"227751.43672",406,"1688.576","145307.72884"
"LTCUSDT","LTCUSDT#1687464300000",1687464300000,"86.07","86.09","86.03","86.05","1693.026",1687464359999,"145705.30829",277,"510.903","43968.02868"
"LTCUSDT","LTCUSDT#1687464360000",1687464360000,"86.04","86.06","85.94","85.94","2035.550",1687464419999,"175073.78569",241,"355.967","30625.01631"
"LTCUSDT","LTCUSDT#1687464420000",1687464420000,"85.93","85.94","85.83","85.88","1138.275",1687464479999,"97754.84783",281,"493.217","42354.47623"
"LTCUSDT","LTCUSDT#1687464480000",1687464480000,"85.88","85.88","85.83","85.84","1459.843",1687464539999,"125333.16501",194,"901.557","77398.26649"
"LTCUSDT","LTCUSDT#1687464540000",1687464540000,"85.84","85.84","85.74","85.81","2967.528",1687464599999,"254556.02179",320,"1332.744","114318.67551"
"LTCUSDT","LTCUSDT#1687464600000",1687464600000,"85.82","85.87","85.78","85.86","2106.895",1687464659999,"180823.18301",288,"1323.639","113613.70086"
"LTCUSDT","LTCUSDT#1687464660000",1687464660000,"85.87","85.90","85.84","85.84","2972.431",1687464719999,"255236.37069",251,"446.801","38373.21641"
"LTCUSDT","LTCUSDT#1687464720000",1687464720000,"85.84","85.86","85.84","85.84","687.345",1687464779999,"59004.91035",142,"496.735","42642.00817"
"LTCUSDT","LTCUSDT#1687464780000",1687464780000,"85.85","85.87","85.85","85.86","875.183",1687464839999,"75141.00225",98,"777.766","66776.80832"
"LTCUSDT","LTCUSDT#1687464840000",1687464840000,"85.87","85.89","85.86","85.88","557.557",1687464899999,"47884.33818",90,"293.315","25189.15398"
"LTCUSDT","LTCUSDT#1687464900000",1687464900000,"85.87","85.89","85.83","85.88","1507.064",1687464959999,"129396.94862",222,"662.197","56859.46664"
"LTCUSDT","LTCUSDT#1687464960000",1687464960000,"85.87","85.88","85.80","85.81","4438.257",1687465019999,"380938.42014",246,"701.268","60203.23319"
"LTCUSDT","LTCUSDT#1687465020000",1687465020000,"85.80","85.80","85.68","85.75","9435.613",1687465079999,"808961.30159",496,"1482.852","127144.78747"
"LTCUSDT","LTCUSDT#1687465080000",1687465080000,"85.76","85.80","85.73","85.80","2088.893",1687465139999,"179155.21527",160,"1629.128","139731.29499"
"LTCUSDT","LTCUSDT#1687465140000",1687465140000,"85.79","85.79","85.75","85.76","1045.747",1687465199999,"89694.45307",105,"715.961","61408.88940"
"LTCUSDT","LTCUSDT#1687465200000",1687465200000,"85.76","85.81","85.76","85.79","962.108",1687465259999,"82537.81389",139,"642.777","55142.30711"
"LTCUSDT","LTCUSDT#1687465260000",1687465260000,"85.80","85.82","85.80","85.82","1285.302",1687465319999,"110287.47546",116,"1152.380","98881.40894"
"LTCUSDT","LTCUSDT#1687465320000",1687465320000,"85.82","85.83","85.70","85.74","2373.198",1687465379999,"203493.75351",215,"929.097","79659.61134"
"LTCUSDT","LTCUSDT#1687465380000",1687465380000,"85.73","85.74","85.67","85.67","1276.425",1687465439999,"109406.79409",158,"615.262","52737.31960"
"LTCUSDT","LTCUSDT#1687465440000",1687465440000,"85.67","85.70","85.66","85.67","1844.635",1687465499999,"158038.71834",174,"980.340","83991.48275"
"LTCUSDT","LTCUSDT#1687465500000",1687465500000,"85.67","85.67","85.53","85.55","3635.215",1687465559999,"311150.15314",424,"630.470","53966.00260"
"LTCUSDT","LTCUSDT#1687465560000",1687465560000,"85.56","85.59","85.54","85.58","2774.045",1687465619999,"237375.17659",285,"1891.021","161812.94634"
"LTCUSDT","LTCUSDT#1687465620000",1687465620000,"85.59","85.64","85.58","85.59","1531.305",1687465679999,"131099.49548",199,"1195.553","102358.37247"
"LTCUSDT","LTCUSDT#1687465680000",1687465680000,"85.59","85.61","85.56","85.57","1956.486",1687465739999,"167429.75465",209,"681.240","58299.39748"
"LTCUSDT","LTCUSDT#1687465740000",1687465740000,"85.56","85.57","85.55","85.56","517.569",1687465799999,"44283.01993",93,"182.835","15644.31324"
"LTCUSDT","LTCUSDT#1687465800000",1687465800000,"85.56","85.60","85.55","85.59","2773.596",1687465859999,"237343.74305",229,"2115.643","181031.45238"
"LTCUSDT","LTCUSDT#1687465860000",1687465860000,"85.59","85.63","85.59","85.61","1608.257",1687465919999,"137683.38189",218,"772.828","66165.86705"
"LTCUSDT","LTCUSDT#1687465920000",1687465920000,"85.61","85.63","85.61","85.61","199.748",1687465979999,"17101.78507",64,"78.675","6735.97926"
"LTCUSDT","LTCUSDT#1687465980000",1687465980000,"85.61","85.63","85.61","85.62","567.747",1687466039999,"48612.16267",101,"324.739","27805.93649"
"LTCUSDT","LTCUSDT#1687466040000",1687466040000,"85.62","85.64","85.61","85.61","687.148",1687466099999,"58837.11019",75,"332.182","28443.96531"
"LTCUSDT","LTCUSDT#1687466100000",1687466100000,"85.61","85.65","85.61","85.64","1051.042",1687466159999,"90008.28423",128,"785.875","67299.68189"
"LTCUSDT","LTCUSDT#1687466160000",1687466160000,"85.63","85.63","85.51","85.55","2506.480",1687466219999,"214453.25803",254,"791.177","67688.71326"
"LTCUSDT","LTCUSDT#1687466220000",1687466220000,"85.54","85.58","85.53","85.58","1472.818",1687466279999,"126006.46138",165,"932.199","79751.34489"
"LTCUSDT","LTCUSDT#1687466280000",1687466280000,"85.57","85.60","85.56","85.60","1554.163",1687466339999,"133019.93498",157,"474.753","40630.31802"
"LTCUSDT","LTCUSDT#1687466340000",1687466340000,"85.60","85.63","85.59","85.59","926.376",1687466399999,"79307.64790",92,"513.714","43982.22652"
"LTCUSDT","LTCUSDT#1687466400000",1687466400000,"85.59","85.59","85.51","85.57","4015.438",1687466459999,"343530.55325",332,"1974.652","168931.73852"
"LTCUSDT","LTCUSDT#1687466460000",1687466460000,"85.58","85.62","85.58","85.62","1100.544",1687466519999,"94202.99857",113,"937.913","80283.64475"
"LTCUSDT","LTCUSDT#1687466520000",1687466520000,"85.63","85.65","85.60","85.63","780.474",1687466579999,"66829.52578",126,"507.650","43470.28569"
"LTCUSDT","LTCUSDT#1687466580000",1687466580000,"85.62","85.68","85.61","85.66","1274.045",1687466639999,"109117.16300",135,"1033.851","88548.90083"
"LTCUSDT","LTCUSDT#1687466640000",1687466640000,"85.65","85.69","85.64","85.68","1433.376",1687466699999,"122802.76804",167,"735.130","62980.50116"
"LTCUSDT","LTCUSDT#1687466700000",1687466700000,"85.68","85.71","85.63","85.70","1547.159",1687466759999,"132548.61810",192,"634.806","54391.63329"
"LTCUSDT","LTCUSDT#1687466760000",1687466760000,"85.71","85.77","85.70","85.77","930.391",1687466819999,"79771.55116",208,"808.232","69296.39357"
"LTCUSDT","LTCUSDT#1687466820000",1687466820000,"85.77","85.79","85.76","85.79","580.723",1687466879999,"49815.34593",148,"380.880","32672.51843"
"LTCUSDT","LTCUSDT#1687466880000",1687466880000,"85.79","85.81","85.76","85.78","2409.645",1687466939999,"206707.15907",243,"856.232","73454.13683"
"LTCUSDT","LTCUSDT#1687466940000",1687466940000,"85.78","85.82","85.78","85.81","1212.609",1687466999999,"104048.43881",174,"1115.513","95717.20897"
"LTCUSDT","LTCUSDT#1687467000000",1687467000000,"85.82","85.83","85.79","85.82","1154.878",1687467059999,"99099.81532",219,"822.494","70580.13838"
"LTCUSDT","LTCUSDT#1687467060000",1687467060000,"85.82","85.86","85.81","85.86","1362.687",1687467119999,"116976.39564",235,"1160.689","99635.67492"
"LTCUSDT","LTCUSDT#1687467120000",1687467120000,"85.86","85.94","85.85","85.93","2901.220",1687467179999,"249207.75877",408,"2364.185","203084.85855"
"LTCUSDT","LTCUSDT#1687467180000",1687467180000,"85.93","85.94","85.90","85.90","1301.260",1687467239999,"111806.79270",168,"533.067","45806.60713"
"LTCUSDT","LTCUSDT#1687467240000",1687467240000,"85.89","85.90","85.86","85.89","1384.102",1687467299999,"118860.53939",188,"555.262","47683.34668"
"LTCUSDT","LTCUSDT#1687467300000",1687467300000,"85.90","85.90","85.88","85.89","622.871",1687467359999,"53499.60780",113,"291.589","25046.56923"
"LTCUSDT","LTCUSDT#1687467360000",1687467360000,"85.88","85.99","85.88","85.98","2474.057",1687467419999,"212627.05632",328,"2156.196","185304.31376"
"LTCUSDT","LTCUSDT#1687467420000",1687467420000,"85.98","86.00","85.94","85.96","1764.484",1687467479999,"151694.06696",202,"366.952","31546.17622"
"LTCUSDT","LTCUSDT#1687467480000",1687467480000,"85.95","86.04","85.93","86.03","3464.825",1687467539999,"297982.37305",357,"2939.309","252797.14700"
"LTCUSDT","LTCUSDT#1687467540000",1687467540000,"86.02","86.03","86.01","86.02","832.038",1687467599999,"71571.03686",137,"498.380","42871.12695"
"LTCUSDT","LTCUSDT#1687467600000",1687467600000,"86.02","86.04","85.94","86.03","2002.333",1687467659999,"172167.65772",414,"928.703","79843.08311"
