"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ONTUSDT","ONTUSDT#1687464060000",1687464060000,"0.1802","0.1802","0.1800","0.1800","102499.9",1687464119999,"18455.75829",122,"36002.1","6480.77268"
"ONTUSDT","ONTUSDT#1687464120000",1687464120000,"0.1800","0.1801","0.1800","0.1801","30889.9",1687464179999,"5562.25590",73,"21311.4","3837.29437"
"ONTUSDT","ONTUSDT#1687464180000",1687464180000,"0.1801","0.1801","0.1800","0.1800","39195.9",1687464239999,"7055.91417",61,"7510.4","1352.52417"
"ONTUSDT","ONTUSDT#1687464240000",1687464240000,"0.1800","0.1801","0.1799","0.1800","128018.8",1687464299999,"23036.51398",134,"56200.9","10115.71537"
"ONTUSDT","ONTUSDT#1687464300000",1687464300000,"0.1801","0.1802","0.1801","0.1801","38342.5",1687464359999,"6907.55231",51,"10920.3","1967.19138"
"ONTUSDT","ONTUSDT#1687464360000",1687464360000,"0.1801","0.1801","0.1799","0.1799","21957.6",1687464419999,"3952.61108",30,"2884.3","519.46243"
"ONTUSDT","ONTUSDT#1687464420000",1687464420000,"0.1798","0.1798","0.1795","0.1796","29444.4",1687464479999,"5290.52558",54,"21772.8","3911.70752"
"ONTUSDT","ONTUSDT#1687464480000",1687464480000,"0.1796","0.1798","0.1796","0.1796","14578.4",1687464539999,"2619.67162",37,"7334.6","1318.08311"
"ONTUSDT","ONTUSDT#1687464540000",1687464540000,"0.1797","0.1797","0.1795","0.1796","42495.3",1687464599999,"7630.35418",50,"13575.1","2436.75069"
"ONTUSDT","ONTUSDT#1687464600000",1687464600000,"0.1795","0.1796","0.1794","0.1796","50750.3",1687464659999,"9108.63862",51,"33847.1","6075.69848"
"ONTUSDT","ONTUSDT#1687464660000",1687464660000,"0.1796","0.1797","0.1795","0.1796","83916.3",1687464719999,"15075.12374",72,"56641.5","10175.62597"
"ONTUSDT","ONTUSDT#1687464720000",1687464720000,"0.1796","0.1796","0.1796","0.1796","5163.1",1687464779999,"927.29276",10,"4616.1","829.05156"
"ONTUSDT","ONTUSDT#1687464780000",1687464780000,"0.1796","0.1797","0.1796","0.1797","13643.4",1687464839999,"2451.69674",17,"13421.0","2411.75370"
"ONTUSDT","ONTUSDT#1687464840000",1687464840000,"0.1797","0.1798","0.1797","0.1798","149.4",1687464899999,"26.85598",3,"88.0","15.82240"
"ONTUSDT","ONTUSDT#1687464900000",1687464900000,"0.1797","0.1797","0.1795","0.1797","23223.9",1687464959999,"4172.33845",59,"11676.0","2097.58626"
"ONTUSDT","ONTUSDT#1687464960000",1687464960000,"0.1797","0.1797","0.1796","0.1796","62767.9",1687465019999,"11277.03037",61,"18504.7","3323.44412"
"ONTUSDT","ONTUSDT#1687465020000",1687465020000,"0.1795","0.1796","0.1795","0.1795","30459.7",1687465079999,"5467.78927",41,"14239.8","2556.31722"
"ONTUSDT","ONTUSDT#1687465080000",1687465080000,"0.1796","0.1796","0.1796","0.1796","14922.9",1687465139999,"2680.15284",13,"14922.9","2680.15284"
"ONTUSDT","ONTUSDT#1687465140000",1687465140000,"0.1796","0.1796","0.1796","0.1796","6652.1",1687465199999,"1194.71716",16,"1000.0","179.60000"
"ONTUSDT","ONTUSDT#1687465200000",1687465200000,"0.1795","0.1796","0.1795","0.1795","15192.7",1687465259999,"2727.11559",41,"259.4","46.58824"
"ONTUSDT","ONTUSDT#1687465260000",1687465260000,"0.1796","0.1796","0.1796","0.1796","37.5",1687465319999,"6.73500",1,"37.5","6.73500"
"ONTUSDT","ONTUSDT#1687465320000",1687465320000,"0.1795","0.1795","0.1792","0.1792","90567.9",1687465379999,"16237.86184",82,"31848.1","5707.17952"
"ONTUSDT","ONTUSDT#1687465380000",1687465380000,"0.1792","0.1792","0.1791","0.1791","55654.3",1687465439999,"9968.44852",57,"35009.8","6270.44774"
"ONTUSDT","ONTUSDT#1687465440000",1687465440000,"0.1791","0.1791","0.1790","0.1791","13022.0",1687465499999,"2332.20904",18,"12138.7","2174.04117"
"ONTUSDT","ONTUSDT#1687465500000",1687465500000,"0.1792","0.1792","0.1788","0.1788","72692.6",1687465559999,"13006.82138",69,"33151.3","5930.96607"
"ONTUSDT","ONTUSDT#1687465560000",1687465560000,"0.1788","0.1789","0.1788","0.1788","12592.2",1687465619999,"2252.66441",28,"8059.9","1441.91611"
"ONTUSDT","ONTUSDT#1687465620000",1687465620000,"0.1788","0.1790","0.1788","0.1789","45765.4",1687465679999,"8191.42707",41,"32575.9","5831.03537"
"ONTUSDT","ONTUSDT#1687465680000",1687465680000,"0.1789","0.1790","0.1788","0.1789","23760.3",1687465739999,"4250.56446",37,"2381.7","426.18613"
"ONTUSDT","ONTUSDT#1687465740000",1687465740000,"0.1789","0.1790","0.1788","0.1790","9865.8",1687465799999,"1764.60635",20,"4296.8","768.70405"
"ONTUSDT","ONTUSDT#1687465800000",1687465800000,"0.1789","0.1791","0.1789","0.1790","17655.2",1687465859999,"3160.31632",40,"11364.9","2034.35963"
