"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RSRUSDT","RSRUSDT#1687428060000",1687428060000,"0.002342","0.002345","0.002342","0.002344","1738942",1687428119999,"4075.237532",70,"968972","2270.669182"
"RSRUSDT","RSRUSDT#1687428120000",1687428120000,"0.002343","0.002344","0.002343","0.002344","314522",1687428179999,"737.233906",10,"308860","723.967840"
"RSRUSDT","RSRUSDT#1687428180000",1687428180000,"0.002344","0.002346","0.002344","0.002345","2242740",1687428239999,"5259.188441",37,"1437429","3371.006695"
"RSRUSDT","RSRUSDT#1687428240000",1687428240000,"0.002345","0.002345","0.002344","0.002344","530549",1687428299999,"1244.120405",16,"0","0.000000"
"RSRUSDT","RSRUSDT#1687428300000",1687428300000,"0.002345","0.002346","0.002341","0.002342","4278314",1687428359999,"10024.465922",107,"1518006","3556.715493"
"RSRUSDT","RSRUSDT#1687428360000",1687428360000,"0.002343","0.002347","0.002343","0.002347","2602407",1687428419999,"6101.869963",37,"2429673","5696.842493"
"RSRUSDT","RSRUSDT#1687428420000",1687428420000,"0.002347","0.002350","0.002347","0.002350","1298930",1687428479999,"3049.600511",28,"1133004","2660.172189"
"RSRUSDT","RSRUSDT#1687428480000",1687428480000,"0.002350","0.002352","0.002350","0.002350","2279878",1687428539999,"5358.844178",55,"564505","1326.783780"
"RSRUSDT","RSRUSDT#1687428540000",1687428540000,"0.002350","0.002350","0.002349","0.002349","1357658",1687428599999,"3190.344891",33,"219450","515.707500"
"RSRUSDT","RSRUSDT#1687428600000",1687428600000,"0.002349","0.002349","0.002343","0.002343","2923477",1687428659999,"6857.695259",40,"0","0.000000"
"RSRUSDT","RSRUSDT#1687428660000",1687428660000,"0.002343","0.002345","0.002343","0.002344","2003858",1687428719999,"4696.168908",29,"995456","2333.171078"
"RSRUSDT","RSRUSDT#1687428720000",1687428720000,"0.002344","0.002346","0.002344","0.002345","1751853",1687428779999,"4107.035376",29,"1638089","3840.264185"
"RSRUSDT","RSRUSDT#1687428780000",1687428780000,"0.002345","0.002345","0.002342","0.002343","5852865",1687428839999,"13711.429678",38,"455254","1066.728918"
"RSRUSDT","RSRUSDT#1687428840000",1687428840000,"0.002343","0.002345","0.002343","0.002345","1813571",1687428899999,"4251.507682",21,"770356","1805.572052"
"RSRUSDT","RSRUSDT#1687428900000",1687428900000,"0.002344","0.002344","0.002342","0.002344","2799916",1687428959999,"6560.373616",53,"642624","1505.681250"
"RSRUSDT","RSRUSDT#1687428960000",1687428960000,"0.002343","0.002345","0.002343","0.002344","1760786",1687429019999,"4127.262118",72,"490779","1150.458402"
"RSRUSDT","RSRUSDT#1687429020000",1687429020000,"0.002344","0.002347","0.002344","0.002346","2833952",1687429079999,"6646.694394",70,"1769020","4149.318423"
"RSRUSDT","RSRUSDT#1687429080000",1687429080000,"0.002345","0.002346","0.002343","0.002346","2347441",1687429139999,"5504.210623",30,"857441","2010.934402"
"RSRUSDT","RSRUSDT#1687429140000",1687429140000,"0.002346","0.002349","0.002346","0.002348","4258095",1687429199999,"9999.644771",85,"3425288","8044.636954"
"RSRUSDT","RSRUSDT#1687429200000",1687429200000,"0.002348","0.002349","0.002345","0.002347","3337648",1687429259999,"7830.467695",47,"1151239","2701.952880"
"RSRUSDT","RSRUSDT#1687429260000",1687429260000,"0.002347","0.002347","0.002346","0.002347","1842886",1687429319999,"4324.634863",25,"297882","698.936854"
"RSRUSDT","RSRUSDT#1687429320000",1687429320000,"0.002347","0.002347","0.002346","0.002346","639385",1687429379999,"1500.088795",10,"0","0.000000"
"RSRUSDT","RSRUSDT#1687429380000",1687429380000,"0.002346","0.002346","0.002344","0.002345","6799896",1687429439999,"15942.757519",62,"1961449","4598.390050"
"RSRUSDT","RSRUSDT#1687429440000",1687429440000,"0.002345","0.002346","0.002344","0.002345","802083",1687429499999,"1880.749020",21,"274190","642.839935"
"RSRUSDT","RSRUSDT#1687429500000",1687429500000,"0.002345","0.002348","0.002345","0.002348","773425",1687429559999,"1814.920541",13,"727679","1707.600425"
"RSRUSDT","RSRUSDT#1687429560000",1687429560000,"0.002348","0.002349","0.002348","0.002349","1808987",1687429619999,"4249.211899",19,"1808987","4249.211899"
"RSRUSDT","RSRUSDT#1687429620000",1687429620000,"0.002349","0.002350","0.002347","0.002348","5754828",1687429679999,"13517.664182",46,"4739580","11133.950798"
"RSRUSDT","RSRUSDT#1687429680000",1687429680000,"0.002349","0.002349","0.002349","0.002349","592141",1687429739999,"1390.939209",10,"24370","57.245130"
"RSRUSDT","RSRUSDT#1687429740000",1687429740000,"0.002350","0.002350","0.002350","0.002350","865988",1687429799999,"2035.071800",19,"686376","1612.983600"
"RSRUSDT","RSRUSDT#1687429800000",1687429800000,"0.002350","0.002350","0.002347","0.002347","1490076",1687429859999,"3498.106381",28,"816050","1915.469450"
"RSRUSDT","RSRUSDT#1687429860000",1687429860000,"0.002348","0.002348","0.002347","0.002347","665536",1687429919999,"1562.603454",24,"149485","350.990780"
"RSRUSDT","RSRUSDT#1687429920000",1687429920000,"0.002348","0.002350","0.002348","0.002350","434879",1687429979999,"1021.536908",13,"405579","952.711208"
"RSRUSDT","RSRUSDT#1687429980000",1687429980000,"0.002349","0.002351","0.002349","0.002351","2335797",1687430039999,"5488.468427",51,"1530990","3597.976784"
"RSRUSDT","RSRUSDT#1687430040000",1687430040000,"0.002350","0.002351","0.002350","0.002350","237027",1687430099999,"557.033920",18,"20470","48.124970"
"RSRUSDT","RSRUSDT#1687430100000",1687430100000,"0.002350","0.002351","0.002349","0.002349","1419747",1687430159999,"3335.497665",58,"801615","1883.077109"
"RSRUSDT","RSRUSDT#1687430160000",1687430160000,"0.002349","0.002350","0.002349","0.002350","1975933",1687430219999,"4641.995705",30,"1033315","2427.786023"
"RSRUSDT","RSRUSDT#1687430220000",1687430220000,"0.002351","0.002352","0.002350","0.002350","2389058",1687430279999,"5616.565647",63,"1404697","3302.509070"
"RSRUSDT","RSRUSDT#1687430280000",1687430280000,"0.002351","0.002351","0.002347","0.002347","1100310",1687430339999,"2584.828265",37,"0","0.000000"
"RSRUSDT","RSRUSDT#1687430340000",1687430340000,"0.002347","0.002347","0.002347","0.002347","0",1687430399999,"0.000000",0,"0","0.000000"
"RSRUSDT","RSRUSDT#1687430400000",1687430400000,"0.002348","0.002348","0.002347","0.002347","940141",1687430459999,"2207.415576",23,"776586","1823.423928"
"RSRUSDT","RSRUSDT#1687430460000",1687430460000,"0.002348","0.002350","0.002348","0.002350","425618",1687430519999,"999.683868",12,"423396","994.466612"
"RSRUSDT","RSRUSDT#1687430520000",1687430520000,"0.002350","0.002350","0.002349","0.002349","246758",1687430579999,"579.868650",10,"234108","550.153800"
"RSRUSDT","RSRUSDT#1687430580000",1687430580000,"0.002349","0.002349","0.002347","0.002348","495289",1687430639999,"1163.202480",20,"63978","150.220344"
"RSRUSDT","RSRUSDT#1687430640000",1687430640000,"0.002348","0.002348","0.002347","0.002347","913348",1687430699999,"2144.212625",24,"429081","1007.482188"
"RSRUSDT","RSRUSDT#1687430700000",1687430700000,"0.002348","0.002348","0.002342","0.002342","3398507",1687430759999,"7966.343110",65,"100652","236.300854"
"RSRUSDT","RSRUSDT#1687430760000",1687430760000,"0.002342","0.002343","0.002341","0.002341","6607488",1687430819999,"15474.448558",79,"3308540","7750.327407"
"RSRUSDT","RSRUSDT#1687430820000",1687430820000,"0.002342","0.002343","0.002341","0.002341","1571589",1687430879999,"3680.078312",24,"568265","1330.880891"
"RSRUSDT","RSRUSDT#1687430880000",1687430880000,"0.002341","0.002341","0.002337","0.002338","9303248",1687430939999,"21762.651369",91,"1110648","2598.213969"
"RSRUSDT","RSRUSDT#1687430940000",1687430940000,"0.002337","0.002339","0.002336","0.002339","2505007",1687430999999,"5856.234865",30,"1612865","3771.163675"
