"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RVNUSDT","RVNUSDT#1687471260000",1687471260000,"0.01830","0.01830","0.01829","0.01829","21784",1687471319999,"398.60636",5,"17700","323.91000"
"RVNUSDT","RVNUSDT#1687471320000",1687471320000,"0.01829","0.01831","0.01825","0.01831","718535",1687471379999,"13137.48295",129,"251907","4608.66367"
"RVNUSDT","RVNUSDT#1687471380000",1687471380000,"0.01832","0.01832","0.01828","0.01829","289290",1687471439999,"5292.58266",74,"51924","950.00238"
"RVNUSDT","RVNUSDT#1687471440000",1687471440000,"0.01829","0.01829","0.01826","0.01829","266596",1687471499999,"4872.34401",62,"131809","2409.23286"
"RVNUSDT","RVNUSDT#1687471500000",1687471500000,"0.01828","0.01829","0.01828","0.01829","144553",1687471559999,"2642.60461",33,"99947","1827.20693"
"RVNUSDT","RVNUSDT#1687471560000",1687471560000,"0.01828","0.01828","0.01828","0.01828","47632",1687471619999,"870.71296",36,"1376","25.15328"
"RVNUSDT","RVNUSDT#1687471620000",1687471620000,"0.01827","0.01828","0.01827","0.01827","672235",1687471679999,"12281.89769",45,"87914","1606.35302"
"RVNUSDT","RVNUSDT#1687471680000",1687471680000,"0.01827","0.01827","0.01826","0.01826","22507",1687471739999,"411.16949",13,"0","0.00000"
"RVNUSDT","RVNUSDT#1687471740000",1687471740000,"0.01827","0.01828","0.01827","0.01828","62415",1687471799999,"1140.61348",10,"56066","1024.61725"
"RVNUSDT","RVNUSDT#1687471800000",1687471800000,"0.01827","0.01827","0.01824","0.01826","1100540",1687471859999,"20087.36502",72,"85004","1551.87713"
"RVNUSDT","RVNUSDT#1687471860000",1687471860000,"0.01827","0.01827","0.01826","0.01826","33648",1687471919999,"614.47999",25,"8550","156.19051"
"RVNUSDT","RVNUSDT#1687471920000",1687471920000,"0.01826","0.01826","0.01825","0.01825","84151",1687471979999,"1536.16326",24,"25256","461.17456"
"RVNUSDT","RVNUSDT#1687471980000",1687471980000,"0.01825","0.01825","0.01825","0.01825","0",1687472039999,"0.00000",0,"0","0.00000"
"RVNUSDT","RVNUSDT#1687472040000",1687472040000,"0.01824","0.01824","0.01824","0.01824","103813",1687472099999,"1893.54912",14,"0","0.00000"
"RVNUSDT","RVNUSDT#1687472100000",1687472100000,"0.01825","0.01826","0.01824","0.01824","875474",1687472159999,"15976.06350",83,"369426","6743.35593"
"RVNUSDT","RVNUSDT#1687472160000",1687472160000,"0.01825","0.01825","0.01824","0.01824","41466",1687472219999,"756.41477",14,"23726","432.83717"
"RVNUSDT","RVNUSDT#1687472220000",1687472220000,"0.01824","0.01824","0.01820","0.01823","485685",1687472279999,"8846.19917",78,"242565","4418.52973"
"RVNUSDT","RVNUSDT#1687472280000",1687472280000,"0.01824","0.01824","0.01823","0.01823","108683",1687472339999,"1981.45045",21,"83312","1518.93712"
"RVNUSDT","RVNUSDT#1687472340000",1687472340000,"0.01823","0.01823","0.01822","0.01823","139813",1687472399999,"2548.05231",17,"658","11.99534"
"RVNUSDT","RVNUSDT#1687472400000",1687472400000,"0.01823","0.01823","0.01822","0.01822","38068",1687472459999,"693.96538",15,"36642","667.98366"
"RVNUSDT","RVNUSDT#1687472460000",1687472460000,"0.01823","0.01823","0.01823","0.01823","58627",1687472519999,"1068.77021",22,"3261","59.44803"
"RVNUSDT","RVNUSDT#1687472520000",1687472520000,"0.01823","0.01823","0.01822","0.01822","27880",1687472579999,"507.99802",12,"2442","44.51766"
"RVNUSDT","RVNUSDT#1687472580000",1687472580000,"0.01821","0.01821","0.01821","0.01821","67120",1687472639999,"1222.25520",11,"16742","304.87182"
"RVNUSDT","RVNUSDT#1687472640000",1687472640000,"0.01821","0.01821","0.01821","0.01821","519",1687472699999,"9.45099",1,"519","9.45099"
"RVNUSDT","RVNUSDT#1687472700000",1687472700000,"0.01821","0.01823","0.01821","0.01823","60260",1687472759999,"1097.59627",12,"60260","1097.59627"
"RVNUSDT","RVNUSDT#1687472760000",1687472760000,"0.01823","0.01823","0.01823","0.01823","76007",1687472819999,"1385.60761",26,"10388","189.37324"
"RVNUSDT","RVNUSDT#1687472820000",1687472820000,"0.01822","0.01823","0.01822","0.01823","192476",1687472879999,"3507.05383",24,"40346","735.24523"
"RVNUSDT","RVNUSDT#1687472880000",1687472880000,"0.01823","0.01823","0.01821","0.01821","122736",1687472939999,"2235.45974",31,"5183","94.48609"
"RVNUSDT","RVNUSDT#1687472940000",1687472940000,"0.01820","0.01821","0.01819","0.01819","90472",1687472999999,"1645.80362",23,"2867","52.20807"
"RVNUSDT","RVNUSDT#1687473000000",1687473000000,"0.01819","0.01821","0.01819","0.01821","169905",1687473059999,"3091.86281",28,"169905","3091.86281"
"RVNUSDT","RVNUSDT#1687473060000",1687473060000,"0.01821","0.01822","0.01821","0.01821","70288",1687473119999,"1280.06902",19,"43443","791.22157"
"RVNUSDT","RVNUSDT#1687473120000",1687473120000,"0.01822","0.01822","0.01819","0.01819","471555",1687473179999,"8582.39926",96,"109824","1997.84793"
"RVNUSDT","RVNUSDT#1687473180000",1687473180000,"0.01820","0.01820","0.01818","0.01818","258784",1687473239999,"4707.32639",56,"88595","1612.23786"
"RVNUSDT","RVNUSDT#1687473240000",1687473240000,"0.01818","0.01820","0.01818","0.01819","191982",1687473299999,"3491.15974",33,"180468","3281.72994"
"RVNUSDT","RVNUSDT#1687473300000",1687473300000,"0.01819","0.01819","0.01818","0.01819","95367",1687473359999,"1734.71912",16,"65940","1199.44860"
"RVNUSDT","RVNUSDT#1687473360000",1687473360000,"0.01818","0.01819","0.01818","0.01818","228262",1687473419999,"4150.02226",53,"101782","1850.61586"
"RVNUSDT","RVNUSDT#1687473420000",1687473420000,"0.01818","0.01818","0.01818","0.01818","0",1687473479999,"0.00000",0,"0","0.00000"
"RVNUSDT","RVNUSDT#1687473480000",1687473480000,"0.01818","0.01818","0.01818","0.01818","59975",1687473539999,"1090.34550",9,"59975","1090.34550"
"RVNUSDT","RVNUSDT#1687473540000",1687473540000,"0.01818","0.01818","0.01817","0.01818","214818",1687473599999,"3903.56467",19,"14818","269.39124"
"RVNUSDT","RVNUSDT#1687473600000",1687473600000,"0.01818","0.01819","0.01818","0.01819","62187",1687473659999,"1130.94638",14,"60929","1108.07594"
"RVNUSDT","RVNUSDT#1687473660000",1687473660000,"0.01820","0.01822","0.01820","0.01822","390291",1687473719999,"7106.91618",70,"297908","5425.54558"
"RVNUSDT","RVNUSDT#1687473720000",1687473720000,"0.01822","0.01822","0.01820","0.01820","118227",1687473779999,"2152.60397",30,"56383","1026.74372"
"RVNUSDT","RVNUSDT#1687473780000",1687473780000,"0.01820","0.01821","0.01820","0.01820","62943",1687473839999,"1145.57290",23,"47421","863.07250"
"RVNUSDT","RVNUSDT#1687473840000",1687473840000,"0.01821","0.01821","0.01820","0.01821","48701",1687473899999,"886.40335",14,"17135","311.90215"
"RVNUSDT","RVNUSDT#1687473900000",1687473900000,"0.01820","0.01822","0.01820","0.01822","276566",1687473959999,"5036.29629",43,"93022","1694.08383"
"RVNUSDT","RVNUSDT#1687473960000",1687473960000,"0.01821","0.01821","0.01817","0.01818","431464",1687474019999,"7845.07528",65,"1109","20.16514"
"RVNUSDT","RVNUSDT#1687474020000",1687474020000,"0.01818","0.01818","0.01818","0.01818","72181",1687474079999,"1312.25058",13,"23714","431.12052"
"RVNUSDT","RVNUSDT#1687474080000",1687474080000,"0.01818","0.01818","0.01818","0.01818","14364",1687474139999,"261.13752",1,"14364","261.13752"
"RVNUSDT","RVNUSDT#1687474140000",1687474140000,"0.01817","0.01818","0.01817","0.01818","128602",1687474199999,"2337.97778",20,"127944","2326.02192"
"RVNUSDT","RVNUSDT#1687474200000",1687474200000,"0.01819","0.01819","0.01818","0.01819","203586",1687474259999,"3702.17452",43,"132067","2401.95910"
"RVNUSDT","RVNUSDT#1687474260000",1687474260000,"0.01818","0.01818","0.01817","0.01817","88561",1687474319999,"1609.43922",20,"0","0.00000"
