"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"1000SHIBUSDT","1000SHIBUSDT#1687536060000",1687536060000,"0.008002","0.008004","0.007989","0.007990","39174386",1687536119999,"313252.074251",797,"15317587","122485.412274"
"1000SHIBUSDT","1000SHIBUSDT#1687536120000",1687536120000,"0.007990","0.007999","0.007963","0.007971","55092445",1687536179999,"439630.623523",1157,"23174790","184995.123767"
"1000SHIBUSDT","1000SHIBUSDT#1687536180000",1687536180000,"0.007972","0.007997","0.007971","0.007994","33694809",1687536239999,"268957.060019",676,"20416119","162958.342342"
"1000SHIBUSDT","1000SHIBUSDT#1687536240000",1687536240000,"0.007994","0.008026","0.007994","0.008012","43505871",1687536299999,"348580.996240",959,"28497950","228331.638256"
"1000SHIBUSDT","1000SHIBUSDT#1687536300000",1687536300000,"0.008013","0.008041","0.008011","0.008039","46208076",1687536359999,"370946.107428",1115,"26516503","212872.010373"
"1000SHIBUSDT","1000SHIBUSDT#1687536360000",1687536360000,"0.008039","0.008055","0.008031","0.008051","38542768",1687536419999,"309999.404045",900,"24009752","193130.989401"
"1000SHIBUSDT","1000SHIBUSDT#1687536420000",1687536420000,"0.008051","0.008086","0.008051","0.008084","53664013",1687536479999,"432917.068221",1246,"32851136","265028.070907"
"1000SHIBUSDT","1000SHIBUSDT#1687536480000",1687536480000,"0.008085","0.008155","0.008075","0.008117","159054281",1687536539999,"1290197.729254",2746,"81218183","659315.470884"
"1000SHIBUSDT","1000SHIBUSDT#1687536540000",1687536540000,"0.008117","0.008117","0.008066","0.008096","70284820",1687536599999,"568508.895397",1676,"31637603","255892.144808"
"1000SHIBUSDT","1000SHIBUSDT#1687536600000",1687536600000,"0.008095","0.008105","0.008078","0.008090","49242356",1687536659999,"398356.398941",1051,"20591101","166542.098172"
"1000SHIBUSDT","1000SHIBUSDT#1687536660000",1687536660000,"0.008089","0.008112","0.008088","0.008091","45309912",1687536719999,"367008.817772",1051,"27088232","219405.182939"
"1000SHIBUSDT","1000SHIBUSDT#1687536720000",1687536720000,"0.008091","0.008114","0.008088","0.008111","31781891",1687536779999,"257405.725621",805,"18609713","150739.819810"
"1000SHIBUSDT","1000SHIBUSDT#1687536780000",1687536780000,"0.008110","0.008125","0.008102","0.008114","32868809",1687536839999,"266643.087813",783,"17448061","141562.765749"
"1000SHIBUSDT","1000SHIBUSDT#1687536840000",1687536840000,"0.008114","0.008123","0.008108","0.008110","33598008",1687536899999,"272638.880531",784,"13607337","110436.470968"
"1000SHIBUSDT","1000SHIBUSDT#1687536900000",1687536900000,"0.008110","0.008118","0.008097","0.008097","41121683",1687536959999,"333480.918576",790,"16930074","137300.737757"
"1000SHIBUSDT","1000SHIBUSDT#1687536960000",1687536960000,"0.008096","0.008096","0.008059","0.008059","71694538",1687537019999,"578950.455920",1455,"26218657","211746.524905"
"1000SHIBUSDT","1000SHIBUSDT#1687537020000",1687537020000,"0.008059","0.008059","0.008023","0.008029","65196091",1687537079999,"524257.394702",1273,"20669492","166205.582269"
"1000SHIBUSDT","1000SHIBUSDT#1687537080000",1687537080000,"0.008028","0.008055","0.008016","0.008046","48536582",1687537139999,"390045.133533",981,"26003872","208983.367495"
"1000SHIBUSDT","1000SHIBUSDT#1687537140000",1687537140000,"0.008047","0.008071","0.008044","0.008068","74948847",1687537199999,"603688.377085",1238,"45858983","369447.359288"
"1000SHIBUSDT","1000SHIBUSDT#1687537200000",1687537200000,"0.008069","0.008074","0.008043","0.008054","45317397",1687537259999,"365198.140159",978,"19277736","155364.907887"
"1000SHIBUSDT","1000SHIBUSDT#1687537260000",1687537260000,"0.008054","0.008061","0.008027","0.008036","49787821",1687537319999,"400537.830436",1057,"20874820","167992.169603"
"1000SHIBUSDT","1000SHIBUSDT#1687537320000",1687537320000,"0.008036","0.008054","0.008035","0.008049","29968096",1687537379999,"241100.619647",704,"16814866","135288.114565"
"1000SHIBUSDT","1000SHIBUSDT#1687537380000",1687537380000,"0.008050","0.008050","0.007977","0.007985","149960534",1687537439999,"1201802.791924",2752,"57041887","457264.119004"
"1000SHIBUSDT","1000SHIBUSDT#1687537440000",1687537440000,"0.007982","0.008014","0.007946","0.008005","159946106",1687537499999,"1276882.135957",2948,"81109765","647745.627877"
"1000SHIBUSDT","1000SHIBUSDT#1687537500000",1687537500000,"0.008007","0.008019","0.007986","0.008007","59116589",1687537559999,"473072.361721",1004,"27445767","219659.881826"
"1000SHIBUSDT","1000SHIBUSDT#1687537560000",1687537560000,"0.008006","0.008023","0.008001","0.008008","33885274",1687537619999,"271557.344631",739,"16351609","131054.991551"
"1000SHIBUSDT","1000SHIBUSDT#1687537620000",1687537620000,"0.008009","0.008018","0.008003","0.008017","32764326",1687537679999,"262450.435536",636,"17914769","143529.483799"
"1000SHIBUSDT","1000SHIBUSDT#1687537680000",1687537680000,"0.008017","0.008031","0.008009","0.008014","34189770",1687537739999,"274140.551293",732,"15730741","126140.178652"
"1000SHIBUSDT","1000SHIBUSDT#1687537740000",1687537740000,"0.008015","0.008026","0.007995","0.008010","36512697",1687537799999,"292470.026931",786,"16554757","132610.981724"
"1000SHIBUSDT","1000SHIBUSDT#1687537800000",1687537800000,"0.008011","0.008012","0.007987","0.007995","39956447",1687537859999,"319598.274004",756,"17250839","137991.379161"
"1000SHIBUSDT","1000SHIBUSDT#1687537860000",1687537860000,"0.007997","0.008024","0.007997","0.008021","24550517",1687537919999,"196759.291220",480,"14966983","119944.579723"
"1000SHIBUSDT","1000SHIBUSDT#1687537920000",1687537920000,"0.008021","0.008035","0.008019","0.008028","27775018",1687537979999,"222994.689447",619,"16177602","129886.255500"
"1000SHIBUSDT","1000SHIBUSDT#1687537980000",1687537980000,"0.008028","0.008038","0.008025","0.008031","41928006",1687538039999,"336753.712919",771,"22095122","177482.333767"
"1000SHIBUSDT","1000SHIBUSDT#1687538040000",1687538040000,"0.008031","0.008036","0.008017","0.008025","28242267",1687538099999,"226694.400764",604,"13215629","106077.683998"
"1000SHIBUSDT","1000SHIBUSDT#1687538100000",1687538100000,"0.008024","0.008029","0.008005","0.008012","36488964",1687538159999,"292467.996154",661,"13531828","108466.269751"
"1000SHIBUSDT","1000SHIBUSDT#1687538160000",1687538160000,"0.008012","0.008022","0.008010","0.008010","38802906",1687538219999,"311034.720641",606,"18254738","146334.946108"
"1000SHIBUSDT","1000SHIBUSDT#1687538220000",1687538220000,"0.008011","0.008013","0.007985","0.007997","49610475",1687538279999,"396801.960803",801,"17357600","138808.324336"
"1000SHIBUSDT","1000SHIBUSDT#1687538280000",1687538280000,"0.007996","0.008007","0.007992","0.008001","18904687",1687538339999,"151224.852624",476,"9805188","78439.155515"
"1000SHIBUSDT","1000SHIBUSDT#1687538340000",1687538340000,"0.008000","0.008014","0.008000","0.008008","19453324",1687538399999,"155781.485009",435,"11308078","90549.681864"
"1000SHIBUSDT","1000SHIBUSDT#1687538400000",1687538400000,"0.008008","0.008019","0.008007","0.008019","23218287",1687538459999,"186046.631157",474,"12157410","97425.228464"
