"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ANTUSDT","ANTUSDT#1687543260000",1687543260000,"4.445","4.449","4.444","4.445","4417.3",1687543319999,"19637.3051",191,"1915.3","8516.2366"
"ANTUSDT","ANTUSDT#1687543320000",1687543320000,"4.446","4.449","4.442","4.448","12369.5",1687543379999,"54980.6253",264,"2409.1","10711.4680"
"ANTUSDT","ANTUSDT#1687543380000",1687543380000,"4.449","4.449","4.441","4.444","3702.5",1687543439999,"16452.0873",137,"903.5","4015.3312"
"ANTUSDT","ANTUSDT#1687543440000",1687543440000,"4.443","4.446","4.441","4.443","2504.0",1687543499999,"11125.7167",139,"733.8","3261.1782"
"ANTUSDT","ANTUSDT#1687543500000",1687543500000,"4.443","4.456","4.443","4.453","11592.5",1687543559999,"51579.1838",183,"8134.4","36180.6718"
"ANTUSDT","ANTUSDT#1687543560000",1687543560000,"4.452","4.452","4.447","4.449","5269.8",1687543619999,"23451.7390",100,"2052.9","9136.4680"
"ANTUSDT","ANTUSDT#1687543620000",1687543620000,"4.450","4.452","4.448","4.449","1479.0",1687543679999,"6581.2595",61,"635.5","2828.4578"
"ANTUSDT","ANTUSDT#1687543680000",1687543680000,"4.448","4.453","4.448","4.452","3813.5",1687543739999,"16971.9638",68,"3166.1","14090.6878"
"ANTUSDT","ANTUSDT#1687543740000",1687543740000,"4.452","4.455","4.452","4.453","1909.8",1687543799999,"8505.7989",72,"722.7","3219.0305"
"ANTUSDT","ANTUSDT#1687543800000",1687543800000,"4.453","4.453","4.441","4.442","5404.2",1687543859999,"24027.9588",177,"602.3","2677.8520"
"ANTUSDT","ANTUSDT#1687543860000",1687543860000,"4.441","4.443","4.437","4.439","5226.4",1687543919999,"23204.9353",142,"2295.4","10191.3866"
"ANTUSDT","ANTUSDT#1687543920000",1687543920000,"4.439","4.441","4.433","4.434","5337.5",1687543979999,"23680.4847",177,"1778.2","7891.7565"
"ANTUSDT","ANTUSDT#1687543980000",1687543980000,"4.434","4.438","4.434","4.435","2315.9",1687544039999,"10272.2324",110,"1488.7","6603.3614"
"ANTUSDT","ANTUSDT#1687544040000",1687544040000,"4.435","4.442","4.435","4.442","2438.6",1687544099999,"10823.1074",137,"1734.4","7697.4494"
"ANTUSDT","ANTUSDT#1687544100000",1687544100000,"4.440","4.440","4.431","4.438","6565.0",1687544159999,"29121.3882",170,"2965.0","13150.3496"
"ANTUSDT","ANTUSDT#1687544160000",1687544160000,"4.437","4.437","4.422","4.427","11973.3",1687544219999,"53016.1665",284,"3014.9","13344.0868"
"ANTUSDT","ANTUSDT#1687544220000",1687544220000,"4.427","4.429","4.421","4.423","4274.6",1687544279999,"18915.8944",131,"1923.6","8514.0836"
"ANTUSDT","ANTUSDT#1687544280000",1687544280000,"4.422","4.429","4.418","4.428","4123.0",1687544339999,"18237.0267",130,"2243.3","9923.3907"
"ANTUSDT","ANTUSDT#1687544340000",1687544340000,"4.428","4.428","4.424","4.424","3117.2",1687544399999,"13795.8808",75,"381.2","1687.1249"
"ANTUSDT","ANTUSDT#1687544400000",1687544400000,"4.424","4.426","4.421","4.426","3360.8",1687544459999,"14866.0103",104,"1851.2","8189.8700"
"ANTUSDT","ANTUSDT#1687544460000",1687544460000,"4.426","4.426","4.421","4.424","6115.2",1687544519999,"27049.2288",165,"2317.9","10254.2665"
"ANTUSDT","ANTUSDT#1687544520000",1687544520000,"4.424","4.426","4.416","4.417","4265.1",1687544579999,"18858.4274",147,"1162.1","5139.5950"
"ANTUSDT","ANTUSDT#1687544580000",1687544580000,"4.417","4.420","4.414","4.418","3445.9",1687544639999,"15220.6290",153,"2039.6","9009.6288"
"ANTUSDT","ANTUSDT#1687544640000",1687544640000,"4.418","4.420","4.411","4.414","4686.3",1687544699999,"20694.5585",175,"2315.4","10226.8558"
"ANTUSDT","ANTUSDT#1687544700000",1687544700000,"4.414","4.416","4.413","4.414","3315.7",1687544759999,"14636.5226",106,"1334.2","5889.2690"
"ANTUSDT","ANTUSDT#1687544760000",1687544760000,"4.415","4.415","4.406","4.409","4495.1",1687544819999,"19821.8070",181,"2608.3","11502.2065"
"ANTUSDT","ANTUSDT#1687544820000",1687544820000,"4.409","4.411","4.406","4.411","2701.0",1687544879999,"11908.5058",89,"2332.9","10285.6967"
"ANTUSDT","ANTUSDT#1687544880000",1687544880000,"4.412","4.416","4.410","4.411","2111.4",1687544939999,"9316.7768",84,"1235.5","5452.0387"
"ANTUSDT","ANTUSDT#1687544940000",1687544940000,"4.411","4.413","4.409","4.409","1148.4",1687544999999,"5065.1419",48,"347.0","1530.5889"
"ANTUSDT","ANTUSDT#1687545000000",1687545000000,"4.410","4.411","4.403","4.409","3669.8",1687545059999,"16173.4486",127,"1377.0","6068.6822"
"ANTUSDT","ANTUSDT#1687545060000",1687545060000,"4.409","4.414","4.408","4.411","3377.9",1687545119999,"14900.1782",155,"2232.2","9847.2379"
"ANTUSDT","ANTUSDT#1687545120000",1687545120000,"4.412","4.412","4.401","4.404","5215.1",1687545179999,"22973.2483",193,"1095.4","4826.6117"
"ANTUSDT","ANTUSDT#1687545180000",1687545180000,"4.404","4.410","4.401","4.404","7952.8",1687545239999,"35041.5378",179,"5178.8","22826.3748"
"ANTUSDT","ANTUSDT#1687545240000",1687545240000,"4.404","4.405","4.401","4.402","5053.5",1687545299999,"22247.0257",122,"1626.0","7158.7525"
"ANTUSDT","ANTUSDT#1687545300000",1687545300000,"4.403","4.405","4.401","4.401","5037.8",1687545359999,"22173.7882",120,"584.6","2573.6563"
"ANTUSDT","ANTUSDT#1687545360000",1687545360000,"4.401","4.401","4.379","4.380","32540.9",1687545419999,"142949.2726",629,"6572.5","28847.9338"
"ANTUSDT","ANTUSDT#1687545420000",1687545420000,"4.379","4.391","4.375","4.387","16530.0",1687545479999,"72447.9495",429,"11585.5","50795.6430"
"ANTUSDT","ANTUSDT#1687545480000",1687545480000,"4.386","4.399","4.385","4.395","6261.9",1687545539999,"27498.2159",203,"3391.5","14898.4630"
"ANTUSDT","ANTUSDT#1687545540000",1687545540000,"4.394","4.397","4.390","4.393","8292.8",1687545599999,"36438.0425",270,"4288.0","18843.9756"
"ANTUSDT","ANTUSDT#1687545600000",1687545600000,"4.393","4.394","4.389","4.389","3622.3",1687545659999,"15910.3073",173,"1322.0","5807.0701"
"ANTUSDT","ANTUSDT#1687545660000",1687545660000,"4.389","4.395","4.387","4.387","3733.7",1687545719999,"16393.4039",157,"1816.7","7978.1908"
"ANTUSDT","ANTUSDT#1687545720000",1687545720000,"4.387","4.396","4.387","4.395","7791.0",1687545779999,"34229.5019",190,"6609.4","29038.5481"
"ANTUSDT","ANTUSDT#1687545780000",1687545780000,"4.394","4.398","4.394","4.396","1490.0",1687545839999,"6550.0579",72,"641.5","2820.1100"
"ANTUSDT","ANTUSDT#1687545840000",1687545840000,"4.397","4.403","4.397","4.401","3163.7",1687545899999,"13921.0830",125,"2278.4","10025.7373"
"ANTUSDT","ANTUSDT#1687545900000",1687545900000,"4.401","4.404","4.390","4.390","5485.9",1687545959999,"24130.3232",145,"2511.5","11049.7403"
"ANTUSDT","ANTUSDT#1687545960000",1687545960000,"4.390","4.397","4.387","4.396","3539.9",1687546019999,"15540.2266",159,"1973.7","8665.6243"
"ANTUSDT","ANTUSDT#1687546020000",1687546020000,"4.396","4.399","4.391","4.391","3039.5",1687546079999,"13362.9999",98,"1759.7","7738.8533"
"ANTUSDT","ANTUSDT#1687546080000",1687546080000,"4.391","4.392","4.389","4.392","1679.5",1687546139999,"7372.8424",74,"1076.5","4726.0975"
"ANTUSDT","ANTUSDT#1687546140000",1687546140000,"4.392","4.392","4.389","4.389","829.0",1687546199999,"3640.1447",61,"166.4","730.7182"
"ANTUSDT","ANTUSDT#1687546200000",1687546200000,"4.389","4.393","4.389","4.389","2022.8",1687546259999,"8882.1606",81,"778.4","3418.2208"
