"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"EDUUSDT","EDUUSDT#1687474860000",1687474860000,"0.7869000","0.7874000","0.7866000","0.7872000","46979",1687474919999,"36965.9770000",250,"24517","19290.6260000"
"EDUUSDT","EDUUSDT#1687474920000",1687474920000,"0.7872000","0.7877000","0.7869000","0.7875000","52906",1687474979999,"41656.4282000",263,"30285","23846.3085000"
"EDUUSDT","EDUUSDT#1687474980000",1687474980000,"0.7873000","0.7875000","0.7864000","0.7864000","17996",1687475039999,"14164.9383000",160,"5090","4006.6649000"
"EDUUSDT","EDUUSDT#1687475040000",1687475040000,"0.7863000","0.7867000","0.7844000","0.7848000","40140",1687475099999,"31542.1290000",269,"19998","15714.8305000"
"EDUUSDT","EDUUSDT#1687475100000",1687475100000,"0.7848000","0.7858000","0.7846000","0.7858000","47675",1687475159999,"37436.1949000",241,"19342","15187.8912000"
"EDUUSDT","EDUUSDT#1687475160000",1687475160000,"0.7857000","0.7871000","0.7857000","0.7870000","28663",1687475219999,"22542.2363000",102,"21847","17180.9413000"
"EDUUSDT","EDUUSDT#1687475220000",1687475220000,"0.7870000","0.7882000","0.7869000","0.7879000","47425",1687475279999,"37352.4608000",178,"30332","23891.1167000"
"EDUUSDT","EDUUSDT#1687475280000",1687475280000,"0.7877000","0.7880000","0.7873000","0.7880000","16319",1687475339999,"12853.0875000",105,"6793","5350.1193000"
"EDUUSDT","EDUUSDT#1687475340000",1687475340000,"0.7880000","0.7883000","0.7871000","0.7871000","35825",1687475399999,"28224.6628000",106,"10219","8052.4351000"
"EDUUSDT","EDUUSDT#1687475400000",1687475400000,"0.7872000","0.7880000","0.7868000","0.7880000","25364",1687475459999,"19969.2468000",119,"16309","12840.7411000"
"EDUUSDT","EDUUSDT#1687475460000",1687475460000,"0.7880000","0.7882000","0.7873000","0.7882000","19970",1687475519999,"15732.3693000",143,"10440","8224.7685000"
"EDUUSDT","EDUUSDT#1687475520000",1687475520000,"0.7881000","0.7881000","0.7872000","0.7878000","34175",1687475579999,"26918.6796000",212,"8355","6581.2935000"
"EDUUSDT","EDUUSDT#1687475580000",1687475580000,"0.7877000","0.7884000","0.7875000","0.7880000","37216",1687475639999,"29325.9964000",201,"19710","15533.1293000"
"EDUUSDT","EDUUSDT#1687475640000",1687475640000,"0.7881000","0.7881000","0.7875000","0.7877000","15490",1687475699999,"12203.4673000",129,"5972","4704.7183000"
"EDUUSDT","EDUUSDT#1687475700000",1687475700000,"0.7877000","0.7892000","0.7877000","0.7891000","31774",1687475759999,"25063.7649000",187,"14568","11490.2186000"
"EDUUSDT","EDUUSDT#1687475760000",1687475760000,"0.7892000","0.7892000","0.7885000","0.7890000","42989",1687475819999,"33912.2380000",188,"22255","17556.0891000"
"EDUUSDT","EDUUSDT#1687475820000",1687475820000,"0.7890000","0.7895000","0.7888000","0.7888000","32965",1687475879999,"26011.4797000",180,"13388","10565.3573000"
"EDUUSDT","EDUUSDT#1687475880000",1687475880000,"0.7887000","0.7892000","0.7886000","0.7892000","12770",1687475939999,"10073.8421000",93,"4762","3756.2148000"
"EDUUSDT","EDUUSDT#1687475940000",1687475940000,"0.7892000","0.7892000","0.7884000","0.7886000","29822",1687475999999,"23523.3247000",126,"7726","6093.9538000"
"EDUUSDT","EDUUSDT#1687476000000",1687476000000,"0.7885000","0.7893000","0.7884000","0.7891000","19314",1687476059999,"15238.5838000",145,"7351","5800.0175000"
"EDUUSDT","EDUUSDT#1687476060000",1687476060000,"0.7891000","0.7908000","0.7891000","0.7908000","56860",1687476119999,"44926.7488000",205,"40116","31696.5679000"
"EDUUSDT","EDUUSDT#1687476120000",1687476120000,"0.7907000","0.7911000","0.7905000","0.7910000","29614",1687476179999,"23421.2071000",124,"16423","12989.0725000"
"EDUUSDT","EDUUSDT#1687476180000",1687476180000,"0.7909000","0.7912000","0.7901000","0.7903000","28688",1687476239999,"22688.2289000",170,"11936","9441.4828000"
"EDUUSDT","EDUUSDT#1687476240000",1687476240000,"0.7904000","0.7908000","0.7903000","0.7906000","14736",1687476299999,"11651.3818000",107,"3751","2965.7089000"
"EDUUSDT","EDUUSDT#1687476300000",1687476300000,"0.7905000","0.7905000","0.7896000","0.7897000","26969",1687476359999,"21310.0519000",105,"5628","4446.2088000"
"EDUUSDT","EDUUSDT#1687476360000",1687476360000,"0.7897000","0.7909000","0.7897000","0.7908000","15245",1687476419999,"12051.7979000",107,"9094","7189.2078000"
"EDUUSDT","EDUUSDT#1687476420000",1687476420000,"0.7908000","0.7915000","0.7902000","0.7903000","31722",1687476479999,"25091.8920000",121,"16644","13168.2592000"
"EDUUSDT","EDUUSDT#1687476480000",1687476480000,"0.7903000","0.7903000","0.7901000","0.7902000","9715",1687476539999,"7676.8980000",61,"2172","1716.4425000"
"EDUUSDT","EDUUSDT#1687476540000",1687476540000,"0.7903000","0.7903000","0.7896000","0.7898000","15064",1687476599999,"11899.8285000",92,"5432","4290.8976000"
"EDUUSDT","EDUUSDT#1687476600000",1687476600000,"0.7898000","0.7904000","0.7894000","0.7904000","23617",1687476659999,"18656.8536000",122,"10708","8459.0566000"
"EDUUSDT","EDUUSDT#1687476660000",1687476660000,"0.7904000","0.7915000","0.7904000","0.7907000","38786",1687476719999,"30686.0593000",168,"18724","14810.5033000"
"EDUUSDT","EDUUSDT#1687476720000",1687476720000,"0.7908000","0.7920000","0.7908000","0.7920000","39180",1687476779999,"31009.6522000",163,"30108","23827.3846000"
"EDUUSDT","EDUUSDT#1687476780000",1687476780000,"0.7919000","0.7923000","0.7917000","0.7923000","46494",1687476839999,"36822.4415000",197,"33131","26240.5162000"
"EDUUSDT","EDUUSDT#1687476840000",1687476840000,"0.7922000","0.7924000","0.7920000","0.7924000","20358",1687476899999,"16126.2337000",121,"13233","10482.0446000"
"EDUUSDT","EDUUSDT#1687476900000",1687476900000,"0.7923000","0.7923000","0.7918000","0.7918000","20704",1687476959999,"16400.8918000",172,"4576","3625.1096000"
"EDUUSDT","EDUUSDT#1687476960000",1687476960000,"0.7918000","0.7919000","0.7894000","0.7899000","101543",1687477019999,"80304.2613000",282,"16119","12748.1016000"
"EDUUSDT","EDUUSDT#1687477020000",1687477020000,"0.7899000","0.7912000","0.7899000","0.7910000","32174",1687477079999,"25446.4193000",113,"14045","11105.6212000"
"EDUUSDT","EDUUSDT#1687477080000",1687477080000,"0.7911000","0.7914000","0.7903000","0.7903000","13634",1687477139999,"10784.7002000",87,"4362","3450.6398000"
"EDUUSDT","EDUUSDT#1687477140000",1687477140000,"0.7903000","0.7908000","0.7903000","0.7908000","14213",1687477199999,"11235.4706000",83,"11976","9467.2686000"
"EDUUSDT","EDUUSDT#1687477200000",1687477200000,"0.7907000","0.7908000","0.7895000","0.7902000","19528",1687477259999,"15428.1588000",110,"3023","2387.9297000"
"EDUUSDT","EDUUSDT#1687477260000",1687477260000,"0.7901000","0.7906000","0.7898000","0.7900000","19628",1687477319999,"15510.9474000",115,"6285","4967.7410000"
"EDUUSDT","EDUUSDT#1687477320000",1687477320000,"0.7897000","0.7899000","0.7896000","0.7899000","5457",1687477379999,"4309.5212000",38,"4336","3424.3245000"
"EDUUSDT","EDUUSDT#1687477380000",1687477380000,"0.7898000","0.7900000","0.7887000","0.7891000","24540",1687477439999,"19368.9470000",147,"10781","8509.5147000"
"EDUUSDT","EDUUSDT#1687477440000",1687477440000,"0.7892000","0.7897000","0.7888000","0.7888000","23276",1687477499999,"18370.6342000",120,"8677","6849.0417000"
"EDUUSDT","EDUUSDT#1687477500000",1687477500000,"0.7888000","0.7900000","0.7883000","0.7896000","46327",1687477559999,"36570.7741000",172,"22980","18143.2168000"
"EDUUSDT","EDUUSDT#1687477560000",1687477560000,"0.7896000","0.7902000","0.7891000","0.7896000","50794",1687477619999,"40115.5290000",179,"33145","26179.4990000"
"EDUUSDT","EDUUSDT#1687477620000",1687477620000,"0.7897000","0.7912000","0.7897000","0.7909000","72800",1687477679999,"57559.1997000",257,"61836","48890.7814000"
"EDUUSDT","EDUUSDT#1687477680000",1687477680000,"0.7909000","0.7914000","0.7894000","0.7900000","47341",1687477739999,"37409.6383000",167,"9349","7388.9657000"
"EDUUSDT","EDUUSDT#1687477740000",1687477740000,"0.7901000","0.7904000","0.7897000","0.7903000","15209",1687477799999,"12016.4566000",130,"7387","5836.7647000"
"EDUUSDT","EDUUSDT#1687477800000",1687477800000,"0.7903000","0.7904000","0.7897000","0.7897000","20005",1687477859999,"15805.1620000",119,"4532","3581.2949000"
"EDUUSDT","EDUUSDT#1687477860000",1687477860000,"0.7897000","0.7897000","0.7875000","0.7881000","83021",1687477919999,"65483.5657000",290,"22064","17394.0853000"
"EDUUSDT","EDUUSDT#1687477920000",1687477920000,"0.7881000","0.7881000","0.7874000","0.7879000","26478",1687477979999,"20854.5174000",148,"10449","8229.8361000"
"EDUUSDT","EDUUSDT#1687477980000",1687477980000,"0.7879000","0.7892000","0.7877000","0.7889000","68094",1687478039999,"53709.3694000",234,"51540","40655.3040000"
"EDUUSDT","EDUUSDT#1687478040000",1687478040000,"0.7889000","0.7889000","0.7869000","0.7873000","70399",1687478099999,"55461.2555000",255,"12714","10011.7243000"
"EDUUSDT","EDUUSDT#1687478100000",1687478100000,"0.7873000","0.7894000","0.7873000","0.7889000","73335",1687478159999,"57812.0222000",279,"48725","38409.3509000"
"EDUUSDT","EDUUSDT#1687478160000",1687478160000,"0.7888000","0.7888000","0.7878000","0.7882000","21914",1687478219999,"17278.8622000",99,"12415","9789.2447000"
"EDUUSDT","EDUUSDT#1687478220000",1687478220000,"0.7881000","0.7886000","0.7861000","0.7883000","87241",1687478279999,"68697.8125000",293,"17484","13775.2997000"
"EDUUSDT","EDUUSDT#1687478280000",1687478280000,"0.7884000","0.7887000","0.7876000","0.7881000","62709",1687478339999,"49429.2743000",183,"16777","13226.5772000"
"EDUUSDT","EDUUSDT#1687478340000",1687478340000,"0.7881000","0.7881000","0.7866000","0.7874000","45049",1687478399999,"35471.7597000",176,"28862","22723.5970000"
"EDUUSDT","EDUUSDT#1687478400000",1687478400000,"0.7875000","0.7876000","0.7866000","0.7871000","110331",1687478459999,"86843.0631000",413,"57687","45411.3226000"
