"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"EGLDUSDT","EGLDUSDT#1687474860000",1687474860000,"32.280","32.280","32.250","32.260","222.0",1687474919999,"7165.2960",57,"129.6","4183.3860"
"EGLDUSDT","EGLDUSDT#1687474920000",1687474920000,"32.260","32.270","32.250","32.250","120.3",1687474979999,"3879.9990",75,"53.3","1719.1810"
"EGLDUSDT","EGLDUSDT#1687474980000",1687474980000,"32.260","32.260","32.220","32.220","123.5",1687475039999,"3981.5550",59,"8.1","261.3060"
"EGLDUSDT","EGLDUSDT#1687475040000",1687475040000,"32.220","32.220","32.160","32.180","899.0",1687475099999,"28941.4730",168,"140.4","4519.9790"
"EGLDUSDT","EGLDUSDT#1687475100000",1687475100000,"32.190","32.190","32.170","32.180","275.0",1687475159999,"8851.2370",87,"199.3","6415.0540"
"EGLDUSDT","EGLDUSDT#1687475160000",1687475160000,"32.180","32.200","32.180","32.190","44.5",1687475219999,"1432.4460",31,"38.7","1245.7440"
"EGLDUSDT","EGLDUSDT#1687475220000",1687475220000,"32.200","32.210","32.200","32.210","108.4",1687475279999,"3491.5200",21,"107.6","3465.7600"
"EGLDUSDT","EGLDUSDT#1687475280000",1687475280000,"32.220","32.230","32.220","32.220","51.9",1687475339999,"1672.4610",19,"33.1","1066.7250"
"EGLDUSDT","EGLDUSDT#1687475340000",1687475340000,"32.230","32.230","32.210","32.210","146.6",1687475399999,"4723.0670",37,"28.6","921.7780"
"EGLDUSDT","EGLDUSDT#1687475400000",1687475400000,"32.210","32.240","32.210","32.240","269.6",1687475459999,"8684.9600",30,"163.8","5276.9280"
"EGLDUSDT","EGLDUSDT#1687475460000",1687475460000,"32.250","32.260","32.240","32.260","103.1",1687475519999,"3324.0830",40,"37.9","1222.0350"
"EGLDUSDT","EGLDUSDT#1687475520000",1687475520000,"32.260","32.260","32.260","32.260","34.3",1687475579999,"1106.5180",6,"34.3","1106.5180"
"EGLDUSDT","EGLDUSDT#1687475580000",1687475580000,"32.250","32.260","32.240","32.260","211.8",1687475639999,"6830.1770",43,"75.1","2422.2220"
"EGLDUSDT","EGLDUSDT#1687475640000",1687475640000,"32.270","32.270","32.270","32.270","6.5",1687475699999,"209.7550",2,"6.5","209.7550"
"EGLDUSDT","EGLDUSDT#1687475700000",1687475700000,"32.260","32.300","32.260","32.300","433.1",1687475759999,"13978.5860",77,"205.5","6634.1150"
"EGLDUSDT","EGLDUSDT#1687475760000",1687475760000,"32.290","32.290","32.270","32.280","120.0",1687475819999,"3872.9570",25,"45.0","1452.2690"
"EGLDUSDT","EGLDUSDT#1687475820000",1687475820000,"32.280","32.280","32.280","32.280","53.1",1687475879999,"1714.0680",18,"32.5","1049.1000"
"EGLDUSDT","EGLDUSDT#1687475880000",1687475880000,"32.290","32.310","32.290","32.310","118.7",1687475939999,"3833.7010",19,"114.2","3688.3510"
"EGLDUSDT","EGLDUSDT#1687475940000",1687475940000,"32.310","32.310","32.290","32.290","79.1",1687475999999,"2555.5070",25,"50.8","1641.3480"
"EGLDUSDT","EGLDUSDT#1687476000000",1687476000000,"32.300","32.320","32.300","32.320","106.5",1687476059999,"3441.0350",23,"95.3","3079.2670"
"EGLDUSDT","EGLDUSDT#1687476060000",1687476060000,"32.320","32.320","32.320","32.320","2.9",1687476119999,"93.7280",5,"2.9","93.7280"
"EGLDUSDT","EGLDUSDT#1687476120000",1687476120000,"32.330","32.340","32.320","32.340","89.5",1687476179999,"2893.9560",29,"40.0","1293.3000"
"EGLDUSDT","EGLDUSDT#1687476180000",1687476180000,"32.340","32.340","32.330","32.330","69.5",1687476239999,"2246.9840",16,"4.9","158.4660"
"EGLDUSDT","EGLDUSDT#1687476240000",1687476240000,"32.330","32.350","32.330","32.340","48.2",1687476299999,"1558.9600",14,"33.7","1090.0300"
"EGLDUSDT","EGLDUSDT#1687476300000",1687476300000,"32.340","32.360","32.340","32.350","131.1",1687476359999,"4240.6230",20,"100.9","3263.7470"
"EGLDUSDT","EGLDUSDT#1687476360000",1687476360000,"32.350","32.380","32.350","32.370","117.7",1687476419999,"3809.7610",36,"93.7","3032.8810"
"EGLDUSDT","EGLDUSDT#1687476420000",1687476420000,"32.370","32.400","32.360","32.380","611.3",1687476479999,"19800.7720",66,"536.0","17363.0220"
"EGLDUSDT","EGLDUSDT#1687476480000",1687476480000,"32.390","32.390","32.380","32.380","61.7",1687476539999,"1997.8880",15,"46.5","1505.7120"
"EGLDUSDT","EGLDUSDT#1687476540000",1687476540000,"32.390","32.390","32.370","32.380","249.5",1687476599999,"8078.9630",32,"90.7","2937.0270"
"EGLDUSDT","EGLDUSDT#1687476600000",1687476600000,"32.370","32.370","32.350","32.350","137.3",1687476659999,"4443.4670",37,"53.0","1715.0800"
"EGLDUSDT","EGLDUSDT#1687476660000",1687476660000,"32.350","32.360","32.350","32.350","9.4",1687476719999,"304.1620",6,"7.2","232.9920"
"EGLDUSDT","EGLDUSDT#1687476720000",1687476720000,"32.360","32.370","32.360","32.370","52.8",1687476779999,"1708.8730",31,"52.3","1692.6930"
