"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IDEXUSDT","IDEXUSDT#1687554060000",1687554060000,"0.0609800","0.0609800","0.0609300","0.0609700","67258",1687554119999,"4099.9430300",70,"26051","1587.6072500"
"IDEXUSDT","IDEXUSDT#1687554120000",1687554120000,"0.0609700","0.0611000","0.0609400","0.0610600","271851",1687554179999,"16593.3483000",128,"182241","11121.8289100"
"IDEXUSDT","IDEXUSDT#1687554180000",1687554180000,"0.0610600","0.0610600","0.0610500","0.0610500","17705",1687554239999,"1081.0637500",13,"0","0.0000000"
"IDEXUSDT","IDEXUSDT#1687554240000",1687554240000,"0.0610300","0.0610900","0.0610300","0.0610900","39953",1687554299999,"2439.8796200",29,"29765","1817.6397700"
"IDEXUSDT","IDEXUSDT#1687554300000",1687554300000,"0.0610800","0.0611400","0.0610600","0.0611400","16370",1687554359999,"1000.1573100",20,"12678","774.6499500"
"IDEXUSDT","IDEXUSDT#1687554360000",1687554360000,"0.0611500","0.0611800","0.0611200","0.0611500","27223",1687554419999,"1665.2524900",47,"8619","527.2212400"
"IDEXUSDT","IDEXUSDT#1687554420000",1687554420000,"0.0611500","0.0612000","0.0611500","0.0612000","10290",1687554479999,"629.5980100",16,"9376","573.6703500"
"IDEXUSDT","IDEXUSDT#1687554480000",1687554480000,"0.0611900","0.0612500","0.0611900","0.0612200","67077",1687554539999,"4106.8752700",68,"47899","2933.0099900"
"IDEXUSDT","IDEXUSDT#1687554540000",1687554540000,"0.0612300","0.0612500","0.0612200","0.0612400","22144",1687554599999,"1356.1474200",16,"20329","1245.0319900"
"IDEXUSDT","IDEXUSDT#1687554600000",1687554600000,"0.0612400","0.0612500","0.0611100","0.0611100","61891",1687554659999,"3786.1031900",67,"4984","304.8580800"
"IDEXUSDT","IDEXUSDT#1687554660000",1687554660000,"0.0611300","0.0611300","0.0610800","0.0610800","8774",1687554719999,"536.3403700",5,"285","17.4078000"
"IDEXUSDT","IDEXUSDT#1687554720000",1687554720000,"0.0610800","0.0610900","0.0610400","0.0610500","13604",1687554779999,"830.6310800",10,"87","5.3104800"
"IDEXUSDT","IDEXUSDT#1687554780000",1687554780000,"0.0610300","0.0610600","0.0610300","0.0610600","18773",1687554839999,"1145.9460600",13,"18773","1145.9460600"
"IDEXUSDT","IDEXUSDT#1687554840000",1687554840000,"0.0610800","0.0610800","0.0610700","0.0610700","15201",1687554899999,"928.4642700",14,"2412","147.3237800"
"IDEXUSDT","IDEXUSDT#1687554900000",1687554900000,"0.0610700","0.0610800","0.0610600","0.0610600","3286",1687554959999,"200.6588300",8,"86","5.2528800"
"IDEXUSDT","IDEXUSDT#1687554960000",1687554960000,"0.0611100","0.0611400","0.0611100","0.0611400","4021",1687555019999,"245.7819300",5,"3800","232.2744100"
"IDEXUSDT","IDEXUSDT#1687555020000",1687555020000,"0.0611400","0.0611800","0.0611400","0.0611600","30839",1687555079999,"1886.1372900",24,"12463","762.1190900"
"IDEXUSDT","IDEXUSDT#1687555080000",1687555080000,"0.0611400","0.0611400","0.0611400","0.0611400","421",1687555139999,"25.7399400",3,"421","25.7399400"
"IDEXUSDT","IDEXUSDT#1687555140000",1687555140000,"0.0611600","0.0611800","0.0611300","0.0611700","6534",1687555199999,"399.5754600",15,"1256","76.8227200"
"IDEXUSDT","IDEXUSDT#1687555200000",1687555200000,"0.0611800","0.0612700","0.0611600","0.0612600","174171",1687555259999,"10664.8848200",67,"152830","9358.8989000"
"IDEXUSDT","IDEXUSDT#1687555260000",1687555260000,"0.0612700","0.0613200","0.0612700","0.0613200","20592",1687555319999,"1262.0036600",20,"20484","1255.3865000"
"IDEXUSDT","IDEXUSDT#1687555320000",1687555320000,"0.0613100","0.0613200","0.0612400","0.0612400","172246",1687555379999,"10552.8605300",54,"23204","1422.2767500"
"IDEXUSDT","IDEXUSDT#1687555380000",1687555380000,"0.0612400","0.0612500","0.0610800","0.0611000","152180",1687555439999,"9319.2025200",26,"394","24.1166000"
"IDEXUSDT","IDEXUSDT#1687555440000",1687555440000,"0.0610900","0.0611100","0.0610200","0.0610500","101282",1687555499999,"6183.5290600",41,"75293","4596.3738600"
"IDEXUSDT","IDEXUSDT#1687555500000",1687555500000,"0.0610500","0.0611400","0.0610500","0.0611300","31249",1687555559999,"1909.0657300",30,"28900","1765.4714300"
"IDEXUSDT","IDEXUSDT#1687555560000",1687555560000,"0.0611500","0.0611600","0.0611500","0.0611500","26468",1687555619999,"1618.7647600",10,"320","19.5694000"
"IDEXUSDT","IDEXUSDT#1687555620000",1687555620000,"0.0611300","0.0612000","0.0611300","0.0611900","57176",1687555679999,"3498.3640700",24,"16607","1016.1548300"
"IDEXUSDT","IDEXUSDT#1687555680000",1687555680000,"0.0611900","0.0612100","0.0611700","0.0611800","10607",1687555739999,"649.0403500",13,"8545","522.8459500"
"IDEXUSDT","IDEXUSDT#1687555740000",1687555740000,"0.0611700","0.0611700","0.0611700","0.0611700","39",1687555799999,"2.3856300",1,"0","0.0000000"
"IDEXUSDT","IDEXUSDT#1687555800000",1687555800000,"0.0611700","0.0612000","0.0611600","0.0611600","12609",1687555859999,"771.5109700",19,"4743","290.1768100"
"IDEXUSDT","IDEXUSDT#1687555860000",1687555860000,"0.0611600","0.0613800","0.0611600","0.0612700","656926",1687555919999,"40257.4571200",226,"546287","33473.6957400"
"IDEXUSDT","IDEXUSDT#1687555920000",1687555920000,"0.0612700","0.0612700","0.0610200","0.0610700","211904",1687555979999,"12953.9461700",59,"70465","4301.0115400"
"IDEXUSDT","IDEXUSDT#1687555980000",1687555980000,"0.0610900","0.0611400","0.0610900","0.0611100","11357",1687556039999,"694.1362700",15,"5633","344.2225400"
