"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IOTAUSDT","IOTAUSDT#1687539660000",1687539660000,"0.1784","0.1784","0.1778","0.1780","116637.1",1687539719999,"20772.62865",225,"42499.0","7567.68076"
"IOTAUSDT","IOTAUSDT#1687539720000",1687539720000,"0.1780","0.1781","0.1779","0.1781","55519.9",1687539779999,"9886.50140",96,"37636.2","6702.02205"
"IOTAUSDT","IOTAUSDT#1687539780000",1687539780000,"0.1781","0.1783","0.1780","0.1782","86460.0",1687539839999,"15405.77662",57,"77321.0","13777.87881"
"IOTAUSDT","IOTAUSDT#1687539840000",1687539840000,"0.1782","0.1786","0.1782","0.1786","31529.7",1687539899999,"5626.00852",46,"28239.6","5039.03658"
"IOTAUSDT","IOTAUSDT#1687539900000",1687539900000,"0.1785","0.1788","0.1780","0.1781","123807.2",1687539959999,"22093.78443",197,"52433.5","9357.77455"
"IOTAUSDT","IOTAUSDT#1687539960000",1687539960000,"0.1781","0.1781","0.1779","0.1781","36816.2",1687540019999,"6554.52732",80,"16962.0","3020.61133"
"IOTAUSDT","IOTAUSDT#1687540020000",1687540020000,"0.1780","0.1781","0.1779","0.1780","70086.9",1687540079999,"12474.20590",104,"35865.9","6384.06797"
"IOTAUSDT","IOTAUSDT#1687540080000",1687540080000,"0.1781","0.1783","0.1780","0.1783","75041.0",1687540139999,"13366.05430",78,"55403.9","9870.08630"
"IOTAUSDT","IOTAUSDT#1687540140000",1687540140000,"0.1782","0.1784","0.1782","0.1782","42339.4",1687540199999,"7548.89173",58,"21273.2","3793.41746"
"IOTAUSDT","IOTAUSDT#1687540200000",1687540200000,"0.1783","0.1784","0.1782","0.1783","74119.3",1687540259999,"13212.45850",114,"33544.0","5980.44335"
"IOTAUSDT","IOTAUSDT#1687540260000",1687540260000,"0.1783","0.1785","0.1783","0.1784","38751.4",1687540319999,"6912.14787",41,"36662.6","6539.69857"
"IOTAUSDT","IOTAUSDT#1687540320000",1687540320000,"0.1785","0.1786","0.1782","0.1783","48956.3",1687540379999,"8731.09543",75,"17142.6","3057.70579"
"IOTAUSDT","IOTAUSDT#1687540380000",1687540380000,"0.1784","0.1786","0.1784","0.1784","73465.8",1687540439999,"13116.19252",74,"28502.7","5089.47450"
"IOTAUSDT","IOTAUSDT#1687540440000",1687540440000,"0.1784","0.1785","0.1784","0.1784","6770.6",1687540499999,"1208.34353",25,"3182.0","567.98700"
"IOTAUSDT","IOTAUSDT#1687540500000",1687540500000,"0.1784","0.1786","0.1782","0.1783","80865.9",1687540559999,"14425.51503",131,"33933.6","6053.55057"
"IOTAUSDT","IOTAUSDT#1687540560000",1687540560000,"0.1783","0.1786","0.1783","0.1785","42595.3",1687540619999,"7602.50471",46,"29065.3","5187.91662"
"IOTAUSDT","IOTAUSDT#1687540620000",1687540620000,"0.1785","0.1786","0.1783","0.1783","75271.1",1687540679999,"13430.66155",79,"8270.7","1476.08808"
"IOTAUSDT","IOTAUSDT#1687540680000",1687540680000,"0.1784","0.1785","0.1783","0.1783","49573.6",1687540739999,"8842.74315",96,"10926.2","1948.69112"
"IOTAUSDT","IOTAUSDT#1687540740000",1687540740000,"0.1783","0.1784","0.1783","0.1783","3684.0",1687540799999,"656.97273",16,"1155.3","206.10552"
