"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"KLAYUSDT","KLAYUSDT#1687554060000",1687554060000,"0.1734","0.1735","0.1733","0.1735","16494.4",1687554119999,"2860.24231",37,"13030.8","2259.68017"
"KLAYUSDT","KLAYUSDT#1687554120000",1687554120000,"0.1735","0.1736","0.1734","0.1736","35957.7",1687554179999,"6240.42105",34,"28384.0","4925.64147"
"KLAYUSDT","KLAYUSDT#1687554180000",1687554180000,"0.1736","0.1736","0.1736","0.1736","7376.7",1687554239999,"1280.59512",31,"0.0","0.00000"
"KLAYUSDT","KLAYUSDT#1687554240000",1687554240000,"0.1736","0.1736","0.1736","0.1736","823.9",1687554299999,"143.02904",6,"823.9","143.02904"
"KLAYUSDT","KLAYUSDT#1687554300000",1687554300000,"0.1735","0.1736","0.1735","0.1736","27833.2",1687554359999,"4831.36705",38,"6236.0","1082.56960"
"KLAYUSDT","KLAYUSDT#1687554360000",1687554360000,"0.1737","0.1739","0.1736","0.1737","177157.0",1687554419999,"30770.21974",120,"40536.3","7042.29237"
"KLAYUSDT","KLAYUSDT#1687554420000",1687554420000,"0.1736","0.1739","0.1736","0.1739","21411.8",1687554479999,"3722.44235",20,"21103.4","3668.90411"
"KLAYUSDT","KLAYUSDT#1687554480000",1687554480000,"0.1738","0.1739","0.1738","0.1739","5782.6",1687554539999,"1005.59091",3,"5750.3","999.97717"
"KLAYUSDT","KLAYUSDT#1687554540000",1687554540000,"0.1738","0.1739","0.1738","0.1738","573.8",1687554599999,"99.75233",6,"258.9","45.02271"
"KLAYUSDT","KLAYUSDT#1687554600000",1687554600000,"0.1739","0.1739","0.1738","0.1738","31545.3",1687554659999,"5482.61110",27,"3704.5","643.88006"
"KLAYUSDT","KLAYUSDT#1687554660000",1687554660000,"0.1737","0.1737","0.1736","0.1736","55638.2",1687554719999,"9660.73008",40,"24422.1","4239.67656"
"KLAYUSDT","KLAYUSDT#1687554720000",1687554720000,"0.1737","0.1737","0.1735","0.1735","5333.6",1687554779999,"925.53271",13,"550.6","95.63922"
"KLAYUSDT","KLAYUSDT#1687554780000",1687554780000,"0.1735","0.1736","0.1735","0.1736","76225.0",1687554839999,"13229.37755",70,"45467.4","7892.53500"
