"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"OMGUSDT","OMGUSDT#1687528860000",1687528860000,"0.5520","0.5520","0.5485","0.5491","115042.9",1687528919999,"63275.99530",369,"29901.4","16442.89776"
"OMGUSDT","OMGUSDT#1687528920000",1687528920000,"0.5490","0.5498","0.5490","0.5492","43245.4",1687528979999,"23753.39404",192,"23981.8","13173.12362"
"OMGUSDT","OMGUSDT#1687528980000",1687528980000,"0.5492","0.5500","0.5490","0.5500","35024.6",1687529039999,"19238.33206",210,"21603.0","11865.39147"
"OMGUSDT","OMGUSDT#1687529040000",1687529040000,"0.5500","0.5503","0.5495","0.5498","58117.9",1687529099999,"31951.34823",177,"25493.8","14018.16087"
"OMGUSDT","OMGUSDT#1687529100000",1687529100000,"0.5498","0.5506","0.5494","0.5496","63555.0",1687529159999,"34959.82418",247,"37380.1","20564.47449"
"OMGUSDT","OMGUSDT#1687529160000",1687529160000,"0.5496","0.5508","0.5496","0.5508","24036.3",1687529219999,"13221.84494",113,"17722.9","9750.06821"
"OMGUSDT","OMGUSDT#1687529220000",1687529220000,"0.5508","0.5509","0.5504","0.5509","39377.9",1687529279999,"21686.16082",113,"13176.7","7256.71398"
"OMGUSDT","OMGUSDT#1687529280000",1687529280000,"0.5510","0.5511","0.5510","0.5510","9869.2",1687529339999,"5438.77886",75,"6824.1","3760.64204"
"OMGUSDT","OMGUSDT#1687529340000",1687529340000,"0.5511","0.5525","0.5511","0.5521","26985.9",1687529399999,"14889.12198",133,"20128.0","11104.14765"
"OMGUSDT","OMGUSDT#1687529400000",1687529400000,"0.5522","0.5526","0.5515","0.5520","24450.5",1687529459999,"13499.31264",162,"12098.9","6681.49258"
"OMGUSDT","OMGUSDT#1687529460000",1687529460000,"0.5519","0.5522","0.5517","0.5517","10657.1",1687529519999,"5883.46340",75,"5780.9","3191.58197"
"OMGUSDT","OMGUSDT#1687529520000",1687529520000,"0.5518","0.5520","0.5513","0.5520","30510.7",1687529579999,"16832.73102",120,"12261.0","6764.31170"
"OMGUSDT","OMGUSDT#1687529580000",1687529580000,"0.5520","0.5525","0.5517","0.5523","43176.9",1687529639999,"23842.70575",123,"15946.2","8805.24444"
"OMGUSDT","OMGUSDT#1687529640000",1687529640000,"0.5524","0.5525","0.5521","0.5522","18125.0",1687529699999,"10010.82320",86,"10487.6","5792.42327"
"OMGUSDT","OMGUSDT#1687529700000",1687529700000,"0.5524","0.5537","0.5521","0.5534","76104.5",1687529759999,"42087.95362",231,"59463.8","32885.11395"
