"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"QNTUSDT","QNTUSDT#1687510860000",1687510860000,"103.720000","103.790000","103.720000","103.770000","89.3",1687510919999,"9264.9740000",85,"76.5","7937.0610000"
"QNTUSDT","QNTUSDT#1687510920000",1687510920000,"103.780000","104.040000","103.770000","104.040000","206.2",1687510979999,"21418.2980000",128,"167.8","17427.5300000"
"QNTUSDT","QNTUSDT#1687510980000",1687510980000,"104.040000","104.100000","104.010000","104.040000","159.9",1687511039999,"16638.5010000",98,"105.2","10947.3050000"
"QNTUSDT","QNTUSDT#1687511040000",1687511040000,"104.050000","104.070000","104.000000","104.070000","136.5",1687511099999,"14200.9840000",66,"49.8","5180.9890000"
"QNTUSDT","QNTUSDT#1687511100000",1687511100000,"104.060000","104.060000","103.960000","103.970000","129.8",1687511159999,"13501.2240000",75,"50.8","5284.6000000"
"QNTUSDT","QNTUSDT#1687511160000",1687511160000,"103.960000","103.960000","103.920000","103.930000","28.5",1687511219999,"2962.3900000",42,"6.3","654.7670000"
"QNTUSDT","QNTUSDT#1687511220000",1687511220000,"103.930000","103.930000","103.620000","103.620000","255.0",1687511279999,"26465.9840000",130,"10.5","1090.4410000"
"QNTUSDT","QNTUSDT#1687511280000",1687511280000,"103.620000","103.630000","103.560000","103.560000","50.4",1687511339999,"5220.5810000",51,"6.4","662.9630000"
"QNTUSDT","QNTUSDT#1687511340000",1687511340000,"103.570000","103.570000","103.510000","103.520000","38.0",1687511399999,"3934.7310000",32,"11.7","1211.5440000"
"QNTUSDT","QNTUSDT#1687511400000",1687511400000,"103.520000","103.880000","103.510000","103.840000","222.4",1687511459999,"23061.6850000",137,"186.0","19284.6270000"
"QNTUSDT","QNTUSDT#1687511460000",1687511460000,"103.870000","103.870000","103.810000","103.810000","25.4",1687511519999,"2637.1050000",23,"11.2","1162.7800000"
"QNTUSDT","QNTUSDT#1687511520000",1687511520000,"103.810000","103.880000","103.810000","103.870000","30.8",1687511579999,"3198.7720000",29,"21.6","2243.2220000"
"QNTUSDT","QNTUSDT#1687511580000",1687511580000,"103.900000","103.950000","103.850000","103.850000","65.4",1687511639999,"6795.4070000",65,"34.8","3616.0550000"
"QNTUSDT","QNTUSDT#1687511640000",1687511640000,"103.840000","103.860000","103.810000","103.810000","73.1",1687511699999,"7590.4290000",35,"54.8","5690.3250000"
"QNTUSDT","QNTUSDT#1687511700000",1687511700000,"103.810000","103.820000","103.650000","103.660000","151.2",1687511759999,"15687.9300000",69,"15.6","1619.0150000"
"QNTUSDT","QNTUSDT#1687511760000",1687511760000,"103.650000","103.650000","103.500000","103.570000","94.2",1687511819999,"9754.1190000",91,"44.6","4617.4810000"
"QNTUSDT","QNTUSDT#1687511820000",1687511820000,"103.580000","103.650000","103.580000","103.620000","42.8",1687511879999,"4434.5040000",42,"29.7","3077.0120000"
"QNTUSDT","QNTUSDT#1687511880000",1687511880000,"103.610000","103.770000","103.580000","103.750000","131.0",1687511939999,"13578.3040000",71,"108.5","11246.1100000"
"QNTUSDT","QNTUSDT#1687511940000",1687511940000,"103.760000","103.760000","103.620000","103.620000","63.0",1687511999999,"6530.5540000",38,"8.6","891.7420000"
"QNTUSDT","QNTUSDT#1687512000000",1687512000000,"103.610000","103.640000","103.540000","103.560000","55.3",1687512059999,"5727.6730000",58,"31.0","3210.6880000"
"QNTUSDT","QNTUSDT#1687512060000",1687512060000,"103.560000","103.610000","103.520000","103.610000","63.4",1687512119999,"6566.4820000",38,"45.5","4712.9000000"
"QNTUSDT","QNTUSDT#1687512120000",1687512120000,"103.570000","103.800000","103.500000","103.770000","244.7",1687512179999,"25365.0530000",101,"211.5","21925.4550000"
"QNTUSDT","QNTUSDT#1687512180000",1687512180000,"103.760000","103.910000","103.760000","103.870000","263.2",1687512239999,"27331.6420000",96,"231.8","24071.8560000"
"QNTUSDT","QNTUSDT#1687512240000",1687512240000,"103.870000","103.870000","103.760000","103.760000","63.3",1687512299999,"6571.1460000",45,"14.4","1495.0870000"
"QNTUSDT","QNTUSDT#1687512300000",1687512300000,"103.760000","103.760000","103.560000","103.630000","69.8",1687512359999,"7235.2210000",69,"14.5","1502.1750000"
"QNTUSDT","QNTUSDT#1687512360000",1687512360000,"103.630000","103.630000","103.350000","103.570000","186.1",1687512419999,"19258.2170000",120,"57.6","5961.1690000"
"QNTUSDT","QNTUSDT#1687512420000",1687512420000,"103.590000","103.780000","103.560000","103.760000","265.3",1687512479999,"27510.9100000",144,"234.4","24306.9310000"
"QNTUSDT","QNTUSDT#1687512480000",1687512480000,"103.760000","103.970000","103.760000","103.900000","54.2",1687512539999,"5630.4370000",66,"38.6","4009.5320000"
"QNTUSDT","QNTUSDT#1687512540000",1687512540000,"103.900000","103.900000","103.700000","103.700000","107.7",1687512599999,"11178.2590000",67,"21.3","2209.5870000"
"QNTUSDT","QNTUSDT#1687512600000",1687512600000,"103.730000","103.730000","103.620000","103.620000","33.8",1687512659999,"3504.7650000",22,"20.3","2104.9120000"
"QNTUSDT","QNTUSDT#1687512660000",1687512660000,"103.630000","103.630000","103.450000","103.510000","157.0",1687512719999,"16259.1790000",100,"10.9","1128.1030000"
"QNTUSDT","QNTUSDT#1687512720000",1687512720000,"103.520000","103.520000","103.330000","103.340000","100.6",1687512779999,"10409.6580000",45,"5.8","599.6220000"
"QNTUSDT","QNTUSDT#1687512780000",1687512780000,"103.340000","103.430000","103.280000","103.370000","165.0",1687512839999,"17059.2970000",89,"92.7","9585.2350000"
"QNTUSDT","QNTUSDT#1687512840000",1687512840000,"103.390000","103.450000","103.350000","103.430000","80.5",1687512899999,"8323.0910000",54,"20.1","2078.6750000"
"QNTUSDT","QNTUSDT#1687512900000",1687512900000,"103.430000","103.550000","103.430000","103.470000","137.4",1687512959999,"14218.6190000",76,"21.4","2214.4840000"
"QNTUSDT","QNTUSDT#1687512960000",1687512960000,"103.500000","103.500000","103.430000","103.470000","69.8",1687513019999,"7222.4540000",30,"5.3","548.3430000"
"QNTUSDT","QNTUSDT#1687513020000",1687513020000,"103.480000","103.490000","103.440000","103.480000","11.6",1687513079999,"1200.3770000",14,"2.4","248.3520000"
"QNTUSDT","QNTUSDT#1687513080000",1687513080000,"103.480000","103.540000","103.470000","103.500000","67.1",1687513139999,"6946.0700000",41,"57.9","5993.8970000"
"QNTUSDT","QNTUSDT#1687513140000",1687513140000,"103.500000","103.540000","103.480000","103.520000","31.8",1687513199999,"3291.4960000",20,"27.6","2856.8260000"
