"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AAVEUSDT","AAVEUSDT#1687604460000",1687604460000,"57.760","57.760","57.720","57.730","141.9",1687604519999,"8193.4920",40,"24.1","1391.7050"
"AAVEUSDT","AAVEUSDT#1687604520000",1687604520000,"57.730","57.740","57.710","57.740","290.8",1687604579999,"16786.0610",55,"77.0","4445.4490"
"AAVEUSDT","AAVEUSDT#1687604580000",1687604580000,"57.740","57.750","57.710","57.740","183.9",1687604639999,"10617.2510",49,"87.0","5023.3560"
"AAVEUSDT","AAVEUSDT#1687604640000",1687604640000,"57.730","57.730","57.730","57.730","5.0",1687604699999,"288.6500",7,"0.0","0.0000"
"AAVEUSDT","AAVEUSDT#1687604700000",1687604700000,"57.730","57.730","57.680","57.680","135.2",1687604759999,"7800.5050",52,"18.1","1044.2310"
"AAVEUSDT","AAVEUSDT#1687604760000",1687604760000,"57.690","57.720","57.670","57.670","316.9",1687604819999,"18284.7320",60,"234.9","13554.6760"
"AAVEUSDT","AAVEUSDT#1687604820000",1687604820000,"57.660","57.680","57.660","57.660","45.0",1687604879999,"2594.9530",13,"24.9","1435.9710"
"AAVEUSDT","AAVEUSDT#1687604880000",1687604880000,"57.660","57.660","57.650","57.660","112.7",1687604939999,"6497.4600",47,"109.7","6324.4900"
"AAVEUSDT","AAVEUSDT#1687604940000",1687604940000,"57.650","57.650","57.570","57.610","419.3",1687604999999,"24152.4090",96,"174.6","10056.6510"
"AAVEUSDT","AAVEUSDT#1687605000000",1687605000000,"57.610","57.680","57.600","57.670","159.2",1687605059999,"9177.8990",44,"155.7","8976.1560"
"AAVEUSDT","AAVEUSDT#1687605060000",1687605060000,"57.680","57.700","57.680","57.700","81.8",1687605119999,"4719.5170",25,"71.4","4119.6450"
"AAVEUSDT","AAVEUSDT#1687605120000",1687605120000,"57.710","57.710","57.640","57.660","174.6",1687605179999,"10069.9250",44,"32.7","1885.7970"
"AAVEUSDT","AAVEUSDT#1687605180000",1687605180000,"57.670","57.680","57.670","57.680","80.7",1687605239999,"4654.5070",14,"65.2","3760.4670"
"AAVEUSDT","AAVEUSDT#1687605240000",1687605240000,"57.680","57.680","57.670","57.670","33.1",1687605299999,"1909.1850",16,"23.5","1355.4650"
"AAVEUSDT","AAVEUSDT#1687605300000",1687605300000,"57.660","57.660","57.640","57.650","80.3",1687605359999,"4629.5160",37,"57.5","3315.0250"
"AAVEUSDT","AAVEUSDT#1687605360000",1687605360000,"57.640","57.640","57.580","57.580","306.3",1687605419999,"17645.7650",74,"5.0","288.0270"
"AAVEUSDT","AAVEUSDT#1687605420000",1687605420000,"57.580","57.610","57.530","57.560","562.9",1687605479999,"32409.9530",127,"274.6","15813.8930"
"AAVEUSDT","AAVEUSDT#1687605480000",1687605480000,"57.570","57.580","57.510","57.540","349.4",1687605539999,"20104.6030",84,"109.3","6290.2880"
"AAVEUSDT","AAVEUSDT#1687605540000",1687605540000,"57.550","57.600","57.550","57.560","385.8",1687605599999,"22211.5220",98,"201.3","11589.9320"
"AAVEUSDT","AAVEUSDT#1687605600000",1687605600000,"57.560","57.590","57.560","57.580","113.8",1687605659999,"6551.8080",28,"39.0","2245.5900"
"AAVEUSDT","AAVEUSDT#1687605660000",1687605660000,"57.570","57.570","57.540","57.560","171.6",1687605719999,"9876.9510",50,"66.4","3821.9000"
"AAVEUSDT","AAVEUSDT#1687605720000",1687605720000,"57.570","57.580","57.550","57.550","82.4",1687605779999,"4744.2440",20,"54.1","3115.0660"
"AAVEUSDT","AAVEUSDT#1687605780000",1687605780000,"57.560","57.560","57.550","57.560","44.1",1687605839999,"2538.2090",12,"1.2","69.0720"
"AAVEUSDT","AAVEUSDT#1687605840000",1687605840000,"57.560","57.590","57.560","57.590","104.3",1687605899999,"6005.3960",25,"86.4","4975.0720"
"AAVEUSDT","AAVEUSDT#1687605900000",1687605900000,"57.590","57.600","57.520","57.530","774.9",1687605959999,"44616.3140",150,"489.0","28159.6440"
"AAVEUSDT","AAVEUSDT#1687605960000",1687605960000,"57.520","57.570","57.520","57.570","262.1",1687606019999,"15079.7180",56,"56.1","3228.1630"
"AAVEUSDT","AAVEUSDT#1687606020000",1687606020000,"57.580","57.590","57.550","57.590","59.9",1687606079999,"3448.1950",24,"16.7","961.5640"
"AAVEUSDT","AAVEUSDT#1687606080000",1687606080000,"57.590","57.620","57.590","57.610","109.0",1687606139999,"6278.8430",29,"84.8","4884.5960"
"AAVEUSDT","AAVEUSDT#1687606140000",1687606140000,"57.610","57.620","57.600","57.610","30.0",1687606199999,"1728.2800",22,"15.4","887.1990"
"AAVEUSDT","AAVEUSDT#1687606200000",1687606200000,"57.610","57.610","57.580","57.580","129.5",1687606259999,"7457.4440",56,"25.0","1439.5840"
"AAVEUSDT","AAVEUSDT#1687606260000",1687606260000,"57.600","57.600","57.570","57.570","190.4",1687606319999,"10965.8150",92,"72.7","4187.5030"
"AAVEUSDT","AAVEUSDT#1687606320000",1687606320000,"57.580","57.580","57.560","57.570","142.7",1687606379999,"8215.4550",81,"19.6","1128.5680"
"AAVEUSDT","AAVEUSDT#1687606380000",1687606380000,"57.570","57.570","57.550","57.550","178.7",1687606439999,"10286.7630",47,"0.0","0.0000"
"AAVEUSDT","AAVEUSDT#1687606440000",1687606440000,"57.550","57.560","57.530","57.540","107.2",1687606499999,"6168.4930",59,"14.0","805.5720"
"AAVEUSDT","AAVEUSDT#1687606500000",1687606500000,"57.540","57.550","57.510","57.540","213.3",1687606559999,"12270.9710",75,"47.5","2733.1780"
"AAVEUSDT","AAVEUSDT#1687606560000",1687606560000,"57.540","57.560","57.520","57.520","147.5",1687606619999,"8487.3630",36,"70.6","4063.0190"
"AAVEUSDT","AAVEUSDT#1687606620000",1687606620000,"57.540","57.550","57.540","57.550","29.0",1687606679999,"1668.7060",10,"29.0","1668.7060"
"AAVEUSDT","AAVEUSDT#1687606680000",1687606680000,"57.550","57.560","57.550","57.560","53.2",1687606739999,"3061.8340",14,"28.6","1646.1040"
