"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BATUSDT","BATUSDT#1687604460000",1687604460000,"0.1997","0.1998","0.1995","0.1997","56314.3",1687604519999,"11242.38435",118,"16529.3","3301.18643"
"BATUSDT","BATUSDT#1687604520000",1687604520000,"0.1997","0.1998","0.1995","0.1995","87772.9",1687604579999,"17518.29168",151,"7411.8","1480.11354"
"BATUSDT","BATUSDT#1687604580000",1687604580000,"0.1995","0.1997","0.1995","0.1996","22644.1",1687604639999,"4518.69241",57,"11315.8","2258.63868"
"BATUSDT","BATUSDT#1687604640000",1687604640000,"0.1996","0.1996","0.1994","0.1994","27281.9",1687604699999,"5442.98915",73,"7452.1","1486.79400"
"BATUSDT","BATUSDT#1687604700000",1687604700000,"0.1994","0.1994","0.1992","0.1992","40876.7",1687604759999,"8147.08395",95,"14844.9","2959.34750"
"BATUSDT","BATUSDT#1687604760000",1687604760000,"0.1992","0.1994","0.1992","0.1993","75395.6",1687604819999,"15031.88154",107,"56876.5","11340.05418"
"BATUSDT","BATUSDT#1687604820000",1687604820000,"0.1993","0.1993","0.1991","0.1992","28693.6",1687604879999,"5716.66641",71,"6057.0","1206.82297"
"BATUSDT","BATUSDT#1687604880000",1687604880000,"0.1992","0.1993","0.1991","0.1991","19909.7",1687604939999,"3966.22443",52,"2773.2","552.69310"
"BATUSDT","BATUSDT#1687604940000",1687604940000,"0.1991","0.1992","0.1987","0.1988","185742.9",1687604999999,"36925.50314",170,"35499.1","7061.33923"
"BATUSDT","BATUSDT#1687605000000",1687605000000,"0.1988","0.1990","0.1988","0.1989","42116.9",1687605059999,"8379.14449",62,"30882.4","6144.20527"
"BATUSDT","BATUSDT#1687605060000",1687605060000,"0.1989","0.1992","0.1989","0.1992","50745.3",1687605119999,"10102.89359",43,"48486.4","9653.43139"
"BATUSDT","BATUSDT#1687605120000",1687605120000,"0.1992","0.1992","0.1990","0.1990","28879.7",1687605179999,"5751.69930",73,"15093.0","3006.52557"
"BATUSDT","BATUSDT#1687605180000",1687605180000,"0.1990","0.1991","0.1989","0.1989","10845.2",1687605239999,"2157.74809",30,"75.2","14.97232"
"BATUSDT","BATUSDT#1687605240000",1687605240000,"0.1989","0.1990","0.1989","0.1989","3605.4",1687605299999,"717.14125",11,"271.9","54.10810"
"BATUSDT","BATUSDT#1687605300000",1687605300000,"0.1990","0.1992","0.1989","0.1991","44611.0",1687605359999,"8879.10666",60,"33565.7","6681.23859"
"BATUSDT","BATUSDT#1687605360000",1687605360000,"0.1991","0.1993","0.1991","0.1992","42002.7",1687605419999,"8366.86743",52,"8237.0","1640.82489"
"BATUSDT","BATUSDT#1687605420000",1687605420000,"0.1992","0.1992","0.1990","0.1991","93468.9",1687605479999,"18610.06679",102,"42709.1","8504.01916"
"BATUSDT","BATUSDT#1687605480000",1687605480000,"0.1990","0.1992","0.1989","0.1990","68890.6",1687605539999,"13714.93842",72,"34043.4","6779.20303"
"BATUSDT","BATUSDT#1687605540000",1687605540000,"0.1990","0.1991","0.1989","0.1990","17545.9",1687605599999,"3492.55001",36,"6481.0","1289.86166"
"BATUSDT","BATUSDT#1687605600000",1687605600000,"0.1991","0.1991","0.1990","0.1991","16678.8",1687605659999,"3320.72264",42,"9325.9","1856.78669"
