"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BLZUSDT","BLZUSDT#1687586460000",1687586460000,"0.05757","0.05759","0.05754","0.05757","53709",1687586519999,"3091.38922",54,"19201","1105.35678"
"BLZUSDT","BLZUSDT#1687586520000",1687586520000,"0.05755","0.05760","0.05750","0.05757","33687",1687586579999,"1938.89696",33,"24380","1403.32777"
"BLZUSDT","BLZUSDT#1687586580000",1687586580000,"0.05757","0.05765","0.05757","0.05765","48911",1687586639999,"2816.78939",27,"39089","2251.17118"
"BLZUSDT","BLZUSDT#1687586640000",1687586640000,"0.05763","0.05763","0.05760","0.05760","5550",1687586699999,"319.69507",5,"167","9.61920"
"BLZUSDT","BLZUSDT#1687586700000",1687586700000,"0.05759","0.05759","0.05735","0.05737","220934",1687586759999,"12688.62550",97,"14052","806.33476"
"BLZUSDT","BLZUSDT#1687586760000",1687586760000,"0.05737","0.05737","0.05731","0.05731","71317",1687586819999,"4089.43733",31,"27131","1555.90183"
"BLZUSDT","BLZUSDT#1687586820000",1687586820000,"0.05732","0.05737","0.05731","0.05737","64356",1687586879999,"3690.10347",27,"44638","2559.64668"
"BLZUSDT","BLZUSDT#1687586880000",1687586880000,"0.05738","0.05740","0.05738","0.05740","415",1687586939999,"23.81488",3,"415","23.81488"
"BLZUSDT","BLZUSDT#1687586940000",1687586940000,"0.05739","0.05741","0.05737","0.05738","33645",1687586999999,"1931.04526",22,"22575","1295.83532"
"BLZUSDT","BLZUSDT#1687587000000",1687587000000,"0.05739","0.05765","0.05734","0.05758","1149479",1687587059999,"66084.39244",418,"1000092","57502.35190"
"BLZUSDT","BLZUSDT#1687587060000",1687587060000,"0.05757","0.05759","0.05755","0.05759","132791",1687587119999,"7645.67005",52,"69768","4017.17088"
"BLZUSDT","BLZUSDT#1687587120000",1687587120000,"0.05759","0.05759","0.05756","0.05756","31646",1687587179999,"1822.38047",18,"12142","699.25778"
"BLZUSDT","BLZUSDT#1687587180000",1687587180000,"0.05756","0.05757","0.05745","0.05745","107898",1687587239999,"6204.50654",26,"17622","1014.05853"
"BLZUSDT","BLZUSDT#1687587240000",1687587240000,"0.05744","0.05753","0.05744","0.05749","85042",1687587299999,"4890.59910",34,"46705","2685.45679"
"BLZUSDT","BLZUSDT#1687587300000",1687587300000,"0.05747","0.05758","0.05742","0.05758","129682",1687587359999,"7458.01303",91,"90637","5212.37282"
"BLZUSDT","BLZUSDT#1687587360000",1687587360000,"0.05758","0.05758","0.05757","0.05757","82056",1687587419999,"4724.60936",16,"37838","2178.71204"
"BLZUSDT","BLZUSDT#1687587420000",1687587420000,"0.05755","0.05757","0.05752","0.05755","43687",1687587479999,"2513.77612",34,"12809","737.10336"
"BLZUSDT","BLZUSDT#1687587480000",1687587480000,"0.05755","0.05757","0.05747","0.05752","62533",1687587539999,"3596.39715",62,"15972","918.66004"
"BLZUSDT","BLZUSDT#1687587540000",1687587540000,"0.05752","0.05754","0.05749","0.05750","89923",1687587599999,"5172.04598",40,"48580","2794.42758"
"BLZUSDT","BLZUSDT#1687587600000",1687587600000,"0.05749","0.05751","0.05742","0.05744","152501",1687587659999,"8761.02968",77,"36657","2105.21152"
"BLZUSDT","BLZUSDT#1687587660000",1687587660000,"0.05744","0.05745","0.05741","0.05742","72054",1687587719999,"4138.38038",43,"56522","3246.52258"
"BLZUSDT","BLZUSDT#1687587720000",1687587720000,"0.05742","0.05743","0.05721","0.05740","390455",1687587779999,"22389.41728",179,"181015","10382.72280"
"BLZUSDT","BLZUSDT#1687587780000",1687587780000,"0.05742","0.05745","0.05736","0.05737","109198",1687587839999,"6269.73017",52,"59503","3416.42217"
"BLZUSDT","BLZUSDT#1687587840000",1687587840000,"0.05736","0.05739","0.05735","0.05736","39870",1687587899999,"2287.47927",20,"16814","964.77683"
"BLZUSDT","BLZUSDT#1687587900000",1687587900000,"0.05735","0.05735","0.05713","0.05730","1226582",1687587959999,"70186.40328",358,"148904","8526.53014"
"BLZUSDT","BLZUSDT#1687587960000",1687587960000,"0.05730","0.05731","0.05725","0.05728","99601",1687588019999,"5706.70728",44,"64313","3685.34881"
"BLZUSDT","BLZUSDT#1687588020000",1687588020000,"0.05727","0.05727","0.05726","0.05727","2271",1687588079999,"130.05621",10,"2271","130.05621"
"BLZUSDT","BLZUSDT#1687588080000",1687588080000,"0.05727","0.05736","0.05727","0.05733","86053",1687588139999,"4932.54056",35,"64490","3696.87163"
"BLZUSDT","BLZUSDT#1687588140000",1687588140000,"0.05731","0.05731","0.05725","0.05727","98126",1687588199999,"5619.91121",51,"8937","511.81371"
"BLZUSDT","BLZUSDT#1687588200000",1687588200000,"0.05725","0.05728","0.05722","0.05722","125698",1687588259999,"7195.06558",34,"39315","2250.13730"
"BLZUSDT","BLZUSDT#1687588260000",1687588260000,"0.05722","0.05725","0.05721","0.05725","94822",1687588319999,"5426.21039",29,"43894","2512.06646"
"BLZUSDT","BLZUSDT#1687588320000",1687588320000,"0.05725","0.05728","0.05723","0.05726","126779",1687588379999,"7259.07422",41,"72282","4138.66166"
"BLZUSDT","BLZUSDT#1687588380000",1687588380000,"0.05726","0.05727","0.05725","0.05725","18711",1687588439999,"1071.36670",9,"4372","250.37158"
"BLZUSDT","BLZUSDT#1687588440000",1687588440000,"0.05725","0.05736","0.05725","0.05732","272113",1687588499999,"15596.96067",63,"150421","8619.32990"
"BLZUSDT","BLZUSDT#1687588500000",1687588500000,"0.05733","0.05733","0.05725","0.05725","27684",1687588559999,"1586.36778",16,"511","29.25475"
"BLZUSDT","BLZUSDT#1687588560000",1687588560000,"0.05724","0.05728","0.05719","0.05727","75721",1687588619999,"4334.09658",29,"50144","2870.89671"
"BLZUSDT","BLZUSDT#1687588620000",1687588620000,"0.05727","0.05730","0.05727","0.05728","51602",1687588679999,"2955.82555",18,"31484","1803.41702"
"BLZUSDT","BLZUSDT#1687588680000",1687588680000,"0.05730","0.05730","0.05724","0.05724","10615",1687588739999,"607.95122",10,"0","0.00000"
"BLZUSDT","BLZUSDT#1687588740000",1687588740000,"0.05723","0.05727","0.05723","0.05727","6105",1687588799999,"349.59739",4,"899","51.44977"
"BLZUSDT","BLZUSDT#1687588800000",1687588800000,"0.05725","0.05728","0.05722","0.05724","85941",1687588859999,"4919.96294",46,"17232","986.78803"
"BLZUSDT","BLZUSDT#1687588860000",1687588860000,"0.05724","0.05724","0.05721","0.05723","31690",1687588919999,"1813.55927",15,"137","7.83914"
"BLZUSDT","BLZUSDT#1687588920000",1687588920000,"0.05723","0.05724","0.05722","0.05723","26065",1687588979999,"1491.74760",11,"5161","295.41371"
"BLZUSDT","BLZUSDT#1687588980000",1687588980000,"0.05723","0.05725","0.05722","0.05722","9256",1687589039999,"529.82705",10,"3550","203.16650"
