"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ETHUSDT","ETHUSDT#1687636860000",1687636860000,"1884.00","1885.64","1883.85","1885.64","1802.480",1687636919999,"3396703.72997",1485,"1053.963","1986258.57735"
"ETHUSDT","ETHUSDT#1687636920000",1687636920000,"1885.64","1885.97","1885.48","1885.64","955.487",1687636979999,"1801901.46705",769,"170.524","321550.83259"
"ETHUSDT","ETHUSDT#1687636980000",1687636980000,"1885.63","1886.01","1885.63","1886.01","153.545",1687637039999,"289563.05109",457,"115.865","218502.70960"
"ETHUSDT","ETHUSDT#1687637040000",1687637040000,"1886.00","1886.01","1884.54","1884.55","1507.298",1687637099999,"2841757.17698",970,"259.543","489177.28401"
"ETHUSDT","ETHUSDT#1687637100000",1687637100000,"1884.54","1884.74","1883.40","1883.40","1828.020",1687637159999,"3444288.94272",1221,"451.365","850431.48806"
"ETHUSDT","ETHUSDT#1687637160000",1687637160000,"1883.40","1883.50","1883.25","1883.50","480.281",1687637219999,"904531.46719",602,"234.171","441019.38782"
"ETHUSDT","ETHUSDT#1687637220000",1687637220000,"1883.50","1883.92","1882.27","1883.92","2717.788",1687637279999,"5118157.81673",2032,"913.024","1719285.12954"
"ETHUSDT","ETHUSDT#1687637280000",1687637280000,"1883.92","1883.98","1883.10","1883.83","1034.864",1687637339999,"1949417.15393",1004,"214.936","404859.28191"
"ETHUSDT","ETHUSDT#1687637340000",1687637340000,"1883.83","1884.04","1883.83","1884.03","328.231",1687637399999,"618349.97742",475,"244.270","460179.99959"
"ETHUSDT","ETHUSDT#1687637400000",1687637400000,"1884.04","1884.36","1884.00","1884.08","865.957",1687637459999,"1631689.43285",769,"249.787","470627.64238"
"ETHUSDT","ETHUSDT#1687637460000",1687637460000,"1884.08","1884.57","1884.00","1884.57","659.730",1687637519999,"1243074.39847",735,"373.469","703733.08648"
"ETHUSDT","ETHUSDT#1687637520000",1687637520000,"1884.57","1884.74","1884.06","1884.06","658.729",1687637579999,"1241437.40007",852,"157.965","297687.65172"
"ETHUSDT","ETHUSDT#1687637580000",1687637580000,"1884.06","1884.43","1884.06","1884.43","200.819",1687637639999,"378383.11263",549,"118.539","223350.71242"
"ETHUSDT","ETHUSDT#1687637640000",1687637640000,"1884.42","1884.43","1884.42","1884.42","168.787",1687637699999,"318066.57708",379,"97.854","184399.01322"
"ETHUSDT","ETHUSDT#1687637700000",1687637700000,"1884.42","1884.54","1882.23","1882.89","1654.287",1687637759999,"3115932.28578",1797,"459.723","865749.90799"
"ETHUSDT","ETHUSDT#1687637760000",1687637760000,"1882.90","1883.46","1882.89","1883.46","397.898",1687637819999,"749291.32866",684,"297.004","559306.79066"
"ETHUSDT","ETHUSDT#1687637820000",1687637820000,"1883.46","1884.12","1883.45","1884.12","466.859",1687637879999,"879434.71979",587,"336.428","633750.18176"
"ETHUSDT","ETHUSDT#1687637880000",1687637880000,"1884.12","1884.12","1883.29","1883.61","969.018",1687637939999,"1825597.34336",681,"188.677","355416.85919"
"ETHUSDT","ETHUSDT#1687637940000",1687637940000,"1883.60","1883.94","1883.60","1883.94","385.558",1687637999999,"726255.97347",492,"297.057","559555.46281"
"ETHUSDT","ETHUSDT#1687638000000",1687638000000,"1883.94","1884.88","1883.93","1884.54","973.396",1687638059999,"1834435.87879",1073,"723.912","1364200.45964"
"ETHUSDT","ETHUSDT#1687638060000",1687638060000,"1884.54","1884.54","1883.28","1883.57","357.532",1687638119999,"673559.72038",873,"157.334","296381.38002"
"ETHUSDT","ETHUSDT#1687638120000",1687638120000,"1883.57","1883.58","1883.56","1883.57","216.083",1687638179999,"407007.70969",420,"95.081","179091.97373"
"ETHUSDT","ETHUSDT#1687638180000",1687638180000,"1883.57","1883.75","1883.57","1883.75","144.724",1687638239999,"272606.79768",519,"126.743","238736.91227"
"ETHUSDT","ETHUSDT#1687638240000",1687638240000,"1883.75","1883.78","1883.27","1883.78","628.353",1687638299999,"1183581.87664",683,"190.822","359414.27003"
"ETHUSDT","ETHUSDT#1687638300000",1687638300000,"1883.78","1884.36","1883.77","1884.36","367.414",1687638359999,"692193.66966",562,"271.441","511389.17145"
"ETHUSDT","ETHUSDT#1687638360000",1687638360000,"1884.36","1884.57","1884.35","1884.57","278.050",1687638419999,"523971.30013",477,"95.212","179420.91795"
"ETHUSDT","ETHUSDT#1687638420000",1687638420000,"1884.57","1884.57","1884.56","1884.57","117.582",1687638479999,"221590.89777",400,"56.385","106261.47945"
"ETHUSDT","ETHUSDT#1687638480000",1687638480000,"1884.56","1884.57","1883.98","1883.98","491.652",1687638539999,"926519.47156",701,"42.008","79166.53949"
"ETHUSDT","ETHUSDT#1687638540000",1687638540000,"1883.98","1884.05","1883.63","1884.05","326.206",1687638599999,"614508.48538",624,"226.278","426255.34116"
"ETHUSDT","ETHUSDT#1687638600000",1687638600000,"1884.05","1884.16","1882.65","1882.83","1117.147",1687638659999,"2104040.61434",1287,"397.727","749028.55642"
"ETHUSDT","ETHUSDT#1687638660000",1687638660000,"1882.83","1882.83","1882.82","1882.82","194.920",1687638719999,"367000.18290",393,"90.850","171055.10550"
"ETHUSDT","ETHUSDT#1687638720000",1687638720000,"1882.82","1882.83","1882.82","1882.82","130.122",1687638779999,"244997.46679",357,"116.275","218926.05825"
"ETHUSDT","ETHUSDT#1687638780000",1687638780000,"1882.82","1882.83","1880.53","1880.84","2757.972",1687638839999,"5188809.07216",2147,"712.906","1341032.15025"
"ETHUSDT","ETHUSDT#1687638840000",1687638840000,"1880.84","1881.10","1880.84","1881.09","627.459",1687638899999,"1180209.51615",762,"463.552","871897.15727"
"ETHUSDT","ETHUSDT#1687638900000",1687638900000,"1881.09","1881.75","1880.67","1880.68","1275.528",1687638959999,"2399850.40854",1220,"496.571","934204.47547"
"ETHUSDT","ETHUSDT#1687638960000",1687638960000,"1880.67","1881.19","1880.67","1881.18","419.151",1687639019999,"788410.52081",665,"232.196","436772.45444"
"ETHUSDT","ETHUSDT#1687639020000",1687639020000,"1881.18","1882.16","1881.00","1882.16","2050.633",1687639079999,"3858398.74028",1550,"1594.064","2999205.28385"
"ETHUSDT","ETHUSDT#1687639080000",1687639080000,"1882.16","1882.26","1882.16","1882.25","200.039",1687639139999,"376521.33121",452,"84.302","158676.85516"
"ETHUSDT","ETHUSDT#1687639140000",1687639140000,"1882.26","1882.77","1882.09","1882.40","1862.378",1687639199999,"3505846.56084",1262,"982.792","1849994.64139"
"ETHUSDT","ETHUSDT#1687639200000",1687639200000,"1882.40","1882.50","1882.39","1882.49","193.637",1687639259999,"364505.94656",449,"61.858","116443.75421"
"ETHUSDT","ETHUSDT#1687639260000",1687639260000,"1882.50","1882.67","1882.00","1882.67","841.116",1687639319999,"1583121.99072",855,"442.241","832380.43082"
"ETHUSDT","ETHUSDT#1687639320000",1687639320000,"1882.67","1882.67","1882.66","1882.66","252.059",1687639379999,"474543.12609",520,"172.915","325541.88305"
"ETHUSDT","ETHUSDT#1687639380000",1687639380000,"1882.66","1882.67","1882.00","1882.00","384.938",1687639439999,"724579.14437",501,"25.993","48935.98533"
"ETHUSDT","ETHUSDT#1687639440000",1687639440000,"1882.00","1882.37","1882.00","1882.37","323.276",1687639499999,"608419.01571",488,"166.725","313789.20395"
