"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FETUSDT","FETUSDT#1687600860000",1687600860000,"0.2368000","0.2371000","0.2366000","0.2369000","177548",1687600919999,"42048.4228000",200,"122287","28963.0359000"
"FETUSDT","FETUSDT#1687600920000",1687600920000,"0.2370000","0.2372000","0.2369000","0.2369000","114271",1687600979999,"27092.4630000",136,"13789","3268.8276000"
"FETUSDT","FETUSDT#1687600980000",1687600980000,"0.2369000","0.2371000","0.2368000","0.2370000","94096",1687601039999,"22291.5289000",148,"60409","14310.7157000"
"FETUSDT","FETUSDT#1687601040000",1687601040000,"0.2371000","0.2372000","0.2367000","0.2370000","94921",1687601099999,"22492.1205000",156,"32063","7594.7872000"
"FETUSDT","FETUSDT#1687601100000",1687601100000,"0.2369000","0.2372000","0.2367000","0.2372000","101728",1687601159999,"24097.6966000",141,"56003","13268.3561000"
"FETUSDT","FETUSDT#1687601160000",1687601160000,"0.2373000","0.2375000","0.2373000","0.2375000","41221",1687601219999,"9782.9279000",77,"11871","2818.0863000"
"FETUSDT","FETUSDT#1687601220000",1687601220000,"0.2375000","0.2377000","0.2374000","0.2374000","45225",1687601279999,"10743.6732000",84,"11707","2780.8784000"
"FETUSDT","FETUSDT#1687601280000",1687601280000,"0.2375000","0.2375000","0.2372000","0.2375000","142493",1687601339999,"33823.2980000",116,"28931","6868.6795000"
"FETUSDT","FETUSDT#1687601340000",1687601340000,"0.2374000","0.2378000","0.2374000","0.2377000","58215",1687601399999,"13830.6442000",100,"37635","8941.5614000"
"FETUSDT","FETUSDT#1687601400000",1687601400000,"0.2377000","0.2378000","0.2376000","0.2378000","25124",1687601459999,"5972.2474000",41,"13654","3245.9462000"
"FETUSDT","FETUSDT#1687601460000",1687601460000,"0.2378000","0.2379000","0.2377000","0.2379000","48154",1687601519999,"11452.0450000",104,"26265","6247.2877000"
"FETUSDT","FETUSDT#1687601520000",1687601520000,"0.2378000","0.2380000","0.2377000","0.2377000","76173",1687601579999,"18110.8017000",97,"6533","1554.1942000"
"FETUSDT","FETUSDT#1687601580000",1687601580000,"0.2377000","0.2378000","0.2376000","0.2376000","47250",1687601639999,"11230.2465000",81,"9503","2258.8808000"
"FETUSDT","FETUSDT#1687601640000",1687601640000,"0.2376000","0.2376000","0.2374000","0.2374000","33248",1687601699999,"7896.3330000",43,"12463","2959.9625000"
"FETUSDT","FETUSDT#1687601700000",1687601700000,"0.2375000","0.2375000","0.2371000","0.2373000","60123",1687601759999,"14271.1347000",125,"33200","7880.2134000"
"FETUSDT","FETUSDT#1687601760000",1687601760000,"0.2374000","0.2374000","0.2372000","0.2374000","43068",1687601819999,"10221.3641000",77,"30092","7142.4566000"
"FETUSDT","FETUSDT#1687601820000",1687601820000,"0.2374000","0.2376000","0.2374000","0.2375000","23121",1687601879999,"5491.0396000",64,"12306","2922.8098000"
"FETUSDT","FETUSDT#1687601880000",1687601880000,"0.2375000","0.2376000","0.2375000","0.2375000","16237",1687601939999,"3856.3131000",37,"9362","2223.5006000"
"FETUSDT","FETUSDT#1687601940000",1687601940000,"0.2374000","0.2380000","0.2374000","0.2378000","124772",1687601999999,"29672.0216000",120,"104675","24892.9337000"
"FETUSDT","FETUSDT#1687602000000",1687602000000,"0.2378000","0.2379000","0.2375000","0.2378000","68551",1687602059999,"16295.1668000",102,"22623","5377.2887000"
"FETUSDT","FETUSDT#1687602060000",1687602060000,"0.2378000","0.2378000","0.2376000","0.2378000","48810",1687602119999,"11604.2597000",93,"26351","6265.3126000"
"FETUSDT","FETUSDT#1687602120000",1687602120000,"0.2378000","0.2379000","0.2375000","0.2375000","93143",1687602179999,"22145.0413000",81,"50518","12013.1667000"
"FETUSDT","FETUSDT#1687602180000",1687602180000,"0.2376000","0.2379000","0.2376000","0.2379000","75811",1687602239999,"18028.5893000",84,"55922","13299.9587000"
"FETUSDT","FETUSDT#1687602240000",1687602240000,"0.2379000","0.2380000","0.2378000","0.2378000","8514",1687602299999,"2025.0257000",36,"451","107.2960000"
"FETUSDT","FETUSDT#1687602300000",1687602300000,"0.2378000","0.2379000","0.2376000","0.2376000","66810",1687602359999,"15878.2491000",76,"13567","3225.3013000"
"FETUSDT","FETUSDT#1687602360000",1687602360000,"0.2376000","0.2378000","0.2374000","0.2376000","68290",1687602419999,"16225.4197000",120,"26845","6378.0894000"
"FETUSDT","FETUSDT#1687602420000",1687602420000,"0.2377000","0.2379000","0.2377000","0.2379000","35565",1687602479999,"8457.8770000",59,"16048","3816.4529000"
"FETUSDT","FETUSDT#1687602480000",1687602480000,"0.2379000","0.2381000","0.2378000","0.2380000","103370",1687602539999,"24603.2261000",91,"58372","13893.2711000"
"FETUSDT","FETUSDT#1687602540000",1687602540000,"0.2381000","0.2382000","0.2380000","0.2380000","23229",1687602599999,"5530.1741000",30,"12271","2921.3772000"
"FETUSDT","FETUSDT#1687602600000",1687602600000,"0.2380000","0.2380000","0.2376000","0.2377000","70689",1687602659999,"16809.2064000",146,"29221","6947.0457000"
"FETUSDT","FETUSDT#1687602660000",1687602660000,"0.2377000","0.2379000","0.2377000","0.2378000","56495",1687602719999,"13431.7951000",100,"34126","8112.9120000"
"FETUSDT","FETUSDT#1687602720000",1687602720000,"0.2377000","0.2380000","0.2376000","0.2380000","73861",1687602779999,"17560.2266000",154,"30656","7291.6326000"
"FETUSDT","FETUSDT#1687602780000",1687602780000,"0.2380000","0.2380000","0.2378000","0.2380000","60119",1687602839999,"14304.4844000",166,"27920","6642.9297000"
"FETUSDT","FETUSDT#1687602840000",1687602840000,"0.2380000","0.2380000","0.2378000","0.2380000","81552",1687602899999,"19403.7051000",191,"29411","6999.2686000"
"FETUSDT","FETUSDT#1687602900000",1687602900000,"0.2380000","0.2381000","0.2379000","0.2380000","33111",1687602959999,"7879.2139000",99,"22820","5430.8393000"
"FETUSDT","FETUSDT#1687602960000",1687602960000,"0.2380000","0.2381000","0.2379000","0.2379000","32939",1687603019999,"7837.9741000",125,"7142","1699.1302000"
"FETUSDT","FETUSDT#1687603020000",1687603020000,"0.2378000","0.2379000","0.2377000","0.2378000","34193",1687603079999,"8131.1729000",103,"14661","3486.8764000"
"FETUSDT","FETUSDT#1687603080000",1687603080000,"0.2379000","0.2379000","0.2375000","0.2375000","106213",1687603139999,"25248.7812000",151,"44194","10508.8381000"
"FETUSDT","FETUSDT#1687603140000",1687603140000,"0.2376000","0.2378000","0.2376000","0.2378000","35140",1687603199999,"8352.5208000",68,"26857","6383.8086000"
"FETUSDT","FETUSDT#1687603200000",1687603200000,"0.2378000","0.2379000","0.2377000","0.2379000","65241",1687603259999,"15518.3643000",94,"49223","11709.4570000"
"FETUSDT","FETUSDT#1687603260000",1687603260000,"0.2379000","0.2380000","0.2377000","0.2380000","39859",1687603319999,"9479.8962000",89,"14361","3415.6711000"
"FETUSDT","FETUSDT#1687603320000",1687603320000,"0.2379000","0.2380000","0.2379000","0.2379000","31087",1687603379999,"7398.6446000",59,"13316","3169.2080000"
"FETUSDT","FETUSDT#1687603380000",1687603380000,"0.2379000","0.2380000","0.2376000","0.2376000","53517",1687603439999,"12728.8281000",85,"8269","1966.5527000"
"FETUSDT","FETUSDT#1687603440000",1687603440000,"0.2376000","0.2376000","0.2373000","0.2375000","83312",1687603499999,"19783.3457000",85,"62330","14799.8808000"
