"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FXSUSDT","FXSUSDT#1687593660000",1687593660000,"5.721000","5.726000","5.720000","5.724000","4834.8",1687593719999,"27667.6646000",228,"2127.2","12175.7777000"
"FXSUSDT","FXSUSDT#1687593720000",1687593720000,"5.725000","5.727000","5.723000","5.725000","2662.4",1687593779999,"15241.7127000",156,"1107.2","6339.5706000"
"FXSUSDT","FXSUSDT#1687593780000",1687593780000,"5.725000","5.731000","5.723000","5.731000","1232.1",1687593839999,"7055.8195000",148,"761.9","4363.4825000"
"FXSUSDT","FXSUSDT#1687593840000",1687593840000,"5.732000","5.733000","5.727000","5.731000","2068.5",1687593899999,"11852.7079000",106,"693.3","3972.7502000"
"FXSUSDT","FXSUSDT#1687593900000",1687593900000,"5.730000","5.733000","5.729000","5.732000","1034.2",1687593959999,"5927.5851000",88,"554.6","3178.8074000"
"FXSUSDT","FXSUSDT#1687593960000",1687593960000,"5.731000","5.733000","5.730000","5.731000","1376.0",1687594019999,"7886.1178000",143,"819.7","4698.1472000"
"FXSUSDT","FXSUSDT#1687594020000",1687594020000,"5.732000","5.734000","5.732000","5.734000","844.8",1687594079999,"4843.2370000",97,"449.7","2578.2194000"
"FXSUSDT","FXSUSDT#1687594080000",1687594080000,"5.735000","5.737000","5.734000","5.735000","979.6",1687594139999,"5618.1423000",69,"558.5","3203.1685000"
"FXSUSDT","FXSUSDT#1687594140000",1687594140000,"5.735000","5.742000","5.734000","5.742000","813.2",1687594199999,"4665.5285000",105,"578.3","3318.1333000"
"FXSUSDT","FXSUSDT#1687594200000",1687594200000,"5.742000","5.743000","5.737000","5.737000","1686.4",1687594259999,"9680.1924000",84,"179.8","1032.4274000"
"FXSUSDT","FXSUSDT#1687594260000",1687594260000,"5.737000","5.738000","5.734000","5.737000","1844.4",1687594319999,"10580.0905000",114,"967.8","5552.3042000"
"FXSUSDT","FXSUSDT#1687594320000",1687594320000,"5.736000","5.739000","5.736000","5.738000","431.0",1687594379999,"2473.0216000",40,"349.1","2003.1320000"
"FXSUSDT","FXSUSDT#1687594380000",1687594380000,"5.738000","5.743000","5.738000","5.742000","426.3",1687594439999,"2447.4078000",45,"332.7","1910.1838000"
"FXSUSDT","FXSUSDT#1687594440000",1687594440000,"5.741000","5.743000","5.740000","5.743000","436.3",1687594499999,"2505.0176000",48,"170.2","977.2873000"
"FXSUSDT","FXSUSDT#1687594500000",1687594500000,"5.743000","5.743000","5.734000","5.737000","2683.3",1687594559999,"15395.2040000",111,"888.0","5094.7166000"
"FXSUSDT","FXSUSDT#1687594560000",1687594560000,"5.737000","5.741000","5.736000","5.740000","836.2",1687594619999,"4798.5957000",53,"628.5","3606.6545000"
"FXSUSDT","FXSUSDT#1687594620000",1687594620000,"5.741000","5.746000","5.739000","5.745000","901.2",1687594679999,"5174.8938000",64,"304.7","1749.9642000"
"FXSUSDT","FXSUSDT#1687594680000",1687594680000,"5.744000","5.744000","5.739000","5.740000","795.1",1687594739999,"4565.3396000",33,"240.2","1379.2633000"
"FXSUSDT","FXSUSDT#1687594740000",1687594740000,"5.741000","5.742000","5.739000","5.739000","466.9",1687594799999,"2680.4279000",27,"250.4","1437.6686000"
"FXSUSDT","FXSUSDT#1687594800000",1687594800000,"5.739000","5.740000","5.738000","5.739000","252.2",1687594859999,"1447.4431000",32,"86.1","494.1700000"
"FXSUSDT","FXSUSDT#1687594860000",1687594860000,"5.738000","5.738000","5.734000","5.734000","807.6",1687594919999,"4632.1457000",55,"194.8","1117.4516000"
"FXSUSDT","FXSUSDT#1687594920000",1687594920000,"5.734000","5.736000","5.731000","5.732000","753.5",1687594979999,"4320.5157000",48,"296.2","1698.3970000"
"FXSUSDT","FXSUSDT#1687594980000",1687594980000,"5.731000","5.733000","5.731000","5.732000","348.1",1687595039999,"1995.4806000",22,"254.7","1460.1242000"
"FXSUSDT","FXSUSDT#1687595040000",1687595040000,"5.731000","5.733000","5.730000","5.733000","230.1",1687595099999,"1318.9330000",24,"218.6","1253.0289000"
"FXSUSDT","FXSUSDT#1687595100000",1687595100000,"5.731000","5.731000","5.725000","5.728000","896.3",1687595159999,"5133.9014000",72,"220.3","1261.7911000"
"FXSUSDT","FXSUSDT#1687595160000",1687595160000,"5.728000","5.733000","5.728000","5.732000","631.0",1687595219999,"3616.0582000",43,"496.3","2844.3149000"
"FXSUSDT","FXSUSDT#1687595220000",1687595220000,"5.731000","5.731000","5.730000","5.731000","203.0",1687595279999,"1163.3101000",17,"40.2","230.3467000"
"FXSUSDT","FXSUSDT#1687595280000",1687595280000,"5.732000","5.734000","5.732000","5.734000","1857.5",1687595339999,"10650.8282000",19,"1840.6","10553.9574000"
"FXSUSDT","FXSUSDT#1687595340000",1687595340000,"5.734000","5.736000","5.734000","5.734000","958.6",1687595399999,"5496.7987000",22,"772.9","4431.8743000"
"FXSUSDT","FXSUSDT#1687595400000",1687595400000,"5.734000","5.734000","5.726000","5.727000","1753.9",1687595459999,"10049.3044000",58,"452.8","2593.8857000"
"FXSUSDT","FXSUSDT#1687595460000",1687595460000,"5.726000","5.726000","5.724000","5.726000","551.1",1687595519999,"3155.3457000",82,"422.8","2420.7447000"
"FXSUSDT","FXSUSDT#1687595520000",1687595520000,"5.724000","5.726000","5.722000","5.722000","712.8",1687595579999,"4079.8022000",58,"100.7","576.5052000"
"FXSUSDT","FXSUSDT#1687595580000",1687595580000,"5.722000","5.724000","5.722000","5.724000","296.3",1687595639999,"1695.7664000",46,"261.9","1498.9296000"
"FXSUSDT","FXSUSDT#1687595640000",1687595640000,"5.724000","5.724000","5.721000","5.722000","647.2",1687595699999,"3703.4827000",36,"345.2","1975.5059000"
"FXSUSDT","FXSUSDT#1687595700000",1687595700000,"5.721000","5.721000","5.717000","5.717000","1346.8",1687595759999,"7701.6362000",76,"166.5","952.0505000"
"FXSUSDT","FXSUSDT#1687595760000",1687595760000,"5.716000","5.718000","5.700000","5.712000","13555.8",1687595819999,"77366.1648000",319,"2517.9","14381.6429000"
"FXSUSDT","FXSUSDT#1687595820000",1687595820000,"5.712000","5.712000","5.709000","5.711000","832.7",1687595879999,"4755.6183000",31,"458.6","2619.1787000"
"FXSUSDT","FXSUSDT#1687595880000",1687595880000,"5.711000","5.712000","5.710000","5.711000","370.5",1687595939999,"2116.0482000",31,"297.7","1700.3128000"
"FXSUSDT","FXSUSDT#1687595940000",1687595940000,"5.712000","5.713000","5.711000","5.712000","1077.0",1687595999999,"6151.7213000",37,"870.5","4972.2745000"
"FXSUSDT","FXSUSDT#1687596000000",1687596000000,"5.712000","5.714000","5.709000","5.709000","927.3",1687596059999,"5296.7379000",53,"442.3","2526.7344000"
"FXSUSDT","FXSUSDT#1687596060000",1687596060000,"5.709000","5.709000","5.705000","5.705000","326.5",1687596119999,"1863.5461000",43,"86.0","490.8355000"
"FXSUSDT","FXSUSDT#1687596120000",1687596120000,"5.705000","5.711000","5.702000","5.711000","4331.9",1687596179999,"24712.5455000",203,"3499.6","19965.3587000"
