"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"KEYUSDT","KEYUSDT#1687568460000",1687568460000,"0.0065970","0.0066050","0.0065810","0.0065830","3478845",1687568519999,"22940.8747660",145,"1272619","8395.2395830"
"KEYUSDT","KEYUSDT#1687568520000",1687568520000,"0.0065850","0.0065880","0.0065720","0.0065760","3587864",1687568579999,"23603.2034040",166,"1645103","10825.2391660"
"KEYUSDT","KEYUSDT#1687568580000",1687568580000,"0.0065760","0.0065930","0.0065750","0.0065900","2293601",1687568639999,"15103.0976850",105,"1296693","8538.0403490"
"KEYUSDT","KEYUSDT#1687568640000",1687568640000,"0.0065900","0.0065930","0.0065880","0.0065930","1727520",1687568699999,"11386.0719870",74,"796853","5253.1224370"
"KEYUSDT","KEYUSDT#1687568700000",1687568700000,"0.0065930","0.0066000","0.0065900","0.0065980","3105990",1687568759999,"20487.9635360",114,"1656006","10924.0941330"
"KEYUSDT","KEYUSDT#1687568760000",1687568760000,"0.0065970","0.0066240","0.0065970","0.0066200","3586930",1687568819999,"23715.6454450",141,"2251472","14885.4983010"
"KEYUSDT","KEYUSDT#1687568820000",1687568820000,"0.0066190","0.0066230","0.0066140","0.0066220","2091064",1687568879999,"13841.2559280",88,"1330440","8807.2821890"
"KEYUSDT","KEYUSDT#1687568880000",1687568880000,"0.0066220","0.0066300","0.0066160","0.0066180","2463588",1687568939999,"16321.9065460",115,"1432195","9488.8016150"
"KEYUSDT","KEYUSDT#1687568940000",1687568940000,"0.0066210","0.0066270","0.0066210","0.0066270","1675920",1687568999999,"11099.7925950",71,"750818","4973.1539440"
"KEYUSDT","KEYUSDT#1687569000000",1687569000000,"0.0066270","0.0066270","0.0066200","0.0066200","860167",1687569059999,"5697.8354890",35,"111377","737.9313960"
"KEYUSDT","KEYUSDT#1687569060000",1687569060000,"0.0066200","0.0066200","0.0066140","0.0066180","2306387",1687569119999,"15261.0806600",102,"796860","5273.4099730"
"KEYUSDT","KEYUSDT#1687569120000",1687569120000,"0.0066160","0.0066280","0.0066160","0.0066220","1760379",1687569179999,"11662.8406720",76,"1278430","8468.8000640"
"KEYUSDT","KEYUSDT#1687569180000",1687569180000,"0.0066250","0.0066390","0.0066230","0.0066380","4341292",1687569239999,"28789.5025190",147,"3660261","24272.4244680"
"KEYUSDT","KEYUSDT#1687569240000",1687569240000,"0.0066380","0.0066450","0.0066370","0.0066410","2075908",1687569299999,"13787.0338970",103,"1263432","8391.4590380"
"KEYUSDT","KEYUSDT#1687569300000",1687569300000,"0.0066380","0.0066410","0.0066310","0.0066370","1711682",1687569359999,"11358.6962880",102,"877862","5825.1845190"
"KEYUSDT","KEYUSDT#1687569360000",1687569360000,"0.0066390","0.0066470","0.0066390","0.0066430","1689354",1687569419999,"11223.2916460",64,"1125095","7474.9790510"
"KEYUSDT","KEYUSDT#1687569420000",1687569420000,"0.0066440","0.0066540","0.0066400","0.0066400","2102161",1687569479999,"13979.1105900",95,"1660104","11041.2705560"
"KEYUSDT","KEYUSDT#1687569480000",1687569480000,"0.0066410","0.0066440","0.0066170","0.0066210","1637175",1687569539999,"10853.0545950",73,"326047","2162.3081720"
"KEYUSDT","KEYUSDT#1687569540000",1687569540000,"0.0066220","0.0066330","0.0066140","0.0066330","2593401",1687569599999,"17180.5300730",95,"1960609","12989.3178410"
"KEYUSDT","KEYUSDT#1687569600000",1687569600000,"0.0066340","0.0066440","0.0066330","0.0066400","1054305",1687569659999,"7000.9186010",60,"768668","5104.1631660"
"KEYUSDT","KEYUSDT#1687569660000",1687569660000,"0.0066390","0.0066450","0.0066340","0.0066450","2128797",1687569719999,"14133.5426840",69,"913384","6065.2824430"
"KEYUSDT","KEYUSDT#1687569720000",1687569720000,"0.0066450","0.0066460","0.0066320","0.0066320","1496630",1687569779999,"9940.8758070",49,"627455","4169.3975840"
"KEYUSDT","KEYUSDT#1687569780000",1687569780000,"0.0066300","0.0066310","0.0066220","0.0066240","827679",1687569839999,"5483.9010450",49,"255727","1695.3938720"
"KEYUSDT","KEYUSDT#1687569840000",1687569840000,"0.0066240","0.0066370","0.0066210","0.0066370","1788081",1687569899999,"11853.4675370",55,"1410958","9353.6298810"
"KEYUSDT","KEYUSDT#1687569900000",1687569900000,"0.0066360","0.0066370","0.0066160","0.0066210","2430504",1687569959999,"16107.1164930",73,"711725","4713.5627730"
"KEYUSDT","KEYUSDT#1687569960000",1687569960000,"0.0066220","0.0066240","0.0066140","0.0066190","1578055",1687570019999,"10443.9298600",74,"575051","3806.8445450"
"KEYUSDT","KEYUSDT#1687570020000",1687570020000,"0.0066180","0.0066180","0.0066070","0.0066170","1648894",1687570079999,"10901.9257030",66,"689472","4560.0544970"
"KEYUSDT","KEYUSDT#1687570080000",1687570080000,"0.0066130","0.0066160","0.0066080","0.0066100","616031",1687570139999,"4073.8885030",35,"349435","2311.0645420"
"KEYUSDT","KEYUSDT#1687570140000",1687570140000,"0.0066110","0.0066110","0.0066070","0.0066090","540465",1687570199999,"3571.9931980",31,"50354","332.8394240"
"KEYUSDT","KEYUSDT#1687570200000",1687570200000,"0.0066090","0.0066110","0.0065910","0.0066070","3267221",1687570259999,"21565.8445780",133,"1235586","8156.6457520"
"KEYUSDT","KEYUSDT#1687570260000",1687570260000,"0.0066080","0.0066160","0.0066070","0.0066140","1747657",1687570319999,"11554.2775190",78,"1086498","7183.4469390"
"KEYUSDT","KEYUSDT#1687570320000",1687570320000,"0.0066110","0.0066110","0.0065810","0.0065960","4543588",1687570379999,"29958.2241750",177,"2491538","16426.8200160"
"KEYUSDT","KEYUSDT#1687570380000",1687570380000,"0.0065940","0.0066050","0.0065800","0.0065990","6808110",1687570439999,"44886.3413420",195,"3114523","20540.1022110"
"KEYUSDT","KEYUSDT#1687570440000",1687570440000,"0.0065990","0.0066020","0.0065920","0.0065920","1954740",1687570499999,"12894.8748800",59,"330794","2182.8379280"
"KEYUSDT","KEYUSDT#1687570500000",1687570500000,"0.0065910","0.0065940","0.0065780","0.0065930","3756092",1687570559999,"24736.9055930",136,"2278379","15002.1330590"
"KEYUSDT","KEYUSDT#1687570560000",1687570560000,"0.0065930","0.0066190","0.0065930","0.0066090","3590398",1687570619999,"23734.3678170",157,"2580212","17056.0646440"
"KEYUSDT","KEYUSDT#1687570620000",1687570620000,"0.0066060","0.0066190","0.0066010","0.0066160","1788093",1687570679999,"11819.5636620",67,"1095774","7242.4977330"
"KEYUSDT","KEYUSDT#1687570680000",1687570680000,"0.0066160","0.0066210","0.0066140","0.0066210","784322",1687570739999,"5190.6120130",47,"638924","4228.7960000"
"KEYUSDT","KEYUSDT#1687570740000",1687570740000,"0.0066220","0.0066220","0.0066130","0.0066170","750404",1687570799999,"4965.9318270",41,"384752","2546.1569170"
"KEYUSDT","KEYUSDT#1687570800000",1687570800000,"0.0066160","0.0066230","0.0066160","0.0066210","1317229",1687570859999,"8719.8668010",67,"380746","2520.7323850"
