"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LINAUSDT","LINAUSDT#1687586460000",1687586460000,"0.01450","0.01450","0.01448","0.01448","2600385",1687586519999,"37678.23062",98,"1073675","15557.83140"
"LINAUSDT","LINAUSDT#1687586520000",1687586520000,"0.01448","0.01450","0.01446","0.01447","13275903",1687586579999,"192228.52823",443,"5767970","83505.27397"
"LINAUSDT","LINAUSDT#1687586580000",1687586580000,"0.01447","0.01451","0.01446","0.01450","7342826",1687586639999,"106307.97484",258,"4410229","63856.75031"
"LINAUSDT","LINAUSDT#1687586640000",1687586640000,"0.01449","0.01450","0.01446","0.01446","4257277",1687586699999,"61619.83110",183,"1697597","24565.50377"
"LINAUSDT","LINAUSDT#1687586700000",1687586700000,"0.01446","0.01448","0.01446","0.01446","3885730",1687586759999,"56223.04333",162,"2582979","37375.77920"
"LINAUSDT","LINAUSDT#1687586760000",1687586760000,"0.01446","0.01447","0.01439","0.01440","20240927",1687586819999,"291938.12984",897,"4764608","68765.49055"
"LINAUSDT","LINAUSDT#1687586820000",1687586820000,"0.01440","0.01443","0.01439","0.01443","9637685",1687586879999,"138919.89245",360,"4562536","65766.88544"
"LINAUSDT","LINAUSDT#1687586880000",1687586880000,"0.01442","0.01444","0.01442","0.01444","2234710",1687586939999,"32247.68177",112,"1562109","22542.77420"
"LINAUSDT","LINAUSDT#1687586940000",1687586940000,"0.01443","0.01444","0.01442","0.01443","3887952",1687586999999,"56093.31585",164,"1908537","27540.31462"
"LINAUSDT","LINAUSDT#1687587000000",1687587000000,"0.01444","0.01444","0.01440","0.01442","11089260",1687587059999,"159886.59911",308,"8178412","117919.37683"
"LINAUSDT","LINAUSDT#1687587060000",1687587060000,"0.01442","0.01443","0.01440","0.01441","7122238",1687587119999,"102659.66306",173,"1186693","17110.55076"
"LINAUSDT","LINAUSDT#1687587120000",1687587120000,"0.01441","0.01442","0.01440","0.01442","1779825",1687587179999,"25646.26959",147,"1146278","16523.14560"
"LINAUSDT","LINAUSDT#1687587180000",1687587180000,"0.01441","0.01442","0.01440","0.01440","4583691",1687587239999,"66040.14629",194,"1411534","20340.41752"
"LINAUSDT","LINAUSDT#1687587240000",1687587240000,"0.01440","0.01443","0.01440","0.01442","3083000",1687587299999,"44447.17465",173,"1581851","22804.84920"
"LINAUSDT","LINAUSDT#1687587300000",1687587300000,"0.01442","0.01442","0.01440","0.01441","4383531",1687587359999,"63195.84366",189,"2752071","39677.36651"
"LINAUSDT","LINAUSDT#1687587360000",1687587360000,"0.01441","0.01444","0.01441","0.01442","6326274",1687587419999,"91309.77240",267,"3450868","49811.28083"
"LINAUSDT","LINAUSDT#1687587420000",1687587420000,"0.01442","0.01443","0.01441","0.01441","5931685",1687587479999,"85533.14240",245,"2281807","32908.46007"
"LINAUSDT","LINAUSDT#1687587480000",1687587480000,"0.01441","0.01441","0.01439","0.01439","3691392",1687587539999,"53179.22042",219,"1081361","15579.47016"
"LINAUSDT","LINAUSDT#1687587540000",1687587540000,"0.01440","0.01440","0.01438","0.01440","3349252",1687587599999,"48202.34517",205,"1163869","16752.12920"
"LINAUSDT","LINAUSDT#1687587600000",1687587600000,"0.01440","0.01440","0.01438","0.01440","5890409",1687587659999,"84787.14373",191,"4466755","64302.98114"
"LINAUSDT","LINAUSDT#1687587660000",1687587660000,"0.01439","0.01441","0.01438","0.01439","3220323",1687587719999,"46362.73710",149,"1129701","16267.60398"
"LINAUSDT","LINAUSDT#1687587720000",1687587720000,"0.01438","0.01440","0.01435","0.01440","11886005",1687587779999,"170841.78792",584,"6697438","96287.36276"
"LINAUSDT","LINAUSDT#1687587780000",1687587780000,"0.01439","0.01441","0.01437","0.01439","5920552",1687587839999,"85205.66046",264,"2129507","30649.86895"
"LINAUSDT","LINAUSDT#1687587840000",1687587840000,"0.01438","0.01440","0.01437","0.01439","3022836",1687587899999,"43491.85706",150,"1572835","22633.37832"
"LINAUSDT","LINAUSDT#1687587900000",1687587900000,"0.01438","0.01439","0.01437","0.01438","7212382",1687587959999,"103688.59218",279,"2250784","32358.59794"
"LINAUSDT","LINAUSDT#1687587960000",1687587960000,"0.01437","0.01439","0.01437","0.01438","4978975",1687588019999,"71606.98330",191,"2805646","40361.79975"
