"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MASKUSDT","MASKUSDT#1687644060000",1687644060000,"3.6540","3.6580","3.6530","3.6580","12496",1687644119999,"45680.5740",179,"8885","32483.0980"
"MASKUSDT","MASKUSDT#1687644120000",1687644120000,"3.6570","3.6600","3.6560","3.6600","9560",1687644179999,"34970.5630",162,"5593","20462.4120"
"MASKUSDT","MASKUSDT#1687644180000",1687644180000,"3.6600","3.6600","3.6550","3.6560","15225",1687644239999,"55686.3110",286,"5310","19420.1140"
"MASKUSDT","MASKUSDT#1687644240000",1687644240000,"3.6560","3.6600","3.6560","3.6590","12913",1687644299999,"47239.0060",216,"10001","36584.3410"
"MASKUSDT","MASKUSDT#1687644300000",1687644300000,"3.6590","3.6640","3.6580","3.6640","7302",1687644359999,"26732.7930",141,"6746","24697.8530"
"MASKUSDT","MASKUSDT#1687644360000",1687644360000,"3.6630","3.6640","3.6630","3.6630","10267",1687644419999,"37609.7100",122,"2677","9807.5400"
"MASKUSDT","MASKUSDT#1687644420000",1687644420000,"3.6630","3.6640","3.6570","3.6620","13465",1687644479999,"49298.1970",239,"3544","12970.9990"
"MASKUSDT","MASKUSDT#1687644480000",1687644480000,"3.6620","3.6660","3.6620","3.6630","10886",1687644539999,"39884.6960",172,"5170","18942.4130"
"MASKUSDT","MASKUSDT#1687644540000",1687644540000,"3.6630","3.6640","3.6620","3.6640","3478",1687644599999,"12740.1260",112,"1530","5605.0780"
"MASKUSDT","MASKUSDT#1687644600000",1687644600000,"3.6630","3.6670","3.6630","3.6670","12937",1687644659999,"47417.0530",180,"8176","29968.8780"
"MASKUSDT","MASKUSDT#1687644660000",1687644660000,"3.6670","3.6670","3.6620","3.6650","20554",1687644719999,"75305.2100",216,"4228","15489.7090"
"MASKUSDT","MASKUSDT#1687644720000",1687644720000,"3.6640","3.6650","3.6630","3.6650","3708",1687644779999,"13585.0270",76,"1401","5133.6000"
"MASKUSDT","MASKUSDT#1687644780000",1687644780000,"3.6650","3.6650","3.6610","3.6610","5356",1687644839999,"19620.7090",130,"1872","6857.1360"
"MASKUSDT","MASKUSDT#1687644840000",1687644840000,"3.6620","3.6650","3.6620","3.6630","5731",1687644899999,"20994.4550",90,"3332","12205.4540"
"MASKUSDT","MASKUSDT#1687644900000",1687644900000,"3.6640","3.6640","3.6600","3.6640","9718",1687644959999,"35593.5610",171,"5323","19495.3860"
