"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"NKNUSDT","NKNUSDT#1687593660000",1687593660000,"0.09684","0.09695","0.09680","0.09692","100971",1687593719999,"9779.17119",136,"36210","3507.17285"
"NKNUSDT","NKNUSDT#1687593720000",1687593720000,"0.09692","0.09706","0.09688","0.09694","72464",1687593779999,"7027.17137",120,"42150","4087.31935"
"NKNUSDT","NKNUSDT#1687593780000",1687593780000,"0.09695","0.09707","0.09690","0.09707","41606",1687593839999,"4035.26328",85,"20596","1997.44313"
"NKNUSDT","NKNUSDT#1687593840000",1687593840000,"0.09705","0.09716","0.09703","0.09708","160087",1687593899999,"15546.86922",123,"46662","4531.93116"
"NKNUSDT","NKNUSDT#1687593900000",1687593900000,"0.09709","0.09730","0.09708","0.09730","112911",1687593959999,"10976.58660",100,"84756","8240.28920"
"NKNUSDT","NKNUSDT#1687593960000",1687593960000,"0.09730","0.09738","0.09729","0.09738","119668",1687594019999,"11647.06713",90,"55668","5418.87505"
"NKNUSDT","NKNUSDT#1687594020000",1687594020000,"0.09738","0.09751","0.09735","0.09749","239110",1687594079999,"23299.17446",154,"133327","12990.08317"
"NKNUSDT","NKNUSDT#1687594080000",1687594080000,"0.09750","0.09760","0.09749","0.09753","148260",1687594139999,"14463.43362",114,"57576","5616.69462"
"NKNUSDT","NKNUSDT#1687594140000",1687594140000,"0.09756","0.09770","0.09754","0.09767","66037",1687594199999,"6444.86682",85,"36514","3563.96722"
"NKNUSDT","NKNUSDT#1687594200000",1687594200000,"0.09770","0.09770","0.09744","0.09757","524533",1687594259999,"51188.98586",249,"392863","38347.14549"
"NKNUSDT","NKNUSDT#1687594260000",1687594260000,"0.09757","0.09762","0.09753","0.09758","62938",1687594319999,"6140.88324",78,"23184","2262.29949"
"NKNUSDT","NKNUSDT#1687594320000",1687594320000,"0.09759","0.09769","0.09755","0.09764","66767",1687594379999,"6518.00595",114,"30395","2967.79895"
"NKNUSDT","NKNUSDT#1687594380000",1687594380000,"0.09764","0.09770","0.09764","0.09769","34119",1687594439999,"3332.41063",83,"21239","2074.51079"
"NKNUSDT","NKNUSDT#1687594440000",1687594440000,"0.09770","0.09774","0.09768","0.09771","20287",1687594499999,"1982.20268",72,"14221","1389.55992"
"NKNUSDT","NKNUSDT#1687594500000",1687594500000,"0.09771","0.09779","0.09767","0.09778","250831",1687594559999,"24516.82711",156,"140617","13745.06304"
"NKNUSDT","NKNUSDT#1687594560000",1687594560000,"0.09777","0.09786","0.09777","0.09785","74794",1687594619999,"7316.02835",76,"40304","3942.49459"
"NKNUSDT","NKNUSDT#1687594620000",1687594620000,"0.09783","0.09795","0.09772","0.09778","331826",1687594679999,"32461.61016",156,"60455","5918.39903"
"NKNUSDT","NKNUSDT#1687594680000",1687594680000,"0.09778","0.09784","0.09774","0.09777","45495",1687594739999,"4448.77678",72,"27227","2662.56024"
"NKNUSDT","NKNUSDT#1687594740000",1687594740000,"0.09777","0.09786","0.09768","0.09771","58775",1687594799999,"5745.76202",66,"10267","1003.43912"
"NKNUSDT","NKNUSDT#1687594800000",1687594800000,"0.09769","0.09785","0.09768","0.09773","128091",1687594859999,"12526.80282",67,"112067","10961.01118"
"NKNUSDT","NKNUSDT#1687594860000",1687594860000,"0.09774","0.09774","0.09742","0.09750","312884",1687594919999,"30508.61641",145,"17903","1746.74973"
