"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RUNEUSDT","RUNEUSDT#1687572060000",1687572060000,"0.9700","0.9720","0.9700","0.9710","14045",1687572119999,"13637.9080",93,"4925","4782.4400"
"RUNEUSDT","RUNEUSDT#1687572120000",1687572120000,"0.9700","0.9710","0.9700","0.9710","654",1687572179999,"635.0300",7,"650","631.1500"
"RUNEUSDT","RUNEUSDT#1687572180000",1687572180000,"0.9700","0.9710","0.9700","0.9700","164",1687572239999,"159.2300",3,"150","145.6500"
"RUNEUSDT","RUNEUSDT#1687572240000",1687572240000,"0.9710","0.9710","0.9700","0.9700","2296",1687572299999,"2227.3440",12,"224","217.5040"
"RUNEUSDT","RUNEUSDT#1687572300000",1687572300000,"0.9710","0.9710","0.9700","0.9700","4036",1687572359999,"3918.5520",28,"3632","3526.6720"
"RUNEUSDT","RUNEUSDT#1687572360000",1687572360000,"0.9710","0.9720","0.9710","0.9710","12093",1687572419999,"11742.3130",45,"3746","3637.3760"
"RUNEUSDT","RUNEUSDT#1687572420000",1687572420000,"0.9710","0.9710","0.9710","0.9710","2592",1687572479999,"2516.8320",8,"2592","2516.8320"
"RUNEUSDT","RUNEUSDT#1687572480000",1687572480000,"0.9710","0.9710","0.9710","0.9710","2594",1687572539999,"2518.7740",12,"2594","2518.7740"
"RUNEUSDT","RUNEUSDT#1687572540000",1687572540000,"0.9710","0.9710","0.9700","0.9710","186",1687572599999,"180.5800",5,"160","155.3600"
"RUNEUSDT","RUNEUSDT#1687572600000",1687572600000,"0.9700","0.9710","0.9700","0.9710","647",1687572659999,"627.6040",8,"14","13.5940"
"RUNEUSDT","RUNEUSDT#1687572660000",1687572660000,"0.9710","0.9710","0.9710","0.9710","6526",1687572719999,"6336.7460",13,"6526","6336.7460"
"RUNEUSDT","RUNEUSDT#1687572720000",1687572720000,"0.9710","0.9710","0.9710","0.9710","8729",1687572779999,"8475.8590",32,"1618","1571.0780"
"RUNEUSDT","RUNEUSDT#1687572780000",1687572780000,"0.9710","0.9710","0.9700","0.9700","6893",1687572839999,"6691.5690",50,"368","357.3280"
"RUNEUSDT","RUNEUSDT#1687572840000",1687572840000,"0.9710","0.9710","0.9700","0.9700","12068",1687572899999,"11712.0470",41,"5106","4957.9260"
"RUNEUSDT","RUNEUSDT#1687572900000",1687572900000,"0.9710","0.9710","0.9700","0.9710","8582",1687572959999,"8331.7910",65,"4839","4698.6690"
"RUNEUSDT","RUNEUSDT#1687572960000",1687572960000,"0.9710","0.9710","0.9710","0.9710","3704",1687573019999,"3596.5840",34,"710","689.4100"
"RUNEUSDT","RUNEUSDT#1687573020000",1687573020000,"0.9720","0.9720","0.9720","0.9720","9",1687573079999,"8.7480",1,"9","8.7480"
"RUNEUSDT","RUNEUSDT#1687573080000",1687573080000,"0.9720","0.9720","0.9710","0.9720","22968",1687573139999,"22324.8820",87,"19922","19364.1840"
"RUNEUSDT","RUNEUSDT#1687573140000",1687573140000,"0.9720","0.9730","0.9720","0.9720","1929",1687573199999,"1875.8050",26,"817","794.9410"
"RUNEUSDT","RUNEUSDT#1687573200000",1687573200000,"0.9720","0.9720","0.9710","0.9710","7499",1687573259999,"7287.6560",59,"26","25.2720"
"RUNEUSDT","RUNEUSDT#1687573260000",1687573260000,"0.9710","0.9710","0.9710","0.9710","2428",1687573319999,"2357.5880",13,"0","0.0000"
"RUNEUSDT","RUNEUSDT#1687573320000",1687573320000,"0.9710","0.9710","0.9710","0.9710","365",1687573379999,"354.4150",6,"0","0.0000"
"RUNEUSDT","RUNEUSDT#1687573380000",1687573380000,"0.9720","0.9720","0.9710","0.9720","2420",1687573439999,"2351.8750",18,"2055","1997.4600"
"RUNEUSDT","RUNEUSDT#1687573440000",1687573440000,"0.9720","0.9720","0.9710","0.9720","1830",1687573499999,"1778.3950",33,"1465","1423.9800"
"RUNEUSDT","RUNEUSDT#1687573500000",1687573500000,"0.9710","0.9720","0.9710","0.9720","12348",1687573559999,"11998.1020",83,"2720","2643.8400"
"RUNEUSDT","RUNEUSDT#1687573560000",1687573560000,"0.9720","0.9720","0.9720","0.9720","251",1687573619999,"243.9720",3,"251","243.9720"
"RUNEUSDT","RUNEUSDT#1687573620000",1687573620000,"0.9710","0.9710","0.9710","0.9710","307",1687573679999,"298.0970",2,"0","0.0000"
"RUNEUSDT","RUNEUSDT#1687573680000",1687573680000,"0.9720","0.9720","0.9720","0.9720","900",1687573739999,"874.8000",4,"900","874.8000"
"RUNEUSDT","RUNEUSDT#1687573740000",1687573740000,"0.9720","0.9720","0.9710","0.9710","3617",1687573799999,"3515.5770",27,"3470","3372.8400"
"RUNEUSDT","RUNEUSDT#1687573800000",1687573800000,"0.9720","0.9720","0.9710","0.9720","6758",1687573859999,"6563.7550",52,"1737","1688.3640"
"RUNEUSDT","RUNEUSDT#1687573860000",1687573860000,"0.9720","0.9720","0.9710","0.9720","18982",1687573919999,"18450.4790",102,"11331","11013.7320"
"RUNEUSDT","RUNEUSDT#1687573920000",1687573920000,"0.9730","0.9730","0.9720","0.9730","3245",1687573979999,"3155.0570",40,"917","892.2410"
"RUNEUSDT","RUNEUSDT#1687573980000",1687573980000,"0.9730","0.9730","0.9720","0.9720","357",1687574039999,"347.0500",7,"46","44.7580"
"RUNEUSDT","RUNEUSDT#1687574040000",1687574040000,"0.9730","0.9730","0.9730","0.9730","4933",1687574099999,"4799.8090",62,"2212","2152.2760"
"RUNEUSDT","RUNEUSDT#1687574100000",1687574100000,"0.9720","0.9730","0.9720","0.9730","8920",1687574159999,"8670.2910",61,"51","49.6230"
"RUNEUSDT","RUNEUSDT#1687574160000",1687574160000,"0.9730","0.9730","0.9730","0.9730","5609",1687574219999,"5457.5570",28,"5074","4937.0020"
"RUNEUSDT","RUNEUSDT#1687574220000",1687574220000,"0.9730","0.9750","0.9730","0.9740","4207",1687574279999,"4096.7530",62,"801","780.1940"
"RUNEUSDT","RUNEUSDT#1687574280000",1687574280000,"0.9740","0.9740","0.9730","0.9730","6257",1687574339999,"6088.0810",17,"20","19.4800"
"RUNEUSDT","RUNEUSDT#1687574340000",1687574340000,"0.9730","0.9730","0.9720","0.9730","4188",1687574399999,"4074.7890",24,"2984","2903.4320"
"RUNEUSDT","RUNEUSDT#1687574400000",1687574400000,"0.9730","0.9730","0.9720","0.9730","6968",1687574459999,"6779.4650",58,"1185","1153.0050"
"RUNEUSDT","RUNEUSDT#1687574460000",1687574460000,"0.9730","0.9730","0.9730","0.9730","3178",1687574519999,"3092.1940",21,"3037","2955.0010"
"RUNEUSDT","RUNEUSDT#1687574520000",1687574520000,"0.9730","0.9730","0.9730","0.9730","1284",1687574579999,"1249.3320",13,"0","0.0000"
"RUNEUSDT","RUNEUSDT#1687574580000",1687574580000,"0.9730","0.9730","0.9730","0.9730","1285",1687574639999,"1250.3050",9,"0","0.0000"
"RUNEUSDT","RUNEUSDT#1687574640000",1687574640000,"0.9730","0.9740","0.9730","0.9740","147",1687574699999,"143.1720",2,"141","137.3340"
"RUNEUSDT","RUNEUSDT#1687574700000",1687574700000,"0.9730","0.9740","0.9730","0.9730","14786",1687574759999,"14386.8340",47,"4973","4838.7850"
"RUNEUSDT","RUNEUSDT#1687574760000",1687574760000,"0.9730","0.9740","0.9730","0.9730","5686",1687574819999,"5536.5950",19,"5670","5521.0270"
"RUNEUSDT","RUNEUSDT#1687574820000",1687574820000,"0.9740","0.9740","0.9740","0.9740","50",1687574879999,"48.7000",2,"50","48.7000"
"RUNEUSDT","RUNEUSDT#1687574880000",1687574880000,"0.9740","0.9740","0.9730","0.9730","550",1687574939999,"535.4170",2,"267","260.0580"
"RUNEUSDT","RUNEUSDT#1687574940000",1687574940000,"0.9730","0.9730","0.9730","0.9730","0",1687574999999,"0.0000",0,"0","0.0000"
"RUNEUSDT","RUNEUSDT#1687575000000",1687575000000,"0.9730","0.9740","0.9730","0.9730","277",1687575059999,"269.5360",3,"15","14.6100"
"RUNEUSDT","RUNEUSDT#1687575060000",1687575060000,"0.9730","0.9740","0.9730","0.9740","169",1687575119999,"164.5530",5,"116","112.9840"
"RUNEUSDT","RUNEUSDT#1687575120000",1687575120000,"0.9740","0.9740","0.9730","0.9730","1545",1687575179999,"1504.8230",14,"1538","1498.0120"
"RUNEUSDT","RUNEUSDT#1687575180000",1687575180000,"0.9740","0.9740","0.9730","0.9730","10405",1687575239999,"10128.1280",58,"338","329.2120"
"RUNEUSDT","RUNEUSDT#1687575240000",1687575240000,"0.9740","0.9740","0.9730","0.9730","57",1687575299999,"55.4910",4,"30","29.2200"
"RUNEUSDT","RUNEUSDT#1687575300000",1687575300000,"0.9730","0.9750","0.9730","0.9750","11497",1687575359999,"11198.2940",61,"9767","9513.2800"
