"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SPELLUSDT","SPELLUSDT#1687626060000",1687626060000,"0.0004774","0.0004782","0.0004774","0.0004782","8166852",1687626119999,"3903.0789456",35,"4273257","2041.5293868"
"SPELLUSDT","SPELLUSDT#1687626120000",1687626120000,"0.0004782","0.0004790","0.0004782","0.0004790","14491121",1687626179999,"6935.5783234",60,"6189533","2962.9096066"
"SPELLUSDT","SPELLUSDT#1687626180000",1687626180000,"0.0004791","0.0004797","0.0004790","0.0004797","22497626",1687626239999,"10784.1793102",66,"8253815","3956.3407796"
"SPELLUSDT","SPELLUSDT#1687626240000",1687626240000,"0.0004795","0.0004805","0.0004791","0.0004804","18318987",1687626299999,"8788.0482679",57,"7308194","3507.9025435"
"SPELLUSDT","SPELLUSDT#1687626300000",1687626300000,"0.0004803","0.0004809","0.0004803","0.0004809","15733960",1687626359999,"7562.2346086",45,"7342207","3529.4803485"
"SPELLUSDT","SPELLUSDT#1687626360000",1687626360000,"0.0004809","0.0004809","0.0004805","0.0004805","6717182",1687626419999,"3229.4265055",10,"0","0.0000000"
"SPELLUSDT","SPELLUSDT#1687626420000",1687626420000,"0.0004806","0.0004808","0.0004806","0.0004806","20115732",1687626479999,"9668.8246088",30,"7388993","3551.1500358"
"SPELLUSDT","SPELLUSDT#1687626480000",1687626480000,"0.0004805","0.0004805","0.0004794","0.0004794","9397592",1687626539999,"4510.3606166",24,"1837684","882.9585089"
"SPELLUSDT","SPELLUSDT#1687626540000",1687626540000,"0.0004794","0.0004797","0.0004794","0.0004797","3601582",1687626599999,"1727.3428005",14,"3287384","1576.7162793"
"SPELLUSDT","SPELLUSDT#1687626600000",1687626600000,"0.0004798","0.0004804","0.0004796","0.0004803","28141078",1687626659999,"13504.8271270",71,"18476618","8866.7402464"
"SPELLUSDT","SPELLUSDT#1687626660000",1687626660000,"0.0004802","0.0004803","0.0004800","0.0004800","8285310",1687626719999,"3977.7524107",17,"811711","389.7167696"
"SPELLUSDT","SPELLUSDT#1687626720000",1687626720000,"0.0004802","0.0004804","0.0004802","0.0004804","2758227",1687626779999,"1324.8558206",10,"2540921","1220.4620182"
"SPELLUSDT","SPELLUSDT#1687626780000",1687626780000,"0.0004801","0.0004807","0.0004801","0.0004807","11749066",1687626839999,"5644.1787733",23,"9484570","4556.4445911"
"SPELLUSDT","SPELLUSDT#1687626840000",1687626840000,"0.0004807","0.0004809","0.0004806","0.0004808","9648499",1687626899999,"4638.5712851",24,"2670436","1284.1089232"
"SPELLUSDT","SPELLUSDT#1687626900000",1687626900000,"0.0004810","0.0004813","0.0004807","0.0004807","12035069",1687626959999,"5789.5802917",55,"6133210","2950.4507338"
"SPELLUSDT","SPELLUSDT#1687626960000",1687626960000,"0.0004805","0.0004806","0.0004801","0.0004805","13962279",1687627019999,"6706.7534802",40,"11636069","5589.5146535"
"SPELLUSDT","SPELLUSDT#1687627020000",1687627020000,"0.0004804","0.0004805","0.0004801","0.0004805","2790380",1687627079999,"1340.1842533",27,"1138566","546.8301151"
"SPELLUSDT","SPELLUSDT#1687627080000",1687627080000,"0.0004804","0.0004805","0.0004801","0.0004802","8133549",1687627139999,"3906.9004086",25,"852030","409.3585919"
"SPELLUSDT","SPELLUSDT#1687627140000",1687627140000,"0.0004803","0.0004812","0.0004803","0.0004810","4884809",1687627199999,"2348.8199441",24,"3025598","1454.5229916"
"SPELLUSDT","SPELLUSDT#1687627200000",1687627200000,"0.0004811","0.0004818","0.0004811","0.0004816","20127413",1687627259999,"9689.9568035",60,"12237809","5891.7493820"
"SPELLUSDT","SPELLUSDT#1687627260000",1687627260000,"0.0004816","0.0004818","0.0004816","0.0004818","8920733",1687627319999,"4297.1140595",9,"8920733","4297.1140595"
