"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"PEOPLEUSDT","PEOPLEUSDT#1687651260000",1687651260000,"0.01342","0.01343","0.01340","0.01340","2749089",1687651319999,"36889.48822",259,"1224729","16438.32344"
"PEOPLEUSDT","PEOPLEUSDT#1687651320000",1687651320000,"0.01340","0.01341","0.01338","0.01339","5041569",1687651379999,"67510.84170",286,"2663249","35661.05839"
"PEOPLEUSDT","PEOPLEUSDT#1687651380000",1687651380000,"0.01339","0.01340","0.01338","0.01338","1534522",1687651439999,"20548.73043",112,"254633","3411.26185"
"PEOPLEUSDT","PEOPLEUSDT#1687651440000",1687651440000,"0.01338","0.01341","0.01338","0.01340","5525435",1687651499999,"73991.03059",268,"3712341","49720.73452"
"PEOPLEUSDT","PEOPLEUSDT#1687651500000",1687651500000,"0.01341","0.01343","0.01340","0.01340","6043449",1687651559999,"81078.20632",321,"3455224","46360.69324"
"PEOPLEUSDT","PEOPLEUSDT#1687651560000",1687651560000,"0.01341","0.01343","0.01341","0.01341","3769518",1687651619999,"50564.34314",184,"1088849","14607.98905"
"PEOPLEUSDT","PEOPLEUSDT#1687651620000",1687651620000,"0.01341","0.01342","0.01340","0.01342","5020120",1687651679999,"67348.94337",187,"2310241","30994.66042"
"PEOPLEUSDT","PEOPLEUSDT#1687651680000",1687651680000,"0.01342","0.01345","0.01342","0.01345","4924239",1687651739999,"66147.29736",245,"2927621","39332.91757"
"PEOPLEUSDT","PEOPLEUSDT#1687651740000",1687651740000,"0.01344","0.01349","0.01344","0.01348","7455956",1687651799999,"100424.48643",406,"4421387","59546.03250"
"PEOPLEUSDT","PEOPLEUSDT#1687651800000",1687651800000,"0.01347","0.01348","0.01346","0.01347","3527167",1687651859999,"47503.28457",129,"1123575","15142.17632"
"PEOPLEUSDT","PEOPLEUSDT#1687651860000",1687651860000,"0.01347","0.01348","0.01346","0.01348","1730475",1687651919999,"23310.93040",97,"914958","12326.13770"
